LiLa_URI,Wikidata_ID,Wikidata_EN_label
http://lila-erc.eu/ontologies/lila/v6r,Q54295967,irregular conjugation verb
http://lila-erc.eu/ontologies/lila/v6,Q54295967,irregular conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v6d,Q54295967,irregular conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v6e,Q54295967,irregular conjugation impersonal verb
http://lila-erc.eu/ontologies/lila/v4r,Q54295818,fourth conjugation verb
http://lila-erc.eu/ontologies/lila/v4d,Q54295818,fourth conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v4,Q54295818,fourth conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v3,Q54295441,third conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v3r,Q54295441,third conjugation verb
http://lila-erc.eu/ontologies/lila/v5r,Q54295441,e/i conjugation verb
http://lila-erc.eu/ontologies/lila/v3d,Q54295441,third conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v3e,Q54295441,third conjugation impersonal verb
http://lila-erc.eu/ontologies/lila/v5d,Q54295441,e/i conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v5,Q54295441,e/i conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v2r,Q53768720,second conjugation verb
http://lila-erc.eu/ontologies/lila/v2,Q53768720,second conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v2d,Q53768720,second conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v2e,Q53768720,second conjugation impersonal verb
http://lila-erc.eu/ontologies/lila/v1d,Q53768605,first conjugation deponent verb
http://lila-erc.eu/ontologies/lila/v1r,Q53768605,first conjugation verb
http://lila-erc.eu/ontologies/lila/v1,Q53768605,first conjugation verb (isolated form)
http://lila-erc.eu/ontologies/lila/v1e,Q53768605,first conjugation impersonal verb
http://lila-erc.eu/ontologies/lila/n3e,Q3984892,third declension irregular noun abl sing in -e
http://lila-erc.eu/ontologies/lila/n3n,Q3984892,third declension neuter noun with gen pl in –um/-ium
http://lila-erc.eu/ontologies/lila/n2,Q3953983,second declension (m/f) noun
http://lila-erc.eu/ontologies/lila/n2e,Q3953983,second declension irregular noun
http://lila-erc.eu/ontologies/lila/n2n,Q3953983,second declension neuter noun
http://lila-erc.eu/ontologies/lila/n2ne,Q3953983,second declension neuter irregular noun
http://lila-erc.eu/ontologies/lila/n3,Q3953983,third declension noun with gen pl in –um/-ium
http://lila-erc.eu/ontologies/lila/n3ne,Q3953983,third declension neuter irregular noun
http://lila-erc.eu/ontologies/lila/n31,Q3953983,third declension noun gen pl in –um
http://lila-erc.eu/ontologies/lila/n5,Q3927887,fifth declension noun
http://lila-erc.eu/ontologies/lila/n4,Q3927097,fourth declension (m/f) noun
http://lila-erc.eu/ontologies/lila/n4n,Q3927097,fourth declension neuter noun
http://lila-erc.eu/ontologies/lila/p,Q3923913,pronominal
http://lila-erc.eu/ontologies/lila/n1,Q3921592,first declension noun
http://lila-erc.eu/ontologies/lila/n1e,Q3921592,first declension irregular noun
http://lila-erc.eu/ontologies/lila/n7,Q3606520,"second class adjective (nom sing in: -is,-e)"
http://lila-erc.eu/ontologies/lila/n71,Q3606520,second class adjective (nom sing in: -s; -x; -r; -l)
http://lila-erc.eu/ontologies/lila/n72,Q3606520,"second class adjective (nom sing in: -er, -is, -e)"
http://lila-erc.eu/ontologies/lila/n7c,Q3606520,second class comparative degree adjective
http://lila-erc.eu/ontologies/lila/n73,Q3606520,"second class adjective (nom sing in: -er, -er, -e)"
http://lila-erc.eu/ontologies/lila/n6,Q3606519,first class adjective
http://lila-erc.eu/ontologies/lila/n6i,Q3606519,first class adjectives in –ius
http://lila-erc.eu/ontologies/lila/n6s,Q3606519,first class superlative degree adjective
http://lila-erc.eu/ontologies/lila/n6p3,Q3606519,first class pronominal adjectives with regular inflection
http://lila-erc.eu/ontologies/lila/n6p,Q3606519,first class pronominal adjective with dat sing in -i
http://lila-erc.eu/ontologies/lila/n7p,Q3606519,second class pronominal adjective
http://lila-erc.eu/ontologies/lila/v,Q117306556,uninflected verb
http://lila-erc.eu/ontologies/lila/v7r,Q117306555,perfectum verb
http://lila-erc.eu/ontologies/lila/v7e,Q117306554,perfectum impersonal verb
http://lila-erc.eu/ontologies/lila/n,Q117306552,uninflected noun/adjective
http://lila-erc.eu/ontologies/lila/i,Q117306551,invariable
