wd_item,wd_itemLabel,wn31
Q312,Apple,00000013-n
Q2283,Microsoft,00000014-a
Q355,Facebook,00000015-n
Q35120,entity,00001740-n
Q112276019,physical entity,00001930-n
Q7184903,abstract object,00002137-n
Q15619164,abstract being,00002137-n
Q1790261,rump,00002484-r
Q223557,physical object,00002684-n
Q7239,organism,00004475-n
Q686881,benthic zone,00005787-n
Q159344,heterotroph,00006024-n
Q7868,cell,00006484-n
Q729,animal,00015568-n
Q756,plant,00017402-n
Q35758,matter,00021007-n
Q2095,food,00021445-n
Q586307,lokma,00021445-n
Q181394,nutrient,00021914-n
Q220659,archaeological artifact,00022119-n
Q8205328,artificial physical object,00022119-n
Q1211071,equivalence class,00028005-n
Q107,space,00028950-n
Q12142650,smirk,00029329-v
Q16887380,group,00031563-n
Q1284304,frown,00032974-v
Q192276,measure,00033914-n
Q488085,kindness,00035041-n
Q811133,abdominoplasty,00035498-n
Q4875869,beachhead,00037020-n
Q1555174,gargling,00037131-v
Q13422881,razor,00037673-v
Q938926,masterpiece,00037727-n
Q3678445,Action,00038116-n
Q621694,Fetch,00040654-n
Q3177899,bowling,00042478-n
Q1331684,repatriation,00052205-n
Q7162625,penetration,00052345-n
Q2508647,market penetration,00052717-n
Q844947,landing,00053154-n
Q17164719,water landing,00053320-n
Q702380,furlough,00053917-n
Q16251673,Hurricane evacuation,00055641-n
Q332988,defection,00056135-n
Q633339,desertion,00056135-n
Q131288,immigration,00057131-n
Q597260,Aliyah,00057371-n
Q1760704,withdrawal,00057508-n
Q1760704,withdrawal,00057732-n
Q1760704,withdrawal,00058126-n
Q646740,landing operation,00058822-n
Q18351973,disembarkation,00058822-n
Q887540,boarding,00059157-n
Q16775507,embarcation,00059157-n
Q2812388,elopement,00059428-n
Q678883,panelling,00059928-a
Q707918,artesonado,00059928-a
Q598041,prison escape,00060809-n
Q193166,choline,00061228-a
Q131482,Hijra,00061368-n
Q868393,Underground Railroad,00061637-n
Q1796877,trephine,00061838-v
Q381344,consummation,00062612-n
Q5887,orgasm,00062953-n
Q172093,Greater White-fronted Goose,00063536-a
Q688615,world record,00063834-n
Q8035029,workmanship,00065918-n
Q2292472,relapse,00069153-n
Q3942953,Backslide,00069153-n
Q621206,disappointment,00069575-n
Q562566,breach of contract,00069993-n
Q4734657,Aloud,00070301-r
Q105726,urination,00072339-v
