wiki_id,lila_id
L256712,lemma/88076
L256721,lemma/88085
L256724,lemma/88132
L256730,lemma/88095
L256739,lemma/88119
L256746,lemma/88107
L256751,lemma/88111
L256760,lemma/88121
L256767,lemma/88128
L256780,lemma/88141
L256793,lemma/88155
L256795,lemma/88156
L256800,lemma/28313
L256804,lemma/88174
L256823,lemma/88187
L256832,lemma/28469
L256836,lemma/88196
L256847,lemma/88205
L256857,lemma/88219
L256858,lemma/88220
L256866,lemma/88230
L256886,lemma/88251
L256934,lemma/105117
L256935,lemma/10328
L256948,lemma/88305
L256952,hypolemma/1834
L256962,lemma/88320
L256966,lemma/88325
L256967,lemma/88324
L256972,lemma/88332
L256980,lemma/89689
L256998,lemma/91093
L257028,lemma/88275
L257034,lemma/91102
L257044,lemma/88356
L257046,lemma/88371
L257066,lemma/105119
L257071,lemma/88383
L257081,lemma/88389
L257086,hypolemma/1745
L257087,lemma/88395
L257091,lemma/88352
L257095,lemma/88404
L257109,lemma/88419
L257111,lemma/88424
L257133,lemma/141150
L257142,lemma/29386
L257160,lemma/88505
L257162,lemma/88465
L257163,lemma/91009
L257164,hypolemma/1813
L257170,lemma/88472
L257185,lemma/88491
L257191,lemma/88498
L257206,lemma/88511
L257207,lemma/88512
L257208,lemma/88513
L257210,lemma/88527
L257214,lemma/88336
L257223,lemma/88533
L257239,lemma/88520
L257242,lemma/88525
L257248,lemma/105130
L257249,lemma/88550
L257269,hypolemma/114053
L257272,lemma/88576
L257287,lemma/88587
L257290,lemma/88588
L257296,lemma/12959
L257301,lemma/88597
L257309,lemma/139640
L257312,lemma/136693
L257322,lemma/88620
L257340,lemma/88635
L257352,lemma/88643
L257354,lemma/88647
L257358,lemma/88651
L257359,lemma/88652
L257389,lemma/29777
L257406,lemma/14347
L257408,lemma/14370
L257412,lemma/88736
L257414,lemma/88689
L257450,lemma/87541
L257502,lemma/88699
L257513,lemma/88708
L257526,lemma/88720
L257557,lemma/88751
L257570,lemma/88764
L257577,lemma/88774
L257587,hypolemma/113513
L255076,lemma/87240
L255092,lemma/87250
L255094,lemma/87252
L255097,lemma/87254
L255101,lemma/87261
L255108,lemma/87263
L255109,lemma/87264
L255111,lemma/87268
L255114,lemma/87271
L255127,lemma/138346
L255133,lemma/87288
L255146,lemma/87297
L255158,lemma/87309
L255164,hypolemma/531
L255173,lemma/27055
L255186,lemma/87324
L255223,lemma/87350
L255229,lemma/138403
L255249,lemma/87370
L255261,lemma/87378
L255266,lemma/87383
L255284,lemma/87126
L255304,lemma/87148
L255309,lemma/91173
L255335,lemma/87397
L255344,lemma/87403
L255346,lemma/87410
L255347,hypolemma/113100
L255356,lemma/87422
L255357,lemma/87423
L255370,hypolemma/1336
L255371,hypolemma/1342
L255375,lemma/91030
L255379,hypolemma/1358
L255428,lemma/88026
L255436,lemma/88034
L255447,lemma/88041
L255457,lemma/88074
L255464,lemma/88078
L255484,lemma/88086
L255499,lemma/87434
L255502,lemma/91144
L255503,lemma/87436
L255510,lemma/87443
L255513,lemma/87448
L255527,lemma/87465
L255539,lemma/87422
L255542,lemma/87478
L255543,lemma/87479
L255567,lemma/91063
L255581,lemma/87550
L255599,lemma/88351
L255600,lemma/91068
L255623,lemma/88400
L255634,lemma/88418
L255639,lemma/87519
L255644,lemma/87524
L255654,lemma/87537
L255665,lemma/87546
L255668,lemma/87549
L255672,lemma/87552
L255683,lemma/87559
L255688,lemma/87564
L255689,lemma/87565
L255690,lemma/87588
L255707,lemma/87581
L255711,hypolemma/871
L255717,lemma/87585
L255722,lemma/88129
L255741,lemma/87599
L255742,lemma/87600
L255745,lemma/87604
L255747,lemma/88892
L255750,lemma/91156
L255771,lemma/87614
L255774,lemma/91065
L255786,lemma/89317
L255788,lemma/87630
L255805,lemma/89565
L255811,lemma/89214
L255814,lemma/89569
L255826,lemma/89580
L255836,lemma/89591
L255858,lemma/89612
L255859,lemma/89613
L255861,lemma/89615
L255883,hypolemma/2917
L255887,lemma/89638
L255891,lemma/89642
L255896,lemma/89647
L255901,lemma/27518
L35345,lemma/60111
L36077,lemma/91653
L37022,lemma/129790
L38181,lemma/119359
L38219,lemma/129476
L38250,lemma/108786
L38251,lemma/117427
L38273,lemma/88618
L38274,lemma/91039
L38534,lemma/94112
L38535,lemma/94112
L38538,lemma/97841
L38553,lemma/102758
L39295,lemma/124554
L39704,lemma/94828
L39813,lemma/102752
L39820,lemma/102754
L40136,hypolemma/13671
L40210,lemma/102755
L60785,lemma/90648
L252680,lemma/131228
L254048,lemma/113509
L254561,lemma/136494
L254565,lemma/86843
L254566,lemma/86844
L254579,lemma/86837
L254588,lemma/86858
L254590,lemma/91058
L254591,lemma/86860
L254592,lemma/86861
L254603,lemma/86868
L254621,lemma/86882
L254624,lemma/86886
L254627,lemma/86888
L254651,lemma/86905
L254654,lemma/86909
L254659,lemma/86911
L254660,lemma/86912
L254662,lemma/86914
L254664,lemma/86917
L254697,lemma/86955
L254714,lemma/86966
L254737,hypolemma/177
L254738,lemma/86824
L254755,hypolemma/188
L254789,lemma/87021
L254791,lemma/87022
L254792,lemma/135751
L254799,lemma/89375
L254809,lemma/87035
L254812,lemma/87037
L254835,lemma/87057
L254836,lemma/90907
L254844,lemma/19879
L254846,lemma/87060
L254849,lemma/87061
L254854,lemma/87063
L254855,lemma/87068
L254881,lemma/87088
L254891,lemma/91115
L254895,lemma/91116
L254896,lemma/91143
L254909,lemma/89810
L254912,lemma/89811
L254920,lemma/26595
L254922,lemma/135844
L254923,lemma/131257
L254929,hypolemma/337
L254949,lemma/87133
L254958,lemma/87143
L254966,lemma/87145
L254971,lemma/87150
L254979,lemma/87158
L254980,lemma/87159
L254983,lemma/87161
L254988,lemma/87165
L255002,lemma/87176
L255003,lemma/87177
L255007,lemma/87181
L255011,lemma/87186
L255012,hypolemma/435
L255040,lemma/87212
L255051,lemma/87218
L255052,lemma/825
L256814,lemma/28370
L278658,lemma/137038
L275326,lemma/105653
L8793,lemma/10819
L278019,lemma/110889
L2879,lemma/88717
L11769,lemma/89686
L13362,lemma/86824
L275559,lemma/106221
L288206,lemma/106748
L281379,lemma/116669
L257149,lemma/88457
L10907,lemma/90069
L11736,lemma/97932
L11738,lemma/101716
L11740,lemma/106748
L11764,lemma/84730
L11782,lemma/119992
L11783,lemma/127064
L11787,lemma/126422
L16765,lemma/131155
L1732,lemma/136268
L1736,lemma/121084
L254576,lemma/86838
L273844,lemma/102875
L277005,lemma/108752
L277723,lemma/110277
L278182,lemma/111274
L282198,lemma/119443
L286518,lemma/128437
L286951,lemma/129294
L2874,lemma/116322
L287808,lemma/130476
L3071,lemma/22574
L3145,lemma/8375
L38532,lemma/101980
L38541,lemma/129425
L38544,lemma/107902
L5026,lemma/63289
L5030,lemma/13066
L5234,lemma/89164
L5235,lemma/118572
L5746,lemma/98592
L6810,lemma/110382
L6872,lemma/92986
L6903,lemma/89780
L6943,lemma/89692
L714,lemma/118573
L7413,lemma/130275
L7622,lemma/20998
L8161,lemma/103613
L8163,lemma/21073
L8166,lemma/10950
L8168,lemma/137792
L8169,lemma/16280
L8170,lemma/16017
L11755,lemma/124883
L11759,lemma/126718
L11762,lemma/128566
L11772,lemma/102446
L15034,lemma/59203
L25957,lemma/105009
L25961,lemma/100515
L278440,lemma/111706
L280798,lemma/116492
L283137,lemma/121373
L29344,lemma/24845
L29749,lemma/90966
L30640,lemma/114108
L30643,lemma/95648
L30644,lemma/121354
L31218,lemma/130035
L255905,lemma/87268
L255919,lemma/90074
L255924,lemma/90079
L255927,lemma/90080
L255943,lemma/90188
L255950,lemma/90198
L255957,lemma/90291
L255967,lemma/90332
L255982,lemma/90946
L255992,lemma/91050
L256000,lemma/90338
L256010,lemma/90347
L256016,lemma/90354
L256027,lemma/89510
L256028,lemma/90333
L256047,lemma/90266
L256052,hypolemma/76700
L256054,lemma/90412
L256072,lemma/90462
L256073,lemma/90463
L256083,lemma/90382
L256126,lemma/90555
L256129,lemma/90559
L256130,lemma/90561
L256152,lemma/90577
L256174,lemma/87695
L256191,lemma/87711
L256202,lemma/90917
L256216,lemma/87650
L256223,lemma/87658
L256255,hypolemma/1008
L256271,lemma/87723
L256288,lemma/87680
L256291,lemma/87682
L256292,lemma/87731
L256298,lemma/87766
L256312,lemma/87742
L256318,lemma/87748
L256325,lemma/87751
L256327,lemma/87753
L256338,lemma/5108
L256345,lemma/87771
L256360,lemma/87788
L256366,lemma/87793
L256383,lemma/87804
L256387,lemma/91157
L256392,lemma/89359
L256400,lemma/87815
L256404,lemma/87817
L256406,hypolemma/1140
L256407,lemma/87820
L256410,lemma/87822
L256418,lemma/87829
L256428,lemma/87839
L256433,lemma/87842
L256434,lemma/27756
L256448,lemma/27760
L256455,lemma/87859
L256456,lemma/87853
L256458,lemma/87862
L256465,lemma/87868
L256485,lemma/87889
L256500,lemma/87908
L256503,lemma/87911
L256520,lemma/87930
L256529,lemma/87898
L256535,lemma/87943
L256546,lemma/87954
L256547,lemma/90995
L256551,lemma/87958
L256564,lemma/6937
L256568,lemma/87968
L256583,lemma/87982
L256595,hypolemma/1358
L256611,hypolemma/1373
L256616,lemma/88006
L256617,lemma/88007
L256624,lemma/88012
L256627,lemma/88015
L256636,hypolemma/1398
L256638,lemma/90999
L256657,lemma/88037
L256677,lemma/7338
L256679,lemma/28086
L256681,lemma/88053
L256685,lemma/88139
L256686,lemma/88056
L256690,lemma/88059
L256691,lemma/28139
L256693,lemma/88060
L257588,hypolemma/113513
L257614,lemma/88809
L257657,lemma/88869
L257660,lemma/88874
L257662,lemma/88876
L257679,lemma/88893
L257692,lemma/88909
L257697,lemma/88915
L257705,lemma/88923
L257709,lemma/136836
L257710,lemma/136838
L257711,lemma/30153
L257730,lemma/88949
L257731,lemma/88951
L257750,lemma/88972
L257764,lemma/88996
L257770,lemma/89004
L257771,lemma/89001
L257772,lemma/89003
L257780,lemma/89013
L257795,lemma/89025
L257801,lemma/89030
