wikibase_item,label,P5
Q3,CLB record,Q2
Q4,Q3,
Q5,Person,Q2
Q6,Event,
Q7,Term,
Q8,Language,Q2
Q9,Place,Q2
Q10,Project,
Q11,Organization,Q2
Q12,BibCollection,
Q13,Q13,
Q14,Agent,Q2
Q15,Review Article,
Q16,Q16,
Q17,Country,Q2
Q18,Proceedings Volume,
Q19,journal article,
Q20,Journal,
Q21,BibItem Type,
Q22,Software Type,
Q23,Q23,
Q24,Q24,
Q25,Event Report Article,
Q26,Community Communication,
Q27,conference paper,
Q28,book,
Q29,book chapter,
Q30,video,
Q31,presentation,
Q32,thesis,
Q33,Q33,
Q34,Conference Series,
Q35,Q35,
Q36,Q36,
Q37,Q37,
Q38,Q38,
Q39,Q39,
Q40,Q40,
Q41,Q41,
Q42,Q42,
Q43,Q43,
Q44,Q44,
Q45,Q45,
Q46,Q46,
Q47,Q47,
Q48,Q48,
Q49,Q49,
Q50,Q50,
Q51,Q51,
Q52,Q52,
Q53,Q53,
Q54,Q54,
Q55,Q55,
Q56,Q56,
Q57,Q57,
Q58,Q58,
Q59,Q59,
Q60,Q60,
Q61,Q61,
Q62,Q62,
Q63,Q63,
Q64,Q64,
Q65,Q65,
Q66,Q66,
Q67,Q67,
Q68,Q68,
Q69,Q69,
Q70,Q70,
Q71,Q71,
Q72,Q72,
Q73,Q73,
Q74,Q74,
Q75,Q75,
Q76,Q76,
Q77,Q77,
Q78,Q78,
Q79,Q79,
Q80,Q80,
Q81,Q81,
Q82,Q82,
Q83,Q83,
Q84,Q84,
Q85,Q85,
Q86,Q86,
Q87,Q87,
Q88,Q88,
Q89,Q89,
Q90,Q90,
Q91,Q91,
Q92,Q92,
Q93,Q93,
Q94,Q94,
Q95,Q95,
Q96,Q96,
Q97,Q97,
Q98,Q98,
Q99,Q99,
Q100,Q100,
Q101,Q101,
Q102,Q102,
Q103,Q103,
Q104,Q104,
Q105,Q105,
Q106,Q106,
Q107,Q107,
Q108,Q108,
Q109,Q109,
Q110,Q110,
Q111,Q111,
Q112,Q112,
Q113,Q113,
Q114,Q114,
Q115,Q115,
Q116,Q116,
Q117,Q117,
Q118,Q118,
Q119,Q119,
Q120,Q120,
Q121,Q121,
Q122,Q122,
Q123,Q123,
Q124,Q124,
Q125,Q125,
Q126,Q126,
Q127,Q127,
Q128,Q128,
Q129,Q129,
Q130,Q130,
Q131,Q131,
Q132,Q132,
Q133,Q133,
Q134,Q134,
Q135,Q135,
Q136,Q136,
Q137,Q137,
Q138,Q138,
Q139,Q139,
Q140,Q140,
Q141,Q141,
Q142,Q142,
Q143,Q143,
Q144,Q144,
Q145,Q145,
Q146,Q146,
Q147,Q147,
Q148,Q148,
Q149,Q149,
Q150,Q150,
Q151,Q151,
Q152,Q152,
Q153,Q153,
Q154,Q154,
Q155,Q155,
Q156,Q156,
Q157,Q157,
Q158,Q158,
Q159,Q159,
Q160,Q160,
Q161,Q161,
Q162,Q162,
Q163,Q163,
Q164,Q164,
Q165,Q165,
Q166,Q166,
Q167,Q167,
Q168,Q168,
Q169,Q169,
Q170,Q170,
Q171,Q171,
Q172,Q172,
Q173,Q173,
Q174,Q174,
Q175,Q175,
Q176,Q176,
Q177,Q177,
Q178,Q178,
Q179,Q179,
Q180,Q180,
Q181,Q181,
Q182,Q182,
Q183,Q183,
Q184,Q184,
Q185,Q185,
Q186,Q186,
Q187,Q187,
Q188,Q188,
Q189,Q189,
Q190,Q190,
Q191,Q191,
Q192,Q192,
Q193,Q193,
Q194,Q194,
Q195,Q195,
Q196,Q196,
Q197,Q197,
Q198,Q198,
Q199,Anonymous,Q14
Q200,Q200,
