nkcr,wd
ge128383,Q51
ge128735,Q31
ge128817,Q155
ge128927,Q298
ge129942,Q233
ge130488,Q45
ge131103,Q288
ge131732,Q148
ge134593,Q163
ge135889,Q183
ge124250,Q398
ge128667,Q916
ge129403,Q801
ge129766,Q819
ge129821,Q648
ge129841,Q597
ge129937,Q912
ge129979,Q771
ge130184,Q891
ge130302,Q898
ge130487,Q1183
ge130635,Q647
ge131001,Q899
ge131030,Q1049
ge131070,Q869
ge131096,Q1201
ge131168,Q863
ge134078,Q586
ge134190,Q749
ge134232,Q1204
ge134241,Q1044
ge134562,Q686
ge134605,Q878
ge138412,Q973
ge213355,Q922
ge243759,Q643
ge259811,Q585
ge292699,Q524
ge292890,Q463
ge307739,Q883
ge607857,Q1093
ge607888,Q1095
ge693139,Q585
ge732405,Q968
ph115265,Q1057
ph115919,Q676
ph117270,Q362
ph125704,Q544
ge1006171,Q2933
ge1083233,Q4094
ge1090525,Q1363
ge1120032,Q3543
ge128904,Q1533
ge128925,Q1297
ge129177,Q3908
ge129954,Q2119
ge130027,Q1494
ge130749,Q4194
ge130794,Q1693
ge130807,Q2751
ge131220,Q3255
ge131393,Q3955
ge134028,Q3942
ge134047,Q3936
ge134108,Q2132
ge134138,Q2100
ge134144,Q1718
ge134210,Q1757
ge134309,Q1644
ge134392,Q2003
ge134398,Q1522
ge134405,Q3569
ge134465,Q1724
ge136773,Q1489
ge138020,Q1270
ge138805,Q4190
ge149517,Q3329
ge157682,Q3327
ge160483,Q1469
ge161928,Q1749
ge170125,Q3769
ge194043,Q3802
ge213922,Q4100
ge239892,Q3680
ge250434,Q1711
ge259400,Q2683
ge289025,Q3874
ge289658,Q3489
ge299121,Q3549
ge302981,Q1707
ge311619,Q3503
ge338306,Q1277
ge338961,Q1818
ge340563,Q1721
ge369067,Q3750
ge371038,Q1673
ge421321,Q3761
ge453684,Q1499
ge507283,Q4126
ge562025,Q3323
ge564282,Q3240
ge590536,Q3881
ge615923,Q3838
ge625816,Q2471
ge631602,Q3799
ge647462,Q3886
ge678979,Q3751
ge715123,Q4074
ge830204,Q4219
ge840326,Q2137
ge897778,Q3949
ge928052,Q2809
ge937719,Q2423
ge998259,Q1866
ge998260,Q1890
ge998406,Q3586
ph126846,Q2487
ph292469,Q4817
ge1019481,Q9474
ge1052058,Q7507
ge1061874,Q6434
ge1097997,Q8611
ge117888,Q5869
ge128669,Q12892
ge128734,Q10686
ge130413,Q13329
ge130577,Q5710
ge130592,Q6543
ge130785,Q7525
ge131090,Q5836
ge131326,Q7530
ge131496,Q12544
ge132345,Q7007
ge134068,Q5707
ge134082,Q12193
ge134216,Q8336
ge134260,Q5813
ge134435,Q6106
ge134496,Q12770
ge137898,Q5836
ge138162,Q12560
ge160033,Q7024
ge160199,Q5206
ge194720,Q6230
ge211318,Q10562
ge216294,Q13280
ge237947,Q6998
ge249730,Q6477
ge258290,Q7550
ge260685,Q8826
ge287713,Q7830
ge293099,Q12620
ge302980,Q8606
ge307128,Q6441
ge327450,Q10559
ge350752,Q6716
ge351167,Q8909
ge361124,Q12746
ge407213,Q6596
ge410981,Q5595
ge416441,Q13616
ge420217,Q5622
ge421323,Q13135
ge438322,Q6259
ge449419,Q8614
ge460407,Q9009
ge501656,Q13153
ge507331,Q9427
ge517871,Q11690
ge564283,Q6753
ge568757,Q13379
ge607902,Q9733
ge620322,Q7769
ge627625,Q6640
ge630131,Q12569
ge630244,Q12751
ge636651,Q12052
ge641726,Q8194
ge659288,Q11939
ge664116,Q13652
ge671242,Q6149
