code,languageliteral,wikidata
aar,Afar,Q27811
abk,Abkhaz,Q5111
ace,Achinese,
ach,Acholi,Q34926
ada,Adangme,
ady,Adyghe,Q27776
afa,Afroasiatic (Other),
afh,Afrihili (Artificial language),
afr,Afrikaans,Q14196
ain,Ainu,
-ajm,Aljamía,
aka,Akan,Q28026
akk,Akkadian,Q35518
alb,Albanian,Q8748
ale,Aleut,Q27210
alg,Algonquian (Other),
alt,Altai,Q28176
amh,Amharic,Q28244
ang,Old English,Q42365
anp,Angika,Q28378
apa,Apache languages,
ara,Arabic,Q13955
arc,Aramaic,Q28602
arg,Aragonese,Q8765
arm,Armenian,Q8785
arn,Mapudungun,Q33730
arp,Arapaho,Q56417
art,Artificial (Other),
arw,Arawak,Q2655664
asm,Assamese,Q29401
ast,Bable,
ath,Athapascan (Other),
aus,Australian languages,
ava,Avaric,Q29561
ave,Avestan,Q29572
awa,Awadhi,Q29579
aym,Aymara,Q4627
aze,Azerbaijani,Q9292
bad,Banda languages,
bai,Bamileke languages,
bak,Bashkir,Q13389
bal,Balochi,Q33049
bam,Bambara,Q33243
ban,Balinese,Q33070
baq,Basque,Q8752
bas,Basa,
bat,Baltic (Other),
bej,Beja,Q33025
bel,Belarusian,Q9091
bem,Bemba,
ben,Bengali,Q9610
ber,Berber (Other),
bho,Bhojpuri,Q33268
bih,Bihari (Other) ,
bik,Bikol,Q35455
bin,Edo,Q35375
bis,Bislama,Q35452
bla,Blackfoot,Q33060
bnt,Bantu (Other),
bos,Bosnian,
bra,Braj Bhasha,Q35243
bre,Breton,Q12107
btk,Palawan Batak,Q3450443
bua,Buryat,Q33120
bug,Bugis,Q33190
bul,Bulgarian,Q7918
bur,Burmese,Q9228
byn,Blin,Q56491
cad,Caddo,Q56756
cai,Central American Indian (Other),
-cam,Khmer,Q9205
car,Carib,Q56611
cat,Catalan,
cau,Caucasian (Other),
ceb,Cebuano,Q33239
cel,Celtic (Other),
cha,Chamorro,Q33262
chb,Chibcha,Q2356431
che,Chechen,Q33350
chg,Chagatai,Q36831
chi,Chinese,
chk,Chuukese,Q33161
chm,Mari,
chn,Chinook Jargon,Q35173
cho,Choctaw,Q32979
chp,Chipewyan,Q27692
chr,Cherokee,Q33388
chu,Church Slavonic,Q33251
chv,Chuvash,Q33348
chy,Cheyenne,Q33265
cmc,Chamic languages,
cnr,Montenegrin,
cop,Coptic,Q36155
cor,Cornish,Q25289
cos,Corsican,Q33111
cpe,"Creoles and Pidgins, English-based (Other)",
cpf,"Creoles and Pidgins, French-based (Other)",
cpp,"Creoles and Pidgins, Portuguese-based (Other)",
cre,Cree,Q33390
crh,Crimean Tatar,Q33357
crp,Creoles and Pidgins (Other),
csb,Kashubian,Q33690
cus,Cushitic (Other),
cze,Czech,Q9056
dak,Dakota,Q530384
dan,Danish,
dar,Dargwa,
day,Dayak,
del,Delaware,Q2665761
den,Slavey,Q13272
dgr,Dogrib,Q20979
din,Dinka,Q56466
div,Maldivian,Q32656
doi,Dogri,
dra,Dravidian (Other),
dsb,Lower Sorbian,Q13286
dua,Duala,Q33013
dum,"Dutch, Middle (ca. 1050-1350)",
dut,Dutch,Q7411
dyu,Dioula,Q32706
dzo,Dzongkha,Q33081
efi,Efik,
egy,Egyptian,Q50868
eka,Ekajuk,Q35250
elx,Elamite,Q35470
eng,English,Q1860
enm,Middle English,Q36395
epo,Esperanto,Q143
-esk,Eskimo languages,
-esp,Esperanto,Q143
est,Estonian,Q9072
-eth,Ethiopic,
ewe,Ewe,Q30005
ewo,Ewondo,Q35459
fan,Fang,
fao,Faroese,Q25258
-far,Faroese,Q25258
fat,Fante,Q35570
fij,Fijian,Q33295
fil,Filipino,
fin,Finnish,Q1412
fiu,Finno-Ugrian (Other),
fon,Fon,Q33291
fre,French,Q150
-fri,Frisian,
frm,"French, Middle (ca. 1300-1600)",
fro,"French, Old (ca. 842-1300)",
frr,North Frisian,Q28224
frs,East Frisian,Q494355
fry,Frisian,
ful,Fula,
fur,Friulian,Q33441
gaa,Gã,
-gae,Scottish Gaelix,
-gag,Galician,Q9307
-gal,Oromo,Q33864
gay,Gayo,Q33286
gba,Gbaya,
gem,Germanic (Other),
geo,Georgian,Q8108
ger,German,Q188
gez,Ethiopic,
gil,Gilbertese,Q30898
