item_id,parent_id,pdf_id,iso,description
Q1004,8ZR8M554,ALFHJUWG,fra,Altmanova and Zollo 2019
Q1005,E2XHNCF2,RWEMCNLT,fra,Humbley 2019
Q1006,NAN4JVRL,X8XT4SKB,fra,Tallarico and Llopart-Saumell 2018
Q997,JFWK29VS,BK2B5H9G,fra,Perez 2018
Q998,HRBRI46U,YU99SPXI,fra,Patin 2018
Q999,AZYDKUR3,FUM6XMZ2,fra,Dal and Namer 2018
Q1007,TELWBL35,RCDQBAP5,fra,Sablayrolles 2018
Q1009,Y3XKMHQ7,L98PET57,fra,Somé 2018
Q1010,JM7QA7TS,3GEKQ53Y,fra,Humbley and Sablayrolles 2018
Q1011,KKZES47I,RSRW7ULR,fra,El Khamissy 2018
Q1016,GWKSLGJG,44P24UXG,fra,Humbley 2019
Q1017,3DBKKGKH,8E8NXP3C,fra,Humbley and Sablayrolles 2019
Q1018,CB89ETJU,LYV2R9T8,fra,Cetro 2019
Q1019,5REBGK2Z,VFF5UFCL,fra,Michela 2019
Q1021,XJERA7ZZ,2Q2D2J6R,fra,Zollo 2019
Q1022,CBFAXMD3,HFKGKQ6H,fra,Zanola 2019
Q1023,6PB2KS26,G3CTFU7X,fra,Yapomo and Lejeune 2022
Q1012,42FN9QM7,Q2TKZL9N,fra,Humbley and Sablayrolles 2018
Q1013,RZ23S8G4,DPJ79KFW,fra,Benedetto 2019
Q1014,BAYMHZUM,9J4PG9FR,fra,Altmanova 2019
Q1015,5H4ACFVW,7PR5J5JT,fra,Makri-Morel et al. 2019
Q204,V9TCA69T,HC34J2IE,fra,Bach et al. 2022
Q206,Z4IX6KWT,PTI43Q37,fra,Bureau 2023
Q220,93AU7FBY,4D4CGCSQ,fra,Julia 2023
Q221,UVICDLNH,H9LLBWXW,fra,Kossov 2012
Q226,PNTHZP7Y,7MSLVLQW,fra,Manes Gallo and Portine 2013
Q389,LMZ4YGE3,4XRWP7DK,fra,Khalfallah 2019
Q390,6S7AHDXD,SGUXX2M6,fra,Berthelot-Guiet 2003
Q391,P2AK97N8,PBR5CFGT,fra,Brasseur 1999
Q392,TUATDVZ4,WAW4679H,fra,Szende 2000
Q393,HURZRGI8,W5X6ZA3F,fra,Sarale 2000
Q394,NXAUL8JH,SJFXJRLK,fra,Sarale 2017
Q395,ZGKDK7W7,YSJTVFWI,fra,Sablayrolles 2020
Q1024,TRH8PU3C,Y7F7C2FC,fra,Altmanova et al. 2022
Q1025,7ZTNELGB,FTWAAZ97,fra,Francoeur 2022
