qid	Len	P1	P90	P68	Den	P92	P57	qal64	qal64
	gender microaggressions	"""Q104754381"""	Q2573	Q2570	"""subtle, often unintentional verbal or behavioral acts that communicate hostile or derogatory messages about gender identity"""	Q20	"en:""gender microaggressions"""	Q2581	Q1318
	gender dysphoria	"""Q1049021"""	Q2574	Q2570	"""psychological distress caused by a mismatch between one's gender identity and sex assigned at birth"""	Q20	"en:""gender dysphoria"""	Q2581	Q1318
	trans woman	"""Q1052281"""	Q2574	Q2570	"""a woman who was assigned male at birth but identifies as female"""	Q20	"en:""trans woman"""	Q2581	Q1318
	fatphobia	"""Q105605541"""	Q2573	Q2570	"""prejudice, discrimination, or negative attitudes toward people who are fat or plus-sized"""	Q20	"en:""fatphobia"""	Q2581	Q1318
	bropriating	"""Q106542788"""	Q2578	Q2570	"""the act of men taking credit for women’s ideas, labor, or contributions in professional or social settings"""	Q21	"en:""bropriating"""	Q2581	Q1318
	gender euphoria	"""Q106688046"""	Q2574	Q2570	"""the happiness or comfort experienced by trans of non-binary people when they feel their gender expression aligns with their gender identity"""	Q20	"en:""gender euphoria"""	Q2581	Q1318
	transness	"""Q10701290"""	Q2574	Q2570	"""the state or experience of being transgender or gender non-conforming"""	Q20	"en:""transness"""	Q2581	Q1318
	transfeminist	"""Q108122086"""	Q2579	Q2570	"""a feminist framework centering trans experiences and challenging cisnormativity"""	Q23	"en:""transfeminist"""	Q2581	Q1318
	xenine	"""Q108854353"""	Q2574	Q2570	"""of a person who experiences a non-binary identity that can best be described by other methods of gender categorization such as animals, plants, or other things that are not traditionally a gender"""	Q23	"en:""xenine"""	Q2581	Q1318
	xenogender	"""Q108854353"""	Q2574	Q2570	"""a non-binary gender identity defined by qualities unrelated to traditional masculinity/femininity"""	Q20	"en:""xenogender"""	Q2581	Q1318
	cisgender	"""Q1093205"""	Q2574	Q2570	"""of a person, whose gender identity aligns with the sex they were assigned at birth"""	Q23	"en:""cisgender"""	Q2581	Q1318
	sexpreading	"""Q110301823"""	Q2578	Q2570	"""the act of taking up excessive physical space in a sexualized manner, typically by men in public spaces"""	Q21	"en:""sexpreading"""	Q2581	Q1318
	transgender genocide	"""Q113165548"""	Q2573	Q2570	"""systematic violence, erasure, or legislation targeting trans people"""	Q20	"en:""transgender genocide"""	Q2581	Q1318
	deadname	"""Q113319997"""	Q2574	Q2570	"""the former name of a transgender or non-binary person, which they no longer use post-transition"""	Q20	"en:""deadname"""	Q2581	Q1318
	gender spectrum	"""Q116278322"""	Q2574	Q2570	"""a range of gender identities that align on a continuum rather than as a strict male/female binary"""	Q20	"en:""gender spectrum"""	Q2581	Q1318
	demisexual	"""Q116762192"""	Q2571	Q2570	"""a person who only experiences sexual attraction after forming a strong emotional connection"""	Q20	"en:""demisexual"""	Q2581	Q1318
Q2572	abrosexual	"""Q116920756"""	Q2571	Q2570	"""a person whose sexual orientation is fluid and may change over time or in different circumstances"""	Q20	"en:""abrosexual"""	Q2581	Q1318
	allonormativity	"""Q122166722"""	Q2575	Q2570	"""the societal assumption that everyone experiences sexual attraction and that this is the default or 'normal' state"""	Q20	"en:""allonormativity"""	Q2581	Q1318
	gaslighting	"""Q1225041"""	Q2573	Q2570	"""psychological manipulation that makes women question their own reality, memory, or perceptions"""	Q21	"en:""gaslighting"""	Q2581	Q1318
	graysexual	"""Q123344198"""	Q2571	Q2570	"""a person who experiences sexual attraction rarely, only under specific conditions, or with low intensity"""	Q20	"en:""graysexual"""	Q2581	Q1318
	digital sexual violence	"""Q123584488"""	Q2573	Q2570	"""any form of sexual harassment, abuse, or exploitation that occurs through digital platforms"""	Q20	"en:""digital sexual violence"""	Q2581	Q1318
	fragile masculinity	"""Q123677451"""	Q2575	Q2570	"""the anxiety among men who feel they do not meet cultural standards of masculinity"""	Q20	"en:""fragile masculinity"""	Q2581	Q1318
	himpathy	"""Q124476950"""	Q2578	Q2570	"""the cultural tendency to express excessive sympathy for male perpetrators of harm, especially when they target women"""	Q20	"en:""himpathy"""	Q2581	Q1318
	slut shaming	"""Q1253577"""	Q2573	Q2570	"""criticizing or stigmatizing women for perceived promiscuity or sexual behavior"""	Q21	"en:""slut shaming"""	Q2581	Q1318
	decolonial feminism	"""Q127291100"""	Q2579	Q2570	"""feminist theory and activism that challenges colonialism’s legacy and its impact on gender, race, and power structures"""	Q20	"en:""decolonial feminism"""	Q2581	Q1318
	neutrois	"""Q1289754"""	Q2574	Q2570	"""a non-binary gender identity characterized by gender neutrality or nullity"""	Q20	"en:""neutrois"""	Q2581	Q1318
	invisible labour	"""Q130333052"""	Q2580	Q2570	"""unpaid or undervalued work (often caregiving or domestic) that disproportionately falls on women"""	Q20	"en:""invisible labour"""	Q2581	Q1318
