language_name,iso-639-1,iso-639-3,wiki_languagecode,wikibase_item,wikidata_item
English,en,eng,en,Q96,Q1860
French,fr,fra,fr,Q98,Q150
Basque,eu,eus,eu,Q231,Q8752
German,de,deu,de,Q453,Q188
Portuguese,pt,por,pt,Q215,Q5146
Lithuanian,lt,lit,lt,Q352,Q9083
Romanian,ro,ron,ro,Q950,Q7913
Turkish,tr,tur,tr,Q979,Q256
Ukrainian,uk,ukr,uk,Q980,Q8798
Russian,ru,rus,ru,Q212,Q7737
Macedonian,mk,mkd,mk,Q216,Q9296
Modern Greek,el,ell,el,Q981,Q36510
Hungarian,hu,hun,hu,Q982,Q9067
Dutch,nl,nld,nl,Q983,Q7411
Spanish,es,spa,es,Q208,Q1321
Italian,it,ita,it,Q230,Q652
Latvian,lv,lav,lv,Q984,Q9078
Albanian,sq,sqi,sq,Q214,Q8748
Hebrew,he,heb,he,Q985,Q9288
Croatian,hr,hrv,hr,Q351,Q6654
Serbian,sr,srp,sr,Q1078,Q9299
Bulgarian,bg,bul,bg,Q1079,Q7918
Catalan,ca,cat,ca,Q213,Q7026
Georgian,ka,kat,ka,Q1312,Q8108
Arabic,ar,ara,ar,Q97,Q13955
Chinese (simplified),zh,zho,zh-hans,Q99,Q13414913
Slovene,sl,slv,sl,Q100,Q9063
