lemma	lang	POS	langcode	
turismo notturno	Q230	Q20	it	
climaticide	Q98	Q23	fr	
glamping	Q452	Q20	da	
glamping	Q2026	Q20	gl	
glamping	Q208	Q20	es	
brainrot	Q208	Q20	es	
kidulting	Q2025	Q20	pl	
procrastibaking	Q96	Q20	en	
procrastibaking	Q230	Q20	it	
noctourism	Q230	Q20	it	
eggstravaganza 	Q96	Q20	en	
noctourism	Q96	Q20	en	
kidulting	Q96	Q20	en	
janxiety	Q96	Q20	en	
climaticídio	Q215	Q20	pt	
greenager	Q96	Q20	en	
adulting	Q96	Q20	en	
glamping	Q96	Q20	en	
глемпінг	Q980	Q20	uk	
glamping	Q1087	Q20	sr	
Glamping	Q453	Q20	de	
გლემპინგი	Q1312	Q20	ka	
heilafúi	Q1596	Q20	is	
climaticidio	Q208	Q20	es	
noctourisme	Q98	Q20	fr	
climaticide	Q98	Q23	fr	
glamping	Q351	Q20	hr	
fauxmage	Q98	Q20	fr	
fauxmage	Q96	Q20	en	
glamping	Q2743	Q20	sk	
écervelage 	Q98	Q20	fr	
tracances	Q98	Q20	fr	
trabacaciones	Q208	Q20	es	
glamping	Q2744	Q20	cnr	*
kidulting	Q208	Q20	es	
sharenting	Q96	Q20	en	
globesity	Q96	Q20	en	
wellderly	Q96	Q20	en	
sponge city	Q96	Q20	en	
