qid,Lfr,P1,P5
,analogie,"""Q484989""",Q12
,argot,"""Q8102""",Q12
,compocation,,Q12
,composé,,Q12
,concept,"""Q151885""",Q12
,conventionnalisation,,Q12
,dictionnarisation,,Q12
,emprunter,,Q12
,étymologie,"""Q35245""",Q12
,étymon,"""Q992080""",Q12
,euphémisme,"""Q83464""",Q12
,homonyme,"""Q160843""",Q12
,homophone,"""Q221079""",Q12
,homophonie,"""Q42728571""",Q12
,hyperbole,"""Q181036""",Q12
,implantation,,Q12
,institutionnalisation,,Q12
,interfixe,"""Q1153504""",Q12
,lemme,"""Q18514""",Q12
,lexicographie,"""Q184524""",Q12
,locuteur,"""Q16657634""",Q12
,locution,"""Q3257782""",Q12
,monosémie,"""Q191928""",Q12
,morphologie,"""Q38311""",Q12
,mot-clic,"""Q278485""",Q12
,mot-dièse,"""Q278485""",Q12
,néolexicalisation,,Q12
,néologien,,Q12
,néologier,,Q12
,néologisation,,Q12
,néologisme,"""Q130989""",Q12
,néologiste,,Q12
,néolographie,,Q12
,néosémie,"""Q1939117""",Q12
,occasionnalisme,"""Q651345""",Q12
,paléologisme,,Q12
,paronyme,"""Q461723""",Q12
,paronymie,"""Q42728280""",Q12
,quasi-synonyme,"""Q2122467""",Q12
,racine,,Q12
,recomposition,"""Q2135783""",Q12
,signifié,,Q12
,synecdoque,"""Q190068""",Q12
,synonyme,"""Q42106""",Q12
,transposition,,Q12
,tronquer,,Q12
,typologie,,Q12
