Frutak, barazkiak eta tuberkuluak	Q12666
Esnekiak	Q12667
Edari alkoholdunak	Q12668
Burdindegia	Q12669
Osagarriak	Q12670
Argazkilaritza eta optika	Q12671
Liburuak eta diskoak	Q12672
Etxerako tresneria	Q12673
Drogeria	Q12674
Harategia	Q12675
Zerealak	Q12676
Sukaldeko tresneria	Q12677
Oinetakoak	Q12678
Linea zuriko etxetresna elektrikoak	Q12679
Arrandegia	Q12680
Kontserbak eta prestatuak	Q12681
Lorategiko gauzak	Q12682
Koipeak	Q12683
Bulegoko gauzak	Q12684
Txokolatea, kafea eta bestelako estimulatzaileak	Q12685
Irinak eta pastak	Q12686
Jantzi-motak	Q12687
Edari alkoholgabeak	Q12688
Irudi eta soinuko etxetresna elektrikoak	Q12689
Xarkuteria	Q12690
Informatikako gauzak	Q12691
Lekaleak	Q12692
Jostailuak	Q12693
Izoztuak	Q12694
Ongailuak	Q12695
Ogiak eta pastelak	Q12696
Produktu dietetikoak	Q12697
Elektrizitate-tresnak	Q12698
Animalientzako gauzak	Q12699
Azukreak eta gozokiak	Q12700
Arrautzak eta eratorriak	Q12701
Telekomunikazioko aparatuak	Q12702
