izena	bdb_id
Juan Jose Zubiaurre	https://bdb.bertsozale.eus/web/haitzondo/view/1991-juan-jose-zubiaurre
Jose Juan  Zubieta "Etxabe"	https://bdb.bertsozale.eus/web/haitzondo/view/1993-jose-juan-zubieta-etxabe
Rufino  "Nekazabal"	https://bdb.bertsozale.eus/web/haitzondo/view/1680-rufino-nekazabal
Maialen Saez de Okariz	https://bdb.bertsozale.eus/web/haitzondo/view/3557-maialen-saez-de-okariz
Nagore Irazabal	https://bdb.bertsozale.eus/web/haitzondo/view/3412-nagore-irazabal
Ane Olano	https://bdb.bertsozale.eus/web/haitzondo/view/3652-ane-olano
Mikel Lasarte	https://bdb.bertsozale.eus/web/haitzondo/view/3460-mikel-lasarte
Eñaut Martikorena Lizaso	https://bdb.bertsozale.eus/web/haitzondo/view/3484-enaut-martikorena-lizaso
Iñigo Kortazar	https://bdb.bertsozale.eus/web/haitzondo/view/3643-iigo-kortazar
Sarai Robles	https://bdb.bertsozale.eus/web/haitzondo/view/3551-sarai-robles
Endika Sarabia	https://bdb.bertsozale.eus/web/haitzondo/view/3571-endika-sarabia
Joanes  Etxeto "Senpereko Errient"	https://bdb.bertsozale.eus/web/haitzondo/view/3695-joanes-etxeto-senpereko-errient
Josu  Oiartzabal "Xenpelar"	https://bdb.bertsozale.eus/web/haitzondo/view/3249-josu-oiartzabal-xenpelar
Asier Zubizarreta	https://bdb.bertsozale.eus/web/haitzondo/view/3637-asier-zubizarreta
Edurne Azkarate	https://bdb.bertsozale.eus/web/haitzondo/view/3267-edurne-azkarate
Mikel Barandiaran	https://bdb.bertsozale.eus/web/haitzondo/view/3280-mikel-barandiaran
Markel  Becares "Bino"	https://bdb.bertsozale.eus/web/haitzondo/view/3288-markel-becares-bino
Nagore Beitia	https://bdb.bertsozale.eus/web/haitzondo/view/3295-nagore-beitia
Ainhoa Comas	https://bdb.bertsozale.eus/web/haitzondo/view/3314-ainhoa-comas
Asier Galarza	https://bdb.bertsozale.eus/web/haitzondo/view/3355-asier-galarza
Asier Iriondo	https://bdb.bertsozale.eus/web/haitzondo/view/1076-asier-iriondo
Zigor  Iriondo "Zipri"	https://bdb.bertsozale.eus/web/haitzondo/view/1082-zigor-iriondo-zipri
Hodei Iruretagoiena Albizu	https://bdb.bertsozale.eus/web/haitzondo/view/1086-hodei-iruretagoiena-albizu
Juan  Isasi "Txinotxu"	https://bdb.bertsozale.eus/web/haitzondo/view/1093-juan-isasi-txinotxu
Pedro Iturain	https://bdb.bertsozale.eus/web/haitzondo/view/1099-pedro-iturain
