Leu,pos,alias,Deu,Les,Lfr,Len,wd,source_url,source_title
amaierako agur,Q8371,bukaerako agur,Bertso saioaren amaieran botatzen den bertsoa.,bertsos de despedida,bertsos d'adieux,bertsos of farewell,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
Arabako Bertsolari Txapelketa,Q8371,,Arabako bertsolarien artean egiten den txapelketa.,Campeonato de Bertsolaris de Araba,Championnat de Bertsolaris de Alava,Álava Bertsolari Championship,Q12253768,https://www.bertsozale.eus/eu/txapelketak/araba/arabako-bertsolari-txapelketa,https://www.bertsozale.eus/eu/txapelketak/araba/arabako-bertsolari-txapelketa
ariketa,Q8371,bertso-ariketa,"Gaiaz gain, bertsolariak beste hainbat murriztapenekin bete behar duen bertsoaldia.",ejercicio,exercice,exercise,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bakarkako gai,Q8371,,Bertsolariak eman dioten gai jakin bati buruz bakarka osatu behar duen bertsoaldia.,intervención temática en solitario,intervention thématique en solitaire,solo performance on an imposed theme,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bat-bateko,Q8377,,"Inprobisatutako bertsoa, momentuan asmatutakoa.",improvisado,improvisé,improvised,Q214961,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bederatziko,Q8371,,Bederatzi puntu dituen euskal bertso mota.,bederatziko,bederatziko,bederatziko,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso,Q8371,,"Euskal herri-literaturako ahapaldia, bat-batean botatzen dena edo jartzen dena.",bertso,bertso,bertso,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso afari,Q8371,bertso-afari,"Lagunartean egiten den afaria, bertsolarien saioekin girotua izaten dena.",cena con actuación de bertsolaris,dîner avec répresentation de bertsolaris,dinner with a performance by bertsolaris,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso jartzaile,Q8371,bertso-jartzaile,Euskal herri-literaturako bertsoak idazten dituen pertsona.,escritor de bertsos,écrivain de bertsos,bertso writer,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso musikatu,Q8371,,Musika-instrumentuz lagunduta egiten den bertso saioa.,bertsos con música,bertsos en musique,bertsos with music,,https://bertsoa.eus/albisteak/9479-nafarroaren-eguneko-bertso-musikatuak,https://bertsoa.eus/albisteak/9479-nafarroaren-eguneko-bertso-musikatuak
bertso paper,Q8371,"bertso-paper, bertso idatzi, bertso jarri",Jarritako bertsoak jasotzen dituen papera.,hojas volantes de bertsos,bertsos écrits sur des feuilles volantes de papier,ballad sheets of bertsos,Q16516572,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso saio,Q8371,bertso-saio,Bat-bateko bertsoak botatzen diren saioa.,actuación de bertsolaris,représentation de bertsolaris,bertsolaris event,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso saltzaile,Q8371,bertso-saltzaile,Bertsopaperak saltzen dituen pertsona.,vendedor de bertsos,vendeur de bertsos,bertso salesman,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertso-eskola,Q8371,,Bertsolaritzan ikasteko eta trebatzeko zentroa.,bertso-eskola,bertso-eskola,bertso-eskola,Q12255081,https://eu.wikipedia.org/wiki/Bertso-eskola,https://eu.wikipedia.org/wiki/Bertso-eskola
bertso-jaialdi,Q8371,,Bertsolariak biltzen dituen eta gai-jartzaileen laguntzaz bertso saioak antolatzen dituen jaialdia.,festival de bertsolaris,festival de bertsolaris,festival with bertsolaris,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bertso-lerro,Q8371,bertso-lerro,Bertso bat osatzen duten lerroetako bakoitza.,línea,ligne,line,,https://bertsoikasgela.eus/baliabideak/132/,https://bertsoikasgela.eus/baliabideak/132/
bertso-trama,Q8371,,Gidariak proposatzen duen nolabaiteko antzerki-gidoi bat garatuz egiten den bat-bateko saioa.,bertso-trama,bertso-trama,bertso-trama,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bertso-txapelketa,Q8371,,"Bertsolarien artean egiten diren txapelketak, bertso bakoitzari puntuazio bat jarrita.",campeonato de bertsolaris,championnat de bertsolaris,bertsolaris championship,,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bertsoak bota,Q8373,,Jendaurrean bertsoak bat-batean osatu eta kantatu.,cantar bertsos,chanter des bertsos,sing bertsos,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsoak jarri,Q8373,"bertsoak eman, bertsoak atera, bertsoak ipini, bertsoak paratu",Bat-batekoak ez diren bertso berriak idatziz eman.,escribir bertsos,écrire des bertsos,write bertsos,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsoaldi,Q8371,,1. Bertsolariak botatzen duen bertso sorta edo egiten duen bertso saioa. 2. Bertso sorta.,intervención,intervention,performance,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsogintza,Q8371,,1. Bertsoak egitea. 2. Bertsoak botatzea edo jartzea.,creación bertsolarística,création bertsolaristique,bertsolaristic creation,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsokera,Q8371,,Bertsoak moldatzeko era.,manera de hacer bertsos,manière de faire des bertsos,style of making bertsos,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsolari,"Q8371,Q8377","olerkari, bertsogile","Bertsoak jartzen edo, bereziki, bertsoak botatzen dituen pertsona.",bertsolari,bertsolari,bertsolari,Q630993,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
Bertsolari Txapelketa Nagusia,Q8371,,Euskal Herri osoko bertsolarien artean egiten den txapelketa.,Campeonato Nacional de Bertsolaris,Championnats Nationaux de Bertsolaris,National Bertsolari Championship,Q8247090,https://bdb.bertsozale.eus/common/file/get/73978,Bat-bateko bertsolaritza: gakoak eta azterbideak
bertsolaritza,Q8371,bertsogintza,"Euskal herri-literaturaren adarra, bertsolariari eta bertsogintzari dagokiena.",bertsolarismo,bertsolarisme,bertsolaritza,Q631621,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
bertsozale,"Q8371,Q8377",,Bertsoen zalea dena.,aficionado/a al bertsolarismo,amateur de bertsolarismo,bertso aficionado,,https://www.euskaltzaindia.eus/dok/plazaberri/2022/abendua/bertsolaritza.pdf,Bertsolaritza Euskaltzaindiaren Hiztegian
Bertsozale Elkartea,Q8371,,Bertsolaritza babesteko eta sustatzeko asmoz sorturiko elkarte kulturala.,Bertsozale Elkartea,Bertsozale Elkartea,Bertsozale Elkartea,Q526522,https://www.bertsozale.eus/eu,https://www.bertsozale.eus/eu
