Leu,Aeu,iturria,eusterm,wikidata,pos,DefEu,Deu,Jeu,Les,DefEs,Des,Jes,Lfr,DefFr,Dfr,Jfr,Len,DefEn,Den,Jen,Propietateak,P3 (honen parte),P4 (honen azpiklase)
amaierako agur,bukaerako agur,Q19087,Q8381,,Q8371,"Bertsolariak bertso saio baten amaieran botatzen duen bertsoa, hark hautatutako gai eta doinuan, aurretik prestatua izan daitekeena","bertsolariak bertso saio baten amaieran botatzen duen bertsoa, hark hautatutako gai eta doinuan, aurretik prestatua izan daitekeena",Q19111,bertso de despedida,"Bertso cantado por el bertsolari al final de la actuación, con la tonada y métrica de su elección, que puede haber preparado con anterioridad","bertso cantado por el bertsolari al final de la actuación, con la tonada y métrica de su elección, que puede haber preparado con anterioridad",Q19111,bertso d'adieux,"Bertso chanté par le bertsolari au fin de la représentation, avec l'air et le métre de son choix, et avec la possibilité de l'avoir préparé à l'avance","bertso chanté par le bertsolari au fin de la représentation, avec l'air et le métre de son choix, et avec la possibilité de l'avoir préparé à l'avance",Q19111,bertso of farewell,"Bertso sung by the bertsolari at the end of the performance, with the melody and metre of their choice, and with the possibility of having prepared it in advance","bertso sung by the bertsolari at the end of the performance, with the melody and metre of their choice, and with the possibility of having prepared it in advance",Q19111,honen azpiklase: ariketa,,Q8383
ariketa,,Q19087,Q8383,,Q8371,"Gaiaz gain, bertsolariak beste hainbat murriztapenekin bete behar duen bertsoaldia","gaiaz gain, bertsolariak beste hainbat murriztapenekin bete behar duen bertsoaldia",Q19111,ejercicio,"Cualquier tipo de intervención en la que, además del tema, se impone a los bertsolaris una determinada mecánica que está obligado a respetar.","cualquier tipo de intervención en la que, además del tema, se impone a los bertsolaris una determinada mecánica que está obligado a respetar.",Q19087,exercice,"Tout type d'intervention qui, en plus du thème, impose au bertsolari un mécanisme précis qu'il est obligé de respecter","tout type d'intervention qui, en plus du thème, impose au bertsolari un mécanisme précis qu'il est obligé de respecter",Q19087,exercise,"Any kind of performance in which, apart from the theme, the bertsolari is obliged to follow specific rules.","any kind of performance in which, apart from the theme, the bertsolari is obliged to follow specific rules.",Q19087,honen parte: bertso saio,Q8392,
bakarkako gai,,Q19087,Q8384,,Q8371,Gai jartzaileak aurkeztutako gaiaren inguruan abestu beharreko bertsoaldia,gai jartzaileak aurkeztutako gaiaren inguruan abestu beharreko bertsoaldia,Q19111,intervención temática en solitario,Intervención en la que los bertsolaris improvisan sobre el tema que propone el conductor,intervención en la que los bertsolaris improvisan sobre el tema que propone el conductor,Q19087,intervention thématique en solitaire,Intervention dans laquelle les bertsolaris improvisent sur le thème proposé par le meneur du jeu,intervention dans laquelle les bertsolaris improvisent sur le thème proposé par le meneur du jeu,Q19087,solo performance on an imposed theme,Performance in which the bertsolari improvises the bertsos (normally three) on a theme provided by the theme-prompter.,performance in which the bertsolari improvises the bertsos (normally three) on a theme provided by the theme-prompter.,Q19087,honen azpiklase: ariketa,,Q8383
bat-bateko bertso,,Q19090,Q19104,,Q8371,"Bat-batean, inprobisaturik, botatzen den bertsoa","bat-batean, inprobisaturik, botatzen den bertsoa",Q19090,bertso improvisado,Bertso que se completa y canta de forma improvisada,bertso que se completa y canta de forma improvisada,Q19111,bertso improvisé,Bertso complété et chanté de manière improvisé,bertso complété et chanté de manière improvisé,Q19111,improvised bertso,Bertso completed and sung in an improvised manner,bertso completed and sung in an improvised manner,Q19111,honen azpiklase: bertso,,Q8387
bederatziko,,Q19088,Q8386,,Q8371,"Bertsogintzan, bederatzi lerro eta sei puntu dituen bertso mota","bertsogintzan, bederatzi lerro eta sei puntu dituen bertso mota",Q19111,bederatziko,Bertso de nueve lineas y seis puntos,bertso de nueve lineas y seis puntos,Q19111,bederatziko,Bertso de neuf lignes et six points,bertso de neuf lignes et six points,Q19111,bederatziko,Bertso made up of nine lines and six puntus,bertso made up of nine lines and six puntus,Q19111,honen azpiklase: neurri,,Q1751
bertso,,Q19087|Q19088,Q8387,,Q8371,"Euskal herri-literaturako ahapaldia, bat-batean botatzen dena edo jartzen dena","euskal herri-literaturako ahapaldia, bat-batean botatzen dena edo jartzen dena",Q19088,bertso,Cada una de las estrofas que improvisa el bertsolari en sus intervenciones,cada una de las estrofas que improvisa el bertsolari en sus intervenciones,Q19087,bertso,Chaque strophe improvisée par le bertsolari dans ses interventions,chaque strophe improvisée par le bertsolari dans ses interventions,Q19087,bertso,Each one of the stanzas that the bertsolari improvises during their performance.,each one of the stanzas that the bertsolari improvises during their performance.,Q19087,honen parte: bertsogintza,Q8402,
bertso afari,bertso-afari,Q19087|Q19088,Q8388,,Q8371,"Lagunartean egiten den afaria, bertsolarien saioekin girotua izaten dena","lagunartean egiten den afaria, bertsolarien saioekin girotua izaten dena",Q19088,cena con actuación de bertsolaris,"Cena coloquial, ambientada por una actuación de bertsolaris","cena coloquial, ambientada por una actuación de bertsolaris",Q19111,dîner avec représentation de bertsolaris,"Dîner informel, accompagné d'une performance de bertsolaris","dîner informel, accompagné d'une performance de bertsolaris",Q19111,dinner with a performance by bertsolaris,"Informal dinner, accompanied by a bertsolaris performance","informal dinner, accompanied by a bertsolaris performance",Q19111,honen azpiklase: mahai inguruko saio,,Q8439
bertso bazkari,bertso-bazkari,Q19087|Q19088,Q19093,,Q8371,"Lagunartean egiten den bazkaria, bertsolarien saioekin girotua izaten dena","lagunartean egiten den bazkaria, bertsolarien saioekin girotua izaten dena",Q19088,comida con actuación de bertsolaris,"Comida coloquial, ambientada por una actuación de bertsolaris","comida coloquial, ambientada por una actuación de bertsolaris",Q19111,déjeuner avec représentation de bertsolaris,"Déjeuner informel, accompagné d'une performance de bertsolaris","déjeuner informel, accompagné d'une performance de bertsolaris",Q19111,lunch with a performance by bertsolaris,"Informal lunch, accompanied by a bertsolaris performance","informal lunch, accompanied by a bertsolaris performance",Q19111,honen azpiklase: mahai inguruko saio,,Q8439
bertso eskola,bertso-eskola,Q19087|Q19088,Q8394,Q12255081,Q8371,Bertsolaritzan ikasteko eta trebatzeko zentroa,bertsolaritzan ikasteko eta trebatzeko zentroa,Q19088,escuela-taller de bertsolarismo,Centro para aprender y entrenarse en el bertsolarismo,centro para aprender y entrenarse en el bertsolarismo,Q19111,atelier-école de bertsolarisme,Centre d'apprentissage et de formation au bertsolarisme,centre d'apprentissage et de formation au bertsolarisme,Q19111,"bertsolaritza workshop, bertsolaritza school",Center for learning and training oneself in bertsolarism,center for learning and training oneself in bertsolarism,Q19111,honetan trebatzeko leku: bertsogintza,,
bertso idatzi,bertso jarri,Q19087|Q19088,Q19094,Q16516572,Q8371,"Bat-batean abestu ordez, idatziz osatzen diren bertsoak","bat-batean abestu ordez, idatziz osatzen diren bertsoak",Q19111,bertsos escritos,"Bertsos que se forman de forma escrita, en lugar de ser improvisados oralmente","bertsos que se forman de forma escrita, en lugar de ser improvisados oralmente",Q19111,bertsos écrits,"Bertsos complétés à l'écrite, en lieu d'être improvisés a l'orale","bertsos complétés à l'écrite, en lieu d'être improvisés a l'orale",Q19111,written bertsos,"Bertsos that are completed by being written, rather than being improvised orally","bertsos that are completed by being written, rather than being improvised orally",Q19111,honen azpiklase: bertso,,Q8387
