EN	Q zenbakiak	ES	Q zenbakiak ES	EU
abstract dance				
acro dance	Q2603192	acro dance	Q2603192	
allemande	Q214305	allemande	Q214305	
ballet	Q41425	ballet	Q41425	
ballroom dance	Q1085001	ballroom dance	Q1085001	
barn dance	Q808399	baile del granero		
beguine	Q17080629			
belly dance	Q182863	belly dance	Q182863	
bolero	Q489913	bolero	Q489913	
bossa nova	Q2911547			
bourrée	Q866816	bourrée	Q866816	
breakdance	Q169737	breakdance	Q169737	
bunny hop	Q4997884			
cakewalk	Q1026113	cakewalk	Q1026113	
cont cont	Q333009	cacán		
céilidh	Q1150334			
cha-cha-cha	Q208370			
charleston	Q1066703	charleston	Q1066703	
classical dance				
clogging	Q488656			
Conga line	Q1474245	Conga line	Q1474245	
contra dance	Q747339			
country-western dance	Q856284			
courante	Q664056	courante	Q664056	
Aragonese dance	Q16555170			
disco dance	Q1228513			
dragon dance	Q636304			
fandango	Q1130969	fandango	Q1130969	
flamenco	Q9764	flamenco	Q9764	
folk dance	Q201022			
foxtrot	Q245418	foxtrot	Q245418	
The Frug	Q7735386	The Frug	Q7735386	
gavotte	Q215742	gavotte	Q215742	
gigue	Q567915			
habanera	Q835562			
Highland Fling	Q1617922	Highland Fling	Q1617922	
hip hop dance	Q2071053	hip hop dance	Q2071053	
Hula	Q866636	Hula	Q866636	
hustle	Q2914794			
ice dance	Q926191			
Interpretive dance	Q17081731			
Irish dance	Q1146185	Irish dance	Q1146185	
jazz dance	Q936055			
jig	Q1079270	jig/jiga		
jitterbug	Q950354	jitterbug	Q950354	
Jive	Q17237	Jive	Q17237	
Koftos	Q6425740			
Krumping	Q595772			
lambada	Q533946			
Latin dance	Q1457972			
Limbo	Q1756379			
lindy hop	Q1134329			
line dance	Q16655962			
mambo	Q333002	mambo	Q333002	
maypole dance	Q6797919			
mazurka	Q151942	mazurka	Q151942	
Merengue	Q4413211	Merengue	Q4413211	
Mexican hat dance				
minuet	Q205734	minuet	Q205734	
modern dance	Q850130			
One-Step	Q1968059	One-Step	Q1968059	
pas de deux	Q909781			
pasodoble	Q208341	pasodoble	Q208341	
pavane	Q180853	pavane	Q180853	
polka	Q153071	polka	Q153071	
pop				
quadrille	Q394084			
reel	Q118120	reel	Q118120	
rhumba	Q221438	rhumba	Q221438	
salsa	Q189825	salsa	Q189825	
Scottish dance	Q31180142			
slow dance	Q1824718			
Sousta	Q7565251			
square dance	Q1156994			
step dance	Q3360620			
stomp	Q1236671			
swing	Q123704			
tango	Q338450	tango	Q338450	
tap dance	Q244475			
tarantella	Q324617	tarantella	Q324617	
Troika	Q2471215			
twist	Q387916			
Country-western two-step	Q5177180			
Ukrainian dance	Q108437544			
waltz	Q1087985	vals	Q1751542	
watusi	Q7773761			
street dance	Q1061584			
		bachata	Q12414569	
		basse danse	Q810479	
		Bharatanatyam	Q334156	
		Boston	Q841788	
		branle	Q898742	
		tap dance	Q244475	
		contra dance	Q747339	
		cotillion	Q2998594	
		cueca	Q766240	
		csárdás	Q725991	
		chacarera	Q597493	
		chaconne	Q841238	
		ESCOCÉS		
		moresca	Q15362491	
		DANZA PRIMA		
		dabke	Q1156570	
		DERVICHES		
		farandole	Q1396228	
		FOLÍA		
		FUNKY		
		galop	Q698092	
		GALLARDA (GAILLARDA)		
		hopak	Q1139098	
		Kasap havası	Q303377	
		hora	Q653485	
		hornpipe	Q1547484	
		Isa	Q9009342	
		jota	Q252626	
		Kalamatianos	Q1721946	
		Kathak	Q949256	
		Kathakali	Q839500	
		kolo	Q1076115	
		Ländler	Q166705	
		muiñeira	Q1550501	
		passacaglia	Q752329	
		polonaise	Q203478	
		rigaudon	Q383845	
		rock'n'roll dance	Q3437730	
		ROUNDELAY		
		SCHUHPLATTER		
		sevillanas	Q976634	
		Syrtos	Q1419075	
		VALS ESPAÑOL		
		Vira	Q3560556	
		YEMENITA		
		sarabande	Q208593	
		Zumba	Q122981368	
		REGGAETÓN		
		DENBOW		
		CONTEMPORÁNEO		
