concept,uz_st,uzei_id
Q6747,Q6747-50E93B19-4566-4C48-8EA7-FE6DEDB52BF9,musika_075
Q6748,Q6748-8E04697C-D136-4E2A-821F-359CA21E0F06,musika_076
Q6749,Q6749-FD32EE74-C662-44D3-8106-9B1DF90B2ED8,musika_077
Q6750,Q6750-533FB9E9-362C-42C7-BD9E-26FD8C2E7B9C,musika_078
Q6751,Q6751-7620557A-4FA4-430D-9E85-1AE64264A0AC,musika_079
Q6752,Q6752-81A8101E-DA5C-45D9-8896-E9A26733FB64,musika_080
Q6753,Q6753-955EAB4C-D4CD-4251-A1FD-3ABF9C80E607,musika_081
Q6754,Q6754-C462667E-3BC5-444C-BD8D-1864390520DC,musika_082
Q6755,Q6755-C3D59744-667D-4D2B-A4D0-2FBA7D74330F,musika_083
Q6756,Q6756-49AB6B5E-F653-467E-BD54-385B7A34B1A3,musika_084
Q6757,Q6757-32977F06-D550-4C36-81CB-B9C78DE66278,musika_085
Q6758,Q6758-0B8F8EEC-6ACB-4FE9-8F4F-D7D61C1D8405,musika_086
Q6759,Q6759-782C3D18-9C64-47E7-A82D-C6056EF7FECB,musika_087
Q6760,Q6760-6917B7AA-6D84-4F1C-BDA7-1DFDBF042508,musika_088
Q6761,Q6761-D5D781F5-8D68-4EA9-B879-4CD688AE94F4,musika_089
Q6762,Q6762-D148E4DE-DE2E-49C9-9930-0BDB3BD99047,musika_090
Q6763,Q6763-CE97FE2E-5769-4027-8CCE-0F2AAF0065A4,musika_091
Q6764,Q6764-299A3607-9E8E-424B-A715-978783E79AD7,musika_092
