eusterm,wikidata
Q216,Q245423
Q218,Q196626
Q230,Q164509
Q237,Q849359
Q238,Q593744
Q239,Q1172480
Q242,Q324254
Q249,Q3589301
Q262,Q8380731
Q272,Q1469824
Q274,Q223393
Q277,Q859161
Q2150,Q193150
Q2151,Q878123
Q2151,Q878123
Q2152,Q16949181
Q2152,Q16949181
Q2154,Q7885847
Q2154,Q7885847
Q2168,Q3275569
Q2168,Q3275569
Q2169,Q1079023
Q2169,Q1079023
Q2177,Q760132
Q2177,Q760132
Q2181,Q38127868
Q2181,Q38127868
Q2183,Q4266699
Q2183,Q4266699
Q2185,Q3108904
Q2185,Q3108904
Q2202,Q4050462
Q2202,Q4050462
Q2210,Q106635228
Q2210,Q106635228
Q2226,Q1241356
Q2226,Q1241356
Q2249,Q877674
Q2249,Q877674
Q2262,Q23384
Q2262,Q23384
Q2269,Q124282
Q2269,Q124282
Q2274,Q1809624
Q2274,Q1809624
Q2285,Q1456832
Q2285,Q1456832
Q2287,Q775594
Q2287,Q775594
Q2299,Q185451
Q2299,Q185451
Q2328,Q327245
Q2328,Q327245
Q2335,Q190200
Q2336,Q107679
Q2337,Q813672
Q2338,Q150784
Q2340,Q7493941
Q2341,Q7321258
Q2343,Q6017969
Q2344,Q222912
Q2347,Q285783
Q2349,Q3294251
Q2350,Q2910662
Q2351,Q382018
Q2352,Q7321974
Q2355,Q1317637
Q2356,Q6008593
Q2357,Q328092
Q2358,Q186131
Q2359,Q131862
Q2360,Q2042028
Q2361,Q2048319
Q2362,Q740445
Q2364,Q207326
Q2366,Q3618634
Q2368,Q819677
Q2369,Q35666
Q2370,Q75520
Q2371,Q15766
Q2372,Q8063
Q2374,Q3699460
Q2375,Q944588
Q2376,Q35509
Q2377,Q500023
Q2378,Q39816
Q2379,Q10862618
Q2380,Q1133195
Q2382,Q940023
Q2385,Q152005
Q2389,Q56042759
Q2390,Q34027
Q2391,Q1435994
Q2392,Q36253
Q2393,Q1361400
Q2394,Q5654036
Q2396,Q1139344
Q2397,Q1174791
Q2399,Q182676
Q2400,Q1061151
Q2401,Q46831
Q2403,Q2610088
Q2404,Q921099
Q2405,Q54050
Q2407,Q42948
Q2408,Q25447389
Q2411,Q384262
Q2412,Q7376362
Q2414,Q34038
Q2415,Q648116
Q2416,Q388227
Q2419,Q36908
Q2421,Q206091
Q2422,Q879208
Q2431,Q22857
Q2436,Q186222
Q2439,Q6171655
Q2449,Q179687
Q2460,Q2093999
Q2462,Q1075998
Q2463,Q11698842
Q2464,Q1486662
Q2465,Q29358
Q2474,Q12014207
Q2475,Q200513
Q2476,Q26269989
Q2498,Q867068
Q2512,Q217106
Q2519,Q927273
Q2541,Q574415
Q2542,Q9690
Q2543,Q276469
Q736,Q2281298
Q738,Q950318
Q748,Q11432170
Q751,Q12757
Q753,Q595658
Q758,Q1255515
Q764,Q1554036
Q766,Q1130239
Q767,Q3711790
Q771,Q37221
Q773,Q4903799
Q778,Q1293233
Q780,Q895398
Q781,Q1660984
Q782,Q1393844
Q786,Q5198626
Q788,Q1112950
Q792,Q832003
Q801,Q3430864
Q807,Q4903791
Q814,Q2233812
Q825,Q251741
Q838,Q1498024
Q839,Q17018280
Q841,Q1750982
Q860,Q516366
Q863,Q223924
Q865,Q536135
Q871,Q2945123
Q873,Q907275
Q877,Q4903793
Q878,Q4903779
Q879,Q1189497
Q881,Q1328068
Q882,Q2164863
Q883,Q651103
Q884,Q1780962
Q885,Q1426724
Q888,Q447866
Q889,Q7607956
Q891,Q2092049
Q898,Q11427
Q911,Q181790
Q920,Q1934967
Q921,Q1720351
Q923,Q49717
Q924,Q104481553
Q926,Q1156860
Q927,Q143698
Q929,Q2094096
Q931,Q786262
Q933,Q1147317
Q940,Q749459
Q942,Q4903805
Q943,Q1392553
Q944,Q4385090
Q947,Q1524253
Q949,Q1500340
Q951,Q4903773
Q952,Q55304203
Q954,Q1392524
Q956,Q1300900
Q958,Q2414049
Q960,Q508113
Q961,Q1424487
Q965,Q1127483
Q966,Q2736972
Q975,Q6664287
Q976,Q4898568
Q978,Q7260044
Q982,Q572809
Q984,Q142274
Q989,Q637484
Q991,Q2141634
Q993,Q154411
Q994,Q16953
Q995,Q19769
Q996,Q1419325
Q998,Q5198662
Q1001,Q16243822
Q1004,Q17238
Q1005,Q11751004
Q1006,Q466410
Q1013,Q1824165
Q1015,Q17001222
Q1022,Q4907353
Q1023,Q215768
Q1038,Q337540
Q1039,Q6082679
