wikidata	itemLabel	labelBerria	testuingurua	agertokia1	agertokia2
Q943	hori				
Q1088	urdin				
Q3133	berde				
Q3142	gorri				
Q23444	zuri				
Q23445	beltz				
Q39338	laranja				
Q42519	gris				
Q47071	arre				
Q75737	Q75737 				
Q180778	zian				
Q194191	okre				
Q208045	urrekara				
Q218218	Q218218				
Q244822	gorriluna				
Q253181	Q253181 	URDIN EGIPTOAR	Aurkitutako kolore aniztasunak, aberastasun polikromoaren ideia bat ematen du: beltza (asfaltoa), gorria (beira gorri opakoa, bermiloia, okre gorrizko hematitea), berdea, urdin egiptoarra, zuria, horia (okrea edo urrea). Landare pigmentuen erabilera, irudikatua da, baina oraindik ez da pigmentu horien erabileraren frogarik aurkitu.	https://eu.wikipedia.org/wiki/Persepolis	
Q303826	gorrimin				
Q310115	Q310115	GLAUKO	izond. BOT. Kolore berde-urdinxka duena.	http://www1.euskadi.net/harluxet/hiztegia1.asp?sarrera=glauko 	
Q313120	zeru-kolore				
Q372669	Q372669				
Q372973	Q372973 	AKUAMARINA	Kolore urdin edo turkesa fina dauka	https://eu.wikipedia.org/wiki/Aquamarina 	
Q373058	Q373058 	ZERU URDIN		https://hiztegiak.elhuyar.eus/es/cer%C3%BAleo 	
Q373160	oztina				
Q373173	Q373173 	LAPIS LAZULI	Aminak, lapis lazuli koloreko tunika zeramanak, Laute-hariak deitutako kontakizunari ekin zion:	Kartografien eta mikrobio narratiboen artean, Amaia Iturbide, Maiatz, 2013 	
Q373586	Urdin elektriko				
Q373658	Q373658				
Q373787	Q373787 				
Q425278	Q425278 	KOBALTO URDIN	Ming dinastiaren garaian portzelana asko egin zen, portzelana zuria marrazki urdinekin (kobalto urdina),	https://eu.wikipedia.org/wiki/Ming_dinastia 	
Q428124	More				
Q429220	arrosa				
Q454847	Q454847 				
Q492192	Q492192 				
Q492305	Q492305  	EIGENGRAU	Eigengrau kolorea gure garunak automatikoki baliatzen duena da ez duenean deus behatzeko.	https://www.gaztezulo.eus/albisteak/begiak-istean-ikusten-duzun-koloreak-izen-bat-du-eigengrau 	
Q498423	Falun gorria				
Q513479	Q513479 				
Q533047	Q533047				
Q534583	Q534583 	KLEIN URDINA		https://www.kimikarte.eus/2016/02/klein-urdina.html 	
Q536284	Q536284 	GIBEL KOLORE	"""Gero, a beste irugarrena rapidua dok eta gibel-koloria emon biajakok ondo iraotzeko"" SM EiTec1 (s.v. iraotu)."	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=sarreraIkusi&Itemid=340&lang=fr&id=156258	
Q543923	Herdoil kolore				
Q604079	malba				
Q612837	Q612837 				
Q628657	Q628657	JADE KOLORE	Zoruan ezko-oihalezko mosaiko bat dago, erronboide jade-kolorez, urdinez eta zinabriokolorez osatua.	Ulises, James Joyce (Xabier Olarra), Igela, 2015	
Q646964	Q646964	BERDE-URDIN		https://www.ehu.eus/documents/2660428/9145670/Koloreak_1.pdf/56dff831-154a-d143-341f-20e5795e4432 	
Q650770	Kaki				
