Q2072,Q840343
Q2073,Q2197000
Q2075,Q2446216
Q2077,Q3931099
Q2078,Q383128
Q2079,Q5857294
Q2081,Q189289
Q2082,Q31920
Q2084,Q3091830
Q2085,Q12338050
Q2086,Q10843402
Q2100,Q2035256
Q2102,Q212989
Q2103,Q28823
Q2104,Q752296
Q2105,Q477849
Q2106,Q798886
Q2120,Q131647
Q2124,Q1734392
Q2128,Q327742
Q2130,Q381165
Q2148,Q28811600
Q2149,Q12052936
Q2150,Q193150
Q2151,Q878123
Q2152,Q16949181
Q2154,Q7885847
Q2167,Q852061
Q2168,Q3275569
Q2169,Q1079023
Q2171,Q1940874
Q2177,Q760132
Q2181,Q38127868
Q2182,Q170406
Q2183,Q4266699
Q2185,Q3108904
Q2187,Q5002970
Q2188,Q206864
Q2198,Q1501
Q2202,Q4050462
Q2210,Q106635228
Q2222,Q24255565
Q2225,Q9133390
Q2226,Q1241356
Q2227,Q9129064
Q2231,Q599999
Q2241,Q26484625
Q2242,Q24255566
Q2249,Q877674
Q2253,Q326163
Q2254,Q828185
Q2255,Q31987
Q2257,Q1154385
Q2258,Q657196
Q2259,Q245249
Q2262,Q23384
Q2264,Q35872
Q2265,Q631004
Q2269,Q124282
Q2274,Q1809624
Q2285,Q1456832
Q2287,Q775594
Q2291,Q99496317
Q2292,Q2648051
Q2297,Q992350
Q2299,Q185451
Q2304,Q242165
Q2305,Q1036696
Q2307,Q17143662
Q2323,Q143937
Q2327,Q1391346
Q2328,Q327245
Q2330,Q631004
Q2333,Q11331205
