Q2098,Q2583685
Q2126,Q327742
Q2135, Q7315624
Q2139,Q6500260
Q2141,Q529711
Q2143,Q202648
Q2147,Q994779
Q2160,Q705899
Q2165,Q4504495
Q2172,Q9530
Q2174,Q245249
Q2175,Q206864
Q2178,Q1154385
Q2180,Q36657981
Q2191,Q1501
Q2195,Q42948
Q2196,Q42948
Q2199,Q11812678
Q2200,Q11812678
Q2201,Q200266
Q2212,Q7657843//Q7657819
Q2213,Q7657849//Q7657825
Q2214,Q20083827//Q20361156
Q2215,Q7657845 //Q7657821
Q2216,Q7657851//Q7657829
Q2217,Q7657848 //Q7657823
Q2218,Q7657864 //Q7657840
Q2219, Q7657867 //Q7657411
Q2220,Q60520092 //Q60520092
Q2221,Q7657854 // Q7657854
Q2228,Q7657866 //Q7657841
Q2229,Q7435308
Q2230,Q496946
Q2232,Q1296024
Q2237,Q18635383 //Q18635383
Q2238,Q1198508 //Q916930
Q2239,Q240257 // Q240257
Q2240,Q7657863 //Q7657863
Q2245,Q3499911
Q2246,Q3879562 //Q64513987
Q2247,Q7657853 // Q7657827
Q2248,Q60520093 // Q20648100
Q2260,Q2874419
Q2266,Q129558
Q2268,Q30026
Q2270,Q6497624
Q2271,Q30026
Q2272,Q55135234
Q2277,Q7658025//Q16851286
Q2278,Q4597995//Q4598000
Q2280,Q17462502
Q2281,Q4597998
Q2283,Q17462502//Q4597996
Q2306,Q17550579
Q2308,Q1229261
Q2309,Q64825398
Q2319,Q61022630
Q2322,Q80831
Q2324,Q5096837
Q2332,Q193139
