concept,wikidata ID,Wikidata ID2,Wikidata ID3
https://eusterm.wikibase.cloud/entity/Q5146,,,
https://eusterm.wikibase.cloud/entity/Q5147,Q12255312,,
https://eusterm.wikibase.cloud/entity/Q5148,Q190539,,
https://eusterm.wikibase.cloud/entity/Q5149,,,
https://eusterm.wikibase.cloud/entity/Q5150,,,
https://eusterm.wikibase.cloud/entity/Q5151,,,
https://eusterm.wikibase.cloud/entity/Q5152,,,Q7431577
https://eusterm.wikibase.cloud/entity/Q5153,Q167172,,
https://eusterm.wikibase.cloud/entity/Q5154,Q1137326,,
https://eusterm.wikibase.cloud/entity/Q5155,,,
https://eusterm.wikibase.cloud/entity/Q5156,,Q192227,
https://eusterm.wikibase.cloud/entity/Q5157,,Q194112,
https://eusterm.wikibase.cloud/entity/Q5158,,Q1540351,
https://eusterm.wikibase.cloud/entity/Q5159,,,Q2779687
https://eusterm.wikibase.cloud/entity/Q5160,Q161272,Q161272,
https://eusterm.wikibase.cloud/entity/Q5161,,,
https://eusterm.wikibase.cloud/entity/Q5162,,,
https://eusterm.wikibase.cloud/entity/Q5163,,Q319972,
https://eusterm.wikibase.cloud/entity/Q5164,,,
https://eusterm.wikibase.cloud/entity/Q5165,,,Q97278367
https://eusterm.wikibase.cloud/entity/Q5166,,,
https://eusterm.wikibase.cloud/entity/Q5167,,,
https://eusterm.wikibase.cloud/entity/Q5168,,,
https://eusterm.wikibase.cloud/entity/Q5169,,Q109574653,
https://eusterm.wikibase.cloud/entity/Q5170,,Q6486741,
https://eusterm.wikibase.cloud/entity/Q5171,Q634266,,
https://eusterm.wikibase.cloud/entity/Q5172,,Q11825133,Q11825133
https://eusterm.wikibase.cloud/entity/Q5173,,,
https://eusterm.wikibase.cloud/entity/Q5174,,,
https://eusterm.wikibase.cloud/entity/Q5175,,,Q11755657
https://eusterm.wikibase.cloud/entity/Q5176,,,
https://eusterm.wikibase.cloud/entity/Q5177,,,
https://eusterm.wikibase.cloud/entity/Q5178,,Q118279300,
https://eusterm.wikibase.cloud/entity/Q5179,,,
https://eusterm.wikibase.cloud/entity/Q5180,,,
https://eusterm.wikibase.cloud/entity/Q5181,,,
https://eusterm.wikibase.cloud/entity/Q5182,,,
https://eusterm.wikibase.cloud/entity/Q5183,,,
https://eusterm.wikibase.cloud/entity/Q5184,,,
https://eusterm.wikibase.cloud/entity/Q5185,,,
https://eusterm.wikibase.cloud/entity/Q5186,,Q741550,Q741550
https://eusterm.wikibase.cloud/entity/Q5187,,,
https://eusterm.wikibase.cloud/entity/Q5188,,,
https://eusterm.wikibase.cloud/entity/Q5189,Q644302,,
https://eusterm.wikibase.cloud/entity/Q5190,,,
https://eusterm.wikibase.cloud/entity/Q5191,,,Q11984849
https://eusterm.wikibase.cloud/entity/Q5192,,,
https://eusterm.wikibase.cloud/entity/Q5193,Q160402,,
https://eusterm.wikibase.cloud/entity/Q5194,Q179488,,
https://eusterm.wikibase.cloud/entity/Q5195,,,
