Q508	Q552130
Q505	Q601401
Q509	Q2563467
Q510	Q693464
Q511	Q11060274
Q512	Q114794799
Q513	Q2342494
Q514	Q47433
Q517	Q1072326
Q516	Q131569
Q515	Q1416617
Q518	Q188532
Q519	Q1144560
Q520	Q1323540
Q521	Q1329506
Q522	Q1759266
Q523	Q656720
Q524	Q13235160
Q526	Q104493
Q525	Q380342
Q527	Q832045
Q529	Q1337875
Q530	Q22087155
Q528	Q3505845
Q532	Q1369832
Q533	Q3380760
Q534	Q4290
Q531	Q757382
Q536	Q1113011
Q535	Q1728582
Q537	Q205884
Q538	Q6958747
Q539	Q1068683
Q541	Q1077518
Q542	Q474182
Q543	Q1271896
Q547	Q12894677
Q546	Q210947
Q544	Q230683
Q545	Q333322
Q550	Q10979515
Q549	Q132076
Q548	Q260747
Q551	Q4116214
Q554	Q1451360
Q552	Q350151
Q553	Q7231
Q555	Q1417820
Q556	Q9378373
Q557	Q15853126
Q559	Q225684
Q558	Q7725634
Q561	Q1758955
Q560	Q1969448
Q562	Q2002624
Q564	Q2112141
Q563	Q941050
Q566	Q1497716
Q565	Q1917602
Q567	Q60981980
Q568	Q13513
Q569	Q43229
Q571	Q10541491
Q570	Q27493
Q573	Q64513524
Q572	Q706486
Q574	Q828814
Q577	Q1304878
Q575	Q650241
Q576	Q730038
Q578	Q1269299
Q580	Q134161
Q579	Q33685
Q581	Q39072
Q584	Q16887380
Q585	Q179216
Q583	Q43637
Q582	Q877707
Q586	Q1656701
Q588	Q3490295
Q587	Q814232
Q589	Q21004260
Q591	Q268592
Q590	Q58327829
Q593	Q16334295
Q594	Q2604680
Q595	Q4530436
Q592	Q49958
Q597	Q1199857
Q598	Q23002002
Q596	Q55919789
Q599	Q17737
Q600	Q420062
Q601	Q11016
Q603	Q1150070
Q602	Q174165
Q604	Q762702
Q605	Q476300
Q606	Q930933
Q607	Q319676
Q5	Q5
P2	P1630
P5	P31
P4	P279
P3	P361
Q213	Q1725664
Q215	Q109316367
Q214	Q111352
Q216	Q245423
Q218	Q196626
Q217	Q2141565
Q219	Q178433
Q220	Q184524
Q221	Q2145290
Q222	Q7184903
Q223	Q1347367
Q225	Q151885
Q224	Q23958852
Q226	Q1156970
Q228	Q42762
Q227	Q8425
Q229	Q154954
Q230	Q164509
Q231	Q15978631
Q232	Q215627
Q233	Q110551885
Q234	Q55983715
Q238	Q593744
Q237	Q849359
