Wikidata,Scheme
Q943,Q3766
Q1088,Q3766
Q3133,Q3766
Q3142,Q3766
Q23444,Q3766
Q23445,Q3766
Q39338,Q3766
Q42519,Q3766
Q47071,Q3766
Q75737,Q3766
Q180778,Q3766
Q194191,Q3766
Q208045,Q3766
Q218218,Q3766
Q244822,Q3766
Q253181,Q3766
Q303826,Q3766
Q310115,Q3766
Q313120,Q3766
Q372669,Q3766
Q372973,Q3766
Q373058,Q3766
Q373160,Q3766
Q373173,Q3766
Q373586,Q3766
Q373658,Q3766
Q373787,Q3766
Q425278,Q3766
Q428124,Q3766
Q429220,Q3766
Q454847,Q3766
Q492192,Q3766
Q492305,Q3766
Q498423,Q3766
Q513479,Q3766
Q533047,Q3766
Q534583,Q3766
Q536284,Q3766
Q543923,Q3766
Q604079,Q3766
Q612837,Q3766
Q628657,Q3766
Q646964,Q3766
Q650770,Q3766
Q679355,Q3766
Q723995,Q3766
Q737438,Q3766
Q767608,Q3766
Q797446,Q3766
Q843607,Q3766
Q846504,Q3766
Q864152,Q3766
Q899295,Q3766
Q899318,Q3766
Q901499,Q3766
Q901715,Q3766
Q901731,Q3766
Q906936,Q3766
Q909115,Q3766
Q919991,Q3766
Q947638,Q3766
Q950159,Q3766
Q953243,Q3766
Q958012,Q3766
Q958363,Q3766
Q972729,Q3766
Q987293,Q3766
Q1003676,Q3766
Q1078214,Q3766
Q1091453,Q3766
Q1115352,Q3766
Q1153119,Q3766
Q1168275,Q3766
Q1169566,Q3766
Q1171945,Q3766
Q1324818,Q3766
Q1358981,Q3766
Q1402679,Q3766
Q1402829,Q3766
Q1403218,Q3766
Q1406264,Q3766
Q1406286,Q3766
Q1409234,Q3766
Q1411452,Q3766
Q1426821,Q3766
Q1520693,Q3766
Q1552133,Q3766
Q1585372,Q3766
Q1627085,Q3766
Q1632621,Q3766
Q1670336,Q3766
Q1747509,Q3766
Q1770362,Q3766
Q1925148,Q3766
Q1970335,Q3766
Q2002932,Q3766
Q2013559,Q3766
Q2015138,Q3766
Q2021643,Q3766
Q2040833,Q3766
Q2085487,Q3766
Q2138972,Q3766
Q2145530,Q3766
Q2266769,Q3766
Q2268159,Q3766
Q2285791,Q3766
Q2293227,Q3766
Q2294901,Q3766
Q2294908,Q3766
Q2296108,Q3766
Q2303165,Q3766
Q2307593,Q3766
Q2334511,Q3766
Q2411228,Q3766
Q2465494,Q3766
Q2468392,Q3766
Q2478619,Q3766
Q2478760,Q3766
Q2487355,Q3766
Q2510690,Q3766
Q2541418,Q3766
Q2545722,Q3766
Q2553431,Q3766
Q2564184,Q3766
Q2591774,Q3766
Q2617229,Q3766
Q2631989,Q3766
Q2701939,Q3766
Q2720565,Q3766
Q2722041,Q3766
Q2725283,Q3766
Q2730433,Q3766
Q2778382,Q3766
Q2836489,Q3766
Q2842346,Q3766
Q2853007,Q3766
Q2866788,Q3766
Q2904578,Q3766
Q2904722,Q3766
Q2905897,Q3766
Q2906455,Q3766
Q2906465,Q3766
Q2906500,Q3766
Q2906503,Q3766
Q2906505,Q3766
Q2906506,Q3766
Q2906519,Q3766
Q2925617,Q3766
Q2929220,Q3766
Q2932471,Q3766
Q2932537,Q3766
Q2932937,Q3766
Q2936397,Q3766
Q2937858,Q3766
Q2974481,Q3766
Q2996915,Q3766
Q3007035,Q3766
Q3014419,Q3766
Q3058453,Q3766
Q3080396,Q3766
Q3080423,Q3766
Q3108722,Q3766
Q3116435,Q3766
Q3116788,Q3766
Q3116792,Q3766
Q3116794,Q3766
Q3117006,Q3766
Q3149822,Q3766
Q3160411,Q3766
Q3257809,Q3766
Q3276756,Q3766
Q3305070,Q3766
Q3306072,Q3766
Q3309916,Q3766
Q3358660,Q3766
Q3365600,Q3766
Q3389253,Q3766
Q3443194,Q3766
Q3443208,Q3766
Q3445504,Q3766
Q3446513,Q3766
Q3491936,Q3766
Q3518540,Q3766
Q3535555,Q3766
Q3554596,Q3766
Q3556203,Q3766
Q3556204,Q3766
Q3556223,Q3766
Q3556225,Q3766
Q3556227,Q3766
Q3621275,Q3766
Q3621276,Q3766
Q3631631,Q3766
Q3639443,Q3766
Q3639460,Q3766
Q3639461,Q3766
Q3641120,Q3766
Q3641130,Q3766
Q3641131,Q3766
Q3660634,Q3766
Q3705434,Q3766
Q3738728,Q3766
Q3746538,Q3766
Q3757283,Q3766
Q3762369,Q3766
Q3762375,Q3766
Q3762379,Q3766
Q3776734,Q3766
Q3776736,Q3766
Q3776737,Q3766
Q3843568,Q3766
Q3844391,Q3766
Q3849855,Q3766
Q3858954,Q3766
Q3886119,Q3766
Q3894699,Q3766
Q3899621,Q3766
Q3900633,Q3766
Q3906414,Q3766
Q3907669,Q3766
Q3941700,Q3766
Q3984546,Q3766
Q3985184,Q3766
Q4001278,Q3766
Q4006208,Q3766
Q4009896,Q3766
Q4009897,Q3766
Q4009899,Q3766
Q4009900,Q3766
Q4009903,Q3766
Q4013847,Q3766
Q4100014,Q3766
Q4281308,Q3766
Q4405716,Q3766
Q4519952,Q3766
Q4727574,Q3766
Q4849102,Q3766
Q4928721,Q3766
Q5005364,Q3766
Q5043987,Q3766
Q5069879,Q3766
Q5120881,Q3766
