Wikidata,Scheme
Q219416,Q6772
Q7942,Q6772
Q18466271,Q6772
Q295865,Q6772
Q3497778,Q6772
Q58734,Q6772
Q3569631,Q6772
Q131201,Q6772
Q7977963,Q6772
Q832237,Q6772
Q5333090,Q6772
Q12705,Q6772
Q12748,Q6772
Q961310,Q6772
Q188460,Q6772
Q38112,Q6772
Q47572,Q6772
Q42762,Q6772
Q574376,Q6772
Q37813,Q6772
Q167336,Q6772
Q131123,Q6772
Q183129,Q6772
Q55951346,Q6772
Q855711,Q6772
Q1341244,Q6772
Q234173,Q6772
Q3196463,Q6772
Q5121531,Q6772
Q1540268,Q6772
Q3509184,Q6772
Q6484056,Q6772
Q2988881,Q6772
Q494265,Q6772
Q3150128,Q6772
Q7649561,Q6772
Q11680670,Q6772
Q1668727,Q6772
Q1261772,Q6772
Q3024803,Q6772
Q866283,Q6772
Q3738815,Q6772
Q1165944,Q6772
Q183140,Q6772
Q380170,Q6772
Q753291,Q6772
Q1573374,Q6772
Q7912707,Q6772
Q795757,Q6772
Q3267905,Q6772
Q819131,Q6772
Q7649586,Q6772
Q611217,Q6772
Q19829510,Q6772
Q1337914,Q6772
Q5603535,Q6772
Q275372,Q6772
Q1543547,Q6772
Q7649686,Q6772
Q295382,Q6772
Q17083961,Q6772
Q1364310,Q6772
Q185035,Q6772
Q8069578,Q6772
Q983063,Q6772
Q1053399,Q6772
