label,Lexikalizazioa copia,wikidata,label_lang,source_url,def,def_lang
Adicción,Abuso,,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Uso de drogas en cantidades o métodos que son perjudiciales para la misma persona u otras.,es
drogadicción,substance dependence,Q3378593,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Consumo repetido de una o varias sustancias psicoactivas, hasta el punto de que el consumidor se intoxica periódicamente o de forma continua, muestra un deseo compulsivo de consumir la sustancia o sustancias de que se trate, tiene una enorme dificultad para interrumpir voluntariamente o modificar el consumo de la sustancia y se muestra decidido a obtener sustancias psicoactivas por cualquier medio.",es
Adulterante,adulterant,Q1658591,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Sustancia que se añade a una droga para aumentar la cantidad que se fabrica, potenciar los efectos farmacológicos y psicoactivos o facilitar la administración de la droga",es
Agonista,agonist,Q389934,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Sustancia que actúa en un receptor neuronal para producir efectos similares a los de una droga de referencia. Por ejemplo, la metadona se comporta como un agonista, similar a la morfina, con respecto a los receptores opiáceos.",es
Administración bucal ,oral administration,Q285166,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Consiste en colocar la sustancia en la boca hasta que se disuelva,es
Administración rectal,rectal administration,Q419892,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Introducción de una droga por el recto mediante supositorios. Los supositorios son cápsulas que contienen la sustancia en polvo y que se pueden administrar fácilmente por vía rectal,es
Administración sublingual,sublingual administration,Q784720,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Consiste en colocar la sustancia debajo de la lengua hasta que se disuelva.,es
Agonista parcial,Partial agonist,Q770260,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,"Es una sustancia que produce una respuesta limitada, ya que es incapaz de provocar un efecto o respuesta máximos.",es
Analgésico,analgesic,Q173235,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Sustancia que reduce el dolor; puede o no tener propiedades psicoactivas.,es
Antidepresivo,antidepressant,Q76560,es, https://www.unodc.org/documents/scientific/Terminology_and_Information_on_Drugs_S_3rd_Edition.pdf ,Medicamento del grupo de agentes psicoactivos que se prescribe para el tratamiento de los trastornos de la depresión; también se utiliza para el tratamiento de otros trastornos como son los trastornos de pánico.,es
