Wikidata	labelBerria	testuingurua	agertokia
Q1324818	ABRIKOT KOLORE	Berdeak baino ez du ukitu hori; abrikot kolorekoak ez du halakorik, nahiz eta prezioa bera den bientzat	Etsaiak, lagunak, ezkongaiak, maitaleak, senar-emazteak, Alice Munro (Isabel Etxeberria Ramirez), Erein-Igela, 2018
Q2925617	ADREILU KOLORE	haize errotek edota adreilu koloreko herri txikiek.	Argia, 2008-09-28, 2152. zbk. | «Txikia bezain ezezaguna», Karlos Zurutuza
Q372973 	AKUAMARINA	Kolore urdin edo turkesa fina dauka	https://eu.wikipedia.org/wiki/Aquamarina
Q4727574	ALIZARINA KARMINA	Alizarina karmina	https://eu.wikipedia.org/wiki/Gorri
Q3116788	ALTZAIRU GRIS	 altzairu grisez diseinatutako sukalde integralera	Dioramak, Patxi Iturregi, Elkar, 2006
Q1003676	ALTZAIRU URDIN	Mirotz eta arranoek altzairu urdinezko ortzia zirrimarratzen zutela.	Ezer gabe hobe, Itxaro Borda, Susa, 2009
Q679355	AMBAR	Garagardo honek anbar kolore iluna du.	https://boga.eus/produktua/boga-neguko/
Q2842346	ANBAR KOLORE	-Nik uste lehoiek anbar koloreko begiak izaten dituztela -esan zien Raulek-.	Etxeak eta hilobiak, Bernardo Atxaga, Pamiela, 2019
Q3117006	ANDERE-MAHATS KOLORE	andere-mahats kolore bizia edo more-ardo kolorea hartzen du.	https://eu.wikipedia.org/wiki/Gibelubel_polit
Q2853007	ANTRAZITA KOLORE	Errepide uher meharra, antrazita kolore, pentze eta lur iraulietan barna kurri doana.	Fragmentuak, Aurelia Arkotxa, Utriusque Vasconiae, 2009
Q3108722	ARAN KOLORE	aran koloreko begi distiratsuekin	Kabitu ezina, Aintzane Usandizaga, Elkar, 2019
Q1411452	ARBEL KOLORE	arbel koloreko begi sakonak itxirik	Egurra Pinotxori, Aritz Gorrotxategi, Alberdania, 2002
Q3014419	ARDO KOLORE	ardo koloreko jertse polit bat.	Jainkoen zigorra, Alberto Ladron Arana, Elkar, 2017
Q2591774	ARKAKUSO KOLORE	zeinari “arkakuso kolore” hasi baitzitzaizkion deitzen	https://www.euskalmuseoa.eus/eu/erakusketak/xehetasunak/66/frivolite-indumentaria-del-siglo-xviii-coleccion-del-museo-san-telmo/
