eusterm,wikidata
Q19058,Q311535
Q19059,Q215658
Q19062,Q91433
Q19067,Q69719
Q19068,Q1782068
Q19069,Q1667647
Q19074,Q29502
Q18860,Q2112073
Q18863,Q6498684
Q18866,Q989018
Q18874,Q1605334
Q18879,Q230620
Q18881,Q1229297
Q18882,Q1126986
Q18887,Q1064441
Q18908,Q1735836
Q6690,Q1156854
Q18928,Q230568
Q18930,Q385166
Q18938,Q1415886
Q18941,Q215808
Q18956,Q1760394
Q16958,Q2000344
Q18739,Q1518716
Q18748,Q1396394
Q18770,Q75617
Q18834,Q900231
Q18964,Q57940
Q18973,Q63695
Q18977,Q467800
Q18997,Q675321
Q19000,Q157537
Q19005,Q2478386
Q18792,Q18810687
Q18800,Q27916522
Q18804,Q36492844
Q18816,Q2083688
Q18822,Q1190277
Q18823,Q2357355
Q19007,Q650487
Q19016,Q9303750
Q19018,Q372792
Q19026,Q8486557
Q19048,Q675003
Q19050,Q61674
Q19052,Q90902
Q19053,Q2251763
Q19054,Q4124777
Q19057,Q909893
Q18737,Q2279967
Q18743,Q23056310
Q18750,Q7551419
Q18760,Q2791533
Q18761,Q42194919
Q18803,Q10372568
Q18815,Q3312519
Q18817,Q17146102
Q18821,Q212468
Q18864,Q18671518
Q18898,Q7739811
Q18899,Q5803805
Q18900,Q107526382
Q18914,Q1409420
Q18918,Q24902040
Q18953,Q112942219
Q19002,Q15262301
Q19066,Q2981930
Q18993,Q808928
Q18952,Q40591
Q18778,Q414528
Q18763,Q233591
Q18907,Q183
Q18982,Q944201
Q18820,Q31895
Q1336,Q6199
Q18878,Q574630
Q19020,Q8473
Q19004,Q3281534
Q18991,Q173424
Q18897,Q242666
Q18943,Q881698
Q18742,Q2101636
Q18769,Q52090
Q18827,Q179076
Q18949,Q84177
Q19037,Q116437
Q451,Q58784
Q18927,Q7174
Q19041,Q166332
Q478,Q9453
Q18951,Q167312
Q644,Q75786
Q18853,Q131524
Q486,Q1433881
Q548,Q260747
Q546,Q210947
Q466,Q1548084
Q7032,Q159810
Q18940,Q47555
Q18946,Q188094
Q591,Q268592
Q372,Q6881511
Q18839,Q178706
Q2659,Q12554
Q18808,Q241588
Q18735,Q900406
Q18934,Q878445
Q18925,Q1899269
Q3139,Q7270
Q3141,Q5255892
Q19014,Q159
Q10521,Q542869
Q18890,Q4402708
Q19006,Q8463
Q7057,Q107885
Q18886,Q859884
Q18846,Q7275
Q19064,Q3963246
Q12525,Q46
Q18767,Q75784
Q470,Q37739
Q19047,Q10184
Q680,Q34787
Q489,Q332425
Q18848,Q333076
Q18873,Q198
Q6702,Q1510761
Q18765,Q187588
Q18813,Q623971
Q1312,Q49773
Q19045,Q83969
Q616,Q7257
Q19051,Q9312
Q534,Q4290
Q18962,Q21
Q564,Q2112141
Q18736,Q10931
Q19073,Q751967
Q19078,Q3242115
Q18915,Q12794619
Q18840,Q555911
Q18916,Q5879
Q18933,Q8772
Q477,Q8137
Q18921,Q1897397
Q18859,Q330601
Q600,Q420062
Q472,Q6206
Q18830,Q1728568
Q454,Q9061
Q18754,Q1744607
Q18798,Q7755
Q9345,Q22855
Q18919,Q2144496
Q18780,Q7087
Q18958,Q4539
Q648,Q182076
Q18807,Q290178
Q18969,Q305186
Q500,Q584987
Q487,Q3748888
Q18903,Q628967
Q3596,Q327055
Q18810,Q191159
Q18749,Q208701
Q8343,Q49371
Q18932,Q6216
Q18944,Q309722
Q19075,Q1198259
Q18987,Q7771
Q18968,Q187939
Q18948,Q910816
Q459,Q7264
Q18972,Q12716775
Q19060,Q181207
Q461,Q190004
Q18868,Q377302
Q18768,Q37654
Q18963,Q46607
Q658,Q177266
Q19025,Q153936
Q18984,Q7269
Q18986,Q184558
Q3168,Q41614
Q18955,Q178801
Q18988,Q7721
Q9567,Q11451
Q19061,Q334173
Q19036,Q133132
Q18793,Q35749
Q19049,Q5749
Q6990,Q10294
Q18772,Q273395
Q10492,Q739302
Q18825,Q6129866
Q18766,Q132603
Q19029,Q118365
Q18894,Q6548259
Q18942,Q918723
Q19001,Q20007287
Q18979,Q1918252
Q19071,Q2352121
Q18783,Q49780
Q18785,Q681615
Q18788,Q178790
Q18975,Q102561
Q623,Q58778
Q18745,Q949973
Q18733,Q121254
Q457,Q7272
Q19070,Q192447
Q18764,Q865354
Q18802,Q319891
Q599,Q17737
Q502,Q1935127
Q18837,Q131156
