"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q188460"	"https://wikidata.org/wiki/Q188460"	"Recurso_natural"	""	"https://wikidata.org/wiki/Q7860
https://wikidata.org/wiki/Q43619"	"https://wikidata.org/wiki/Q1554231
https://wikidata.org/wiki/Q11879003
https://wikidata.org/wiki/Q15075845"	"Natura baliabide"	"https://eu.wikipedia.org/wiki/Baliabide_natural"	"recurso natural"	"https://es.wikipedia.org/wiki/Recurso_natural"	"natural resource"	"https://en.wikipedia.org/wiki/Natural_resource"	"ressource naturelle"	"https://fr.wikipedia.org/wiki/Ressource_naturelle"	"risorsa naturale"	"https://it.wikipedia.org/wiki/Risorsa_naturale"	"natürliche Ressource"	"https://de.wikipedia.org/wiki/Natürliche_Ressource"	"recurso natural"	"https://pt.wikipedia.org/wiki/Recurso_natural"	"recurs natural"	"https://ca.wikipedia.org/wiki/Recurs_natural"	"přírodní zdroj"	"https://cs.wikipedia.org/wiki/Přírodní_zdroj"	
"Q83323"	"https://wikidata.org/wiki/Q83323"	"Fertilizante"	""	""	"https://wikidata.org/wiki/Q79529
https://wikidata.org/wiki/Q2746959"	"ongarri"	"https://eu.wikipedia.org/wiki/Ongarri"	"fertilizante"	"https://es.wikipedia.org/wiki/Fertilizante"	"fertilizer"	"https://en.wikipedia.org/wiki/Fertilizer"	"engrais"	"https://fr.wikipedia.org/wiki/Engrais"	"fertilizzante"	"https://it.wikipedia.org/wiki/Fertilizzante"	"Dünger"	"https://de.wikipedia.org/wiki/Dünger"	"fertilizante"	"https://pt.wikipedia.org/wiki/Fertilizante"	"adob"	"https://ca.wikipedia.org/wiki/Adob"	"hnojivo"	"https://cs.wikipedia.org/wiki/Hnojivo"	
"Q219174"	"https://wikidata.org/wiki/Q219174"	"Plaga"	""	""	"https://wikidata.org/wiki/Q7239"			"plaga"	"https://es.wikipedia.org/wiki/Plaga"	"pest"	"https://en.wikipedia.org/wiki/Pest_(organism)"	"organisme nuisible"	"https://fr.wikipedia.org/wiki/Organisme_nuisible"	"parassiti"		"Schädling"	"https://de.wikipedia.org/wiki/Schädling"	"praga"	"https://pt.wikipedia.org/wiki/Praga_biológica"	"plaga"	"https://ca.wikipedia.org/wiki/Plaga"	"škůdce"	"https://cs.wikipedia.org/wiki/Škůdce"	
"Q43619"	"https://wikidata.org/wiki/Q43619"	"Medio_ambiente_natural"	""	""	"https://wikidata.org/wiki/Q2249676
https://wikidata.org/wiki/Q20719696"	"ingurumen"	"https://eu.wikipedia.org/wiki/Ingurumen"	"medio ambiente"	"https://es.wikipedia.org/wiki/Medio_ambiente_natural"	"natural environment"	"https://en.wikipedia.org/wiki/Natural_environment"	"environnement"	"https://fr.wikipedia.org/wiki/Environnement"	"ambiente naturale"	"https://it.wikipedia.org/wiki/Ambiente_(biologia)"	"Natürliche Umwelt"	"https://de.wikipedia.org/wiki/Natürliche_Umwelt"	"meio ambiente"	"https://pt.wikipedia.org/wiki/Meio_ambiente"	"medi ambient"	"https://ca.wikipedia.org/wiki/Medi_ambient"	"životní prostředí"		
"Q2095"	"https://wikidata.org/wiki/Q2095"	"Alimento"	""	""	"https://wikidata.org/wiki/Q1194058
https://wikidata.org/wiki/Q223557"	"janari"	"https://eu.wikipedia.org/wiki/Janari"	"alimento"	"https://es.wikipedia.org/wiki/Alimento"	"food"	"https://en.wikipedia.org/wiki/Food"	"nourriture"	"https://fr.wikipedia.org/wiki/Nourriture"	"alimento"	"https://it.wikipedia.org/wiki/Alimento"	"Lebensmittel"	"https://de.wikipedia.org/wiki/Lebensmittel"	"alimento"	"https://pt.wikipedia.org/wiki/Alimento"	"aliment"	"https://ca.wikipedia.org/wiki/Aliment"	"potravina"	"https://cs.wikipedia.org/wiki/Potravina"	
"Q131201"	"https://wikidata.org/wiki/Q131201"	"Desarrollo_sostenible"	""	""	"https://wikidata.org/wiki/Q1150070
https://wikidata.org/wiki/Q219416
https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q8134"	"Garapen iraunkor"	"https://eu.wikipedia.org/wiki/Garapen_iraunkor"	"desarrollo sostenible"	"https://es.wikipedia.org/wiki/Desarrollo_sostenible"	"sustainable development"	"https://en.wikipedia.org/wiki/Sustainable_development"	"développement durable"	"https://fr.wikipedia.org/wiki/Développement_durable"	"sviluppo sostenibile"	"https://it.wikipedia.org/wiki/Sviluppo_sostenibile"	"nachhaltige Entwicklung"	"https://de.wikipedia.org/wiki/Nachhaltige_Entwicklung"	"desenvolvimento sustentável"	"https://pt.wikipedia.org/wiki/Desenvolvimento_sustentável"	"desenvolupament sostenible"	"https://ca.wikipedia.org/wiki/Desenvolupament_sostenible"	"Trvale udržitelný rozvoj"	"https://cs.wikipedia.org/wiki/Udržitelný_rozvoj"	
"Q2281159"	"https://wikidata.org/wiki/Q2281159"	"Agricultura_natural"	""	""	"https://wikidata.org/wiki/Q17074184"			"agricultura Natural"	"https://es.wikipedia.org/wiki/Agricultura_natural"	"natural farming"	"https://en.wikipedia.org/wiki/Natural_farming"	"agriculture naturelle"	"https://fr.wikipedia.org/wiki/Agriculture_naturelle"	"agricoltura naturale"	"https://it.wikipedia.org/wiki/Agricoltura_naturale"			"Agricultura natural"	"https://pt.wikipedia.org/wiki/Agricultura_natural"	"agricultura natural"	"https://ca.wikipedia.org/wiki/Agricultura_natural"			
"Q4572"	"https://wikidata.org/wiki/Q4572"	"Permacultura"	""	""	"https://wikidata.org/wiki/Q2292993"	"Permakultura"	"https://eu.wikipedia.org/wiki/Permakultura"	"permacultura"	"https://es.wikipedia.org/wiki/Permacultura"	"permaculture"	"https://en.wikipedia.org/wiki/Permaculture"	"permaculture"	"https://fr.wikipedia.org/wiki/Permaculture"	"permacultura"	"https://it.wikipedia.org/wiki/Permacultura"	"Permakultur"	"https://de.wikipedia.org/wiki/Permakultur"	"permacultura"	"https://pt.wikipedia.org/wiki/Permacultura"	"permacultura"	"https://ca.wikipedia.org/wiki/Permacultura"	"permakultura"	"https://cs.wikipedia.org/wiki/Permakultura"	
"Q2739133"	"https://wikidata.org/wiki/Q2739133"	"Policultivo"	""	""	"https://wikidata.org/wiki/Q11451"	"Polilaborantza"	"https://eu.wikipedia.org/wiki/Polilaborantza"	"Policultivo"	"https://es.wikipedia.org/wiki/Policultivo"	"polyculture"	"https://en.wikipedia.org/wiki/Polyculture"	"polyculture"	"https://fr.wikipedia.org/wiki/Polyculture"	"policultura"				"Policultura"	"https://pt.wikipedia.org/wiki/Policultura"	"Policonreu"	"https://ca.wikipedia.org/wiki/Policultura"			
"Q220212"	"https://wikidata.org/wiki/Q220212"	"Monocultivo"	""	""	"https://wikidata.org/wiki/Q11451"	"Monolaborantza"	"https://eu.wikipedia.org/wiki/Monolaborantza"	"monocultivo"	"https://es.wikipedia.org/wiki/Monocultivo"	"monoculture"	"https://en.wikipedia.org/wiki/Monoculture"	"monoculture"	"https://fr.wikipedia.org/wiki/Monoculture"	"monocoltura"	"https://it.wikipedia.org/wiki/Monocoltura"	"Monokultur"	"https://de.wikipedia.org/wiki/Monokultur"	"monocultura"	"https://pt.wikipedia.org/wiki/Monocultura"	"Monoconreu"	"https://ca.wikipedia.org/wiki/Monocultura"	"Monokultura"	"https://cs.wikipedia.org/wiki/Monokultura"	
