"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q3592582"	"https://wikidata.org/wiki/Q3592582"	"Astrology_and_science"	""	""	""			"Críticas a la astrología"	"https://es.wikipedia.org/wiki/Ciencia_y_astrología"	"Astrology and science"	"https://en.wikipedia.org/wiki/Astrology_and_science"	"étude statistique de l'astrologie"	"https://fr.wikipedia.org/wiki/Étude_statistique_de_l'astrologie"											
"Q34362"	"https://wikidata.org/wiki/Q34362"	"Astrology"	"https://wikidata.org/wiki/Q133182
https://wikidata.org/wiki/Q60031086"	""	"https://wikidata.org/wiki/Q483677"	"astrologia"	"https://eu.wikipedia.org/wiki/Astrologia"	"astrología"	"https://es.wikipedia.org/wiki/Astrología"	"astrology"	"https://en.wikipedia.org/wiki/Astrology"	"astrologie"	"https://fr.wikipedia.org/wiki/Astrologie"	"astrologia"	"https://it.wikipedia.org/wiki/Astrologia"	"Astrologie"	"https://de.wikipedia.org/wiki/Astrologie"	"astrologia"	"https://pt.wikipedia.org/wiki/Astrologia"	"astrologia"	"https://ca.wikipedia.org/wiki/Astrologia"	"astrologie"	"https://cs.wikipedia.org/wiki/Astrologie"	
"Q3404929"	"https://wikidata.org/wiki/Q3404929"	"History_of_astrology"	"https://wikidata.org/wiki/Q17524420"	""	""			"historia de la astrología"	"https://es.wikipedia.org/wiki/Historia_de_la_astrología"	"history of astrology"	"https://en.wikipedia.org/wiki/History_of_astrology"	"Histoire de l'astrologie"	"https://fr.wikipedia.org/wiki/Histoire_de_l'astrologie"	"storia dell'astrologia"	"https://it.wikipedia.org/wiki/Storia_dell'astrologia"	"Geschichte der westlichen Astrologie"	"https://de.wikipedia.org/wiki/Geschichte_der_westlichen_Astrologie"	"história da astrologia"	"https://pt.wikipedia.org/wiki/História_da_astrologia"	"història de la astrologia"				
"Q3592582"	"https://wikidata.org/wiki/Q3592582"	"Astrology_and_science"	""	""	""			"Críticas a la astrología"	"https://es.wikipedia.org/wiki/Ciencia_y_astrología"	"Astrology and science"	"https://en.wikipedia.org/wiki/Astrology_and_science"	"étude statistique de l'astrologie"	"https://fr.wikipedia.org/wiki/Étude_statistique_de_l'astrologie"											
"Q2139206"	"https://wikidata.org/wiki/Q2139206"	"List_of_astrological_traditions,_types,_and_systems"	"https://wikidata.org/wiki/Q13406463"	""	""			"Anexo:Tipos, tradiciones y sistemas astrológicos"	"https://es.wikipedia.org/wiki/Anexo:Tipos,_tradiciones_y_sistemas_astrológicos"	"list of astrological traditions, types, and systems"	"https://en.wikipedia.org/wiki/List_of_astrological_traditions,_types,_and_systems"													
"Q6606304"	"https://wikidata.org/wiki/Q6606304"	"List_of_astrologers"	"https://wikidata.org/wiki/Q66666236"	""	""					"list of astrologers"	"https://en.wikipedia.org/wiki/List_of_astrologers"													
"Q16000139"	"https://wikidata.org/wiki/Q16000139"	"List_of_astrological_organizations"	"https://wikidata.org/wiki/Q13406463"	""	""					"list of astrological organizations"	"https://en.wikipedia.org/wiki/List_of_astrological_organizations"													
"Q1460138"	"https://wikidata.org/wiki/Q1460138"	"Planets_in_astrology"	""	"https://wikidata.org/wiki/Q34362"	"https://wikidata.org/wiki/Q98930503"			"planeta astrológico"	"https://es.wikipedia.org/wiki/Planeta_(astrología)"	"astrological planet"	"https://en.wikipedia.org/wiki/Planets_in_astrology"	"planètes en astrologie"		"Pianeta"	"https://it.wikipedia.org/wiki/Pianeta_(astrologia)"	"Planetenkinder"	"https://de.wikipedia.org/wiki/Planetenkinder"	"planetas na astrologia"	"https://pt.wikipedia.org/wiki/Planetas_na_astrologia"	"planeta astrològic"	"https://ca.wikipedia.org/wiki/Planetes_en_l'astrologia"			
"Q4645995"	"https://wikidata.org/wiki/Q4645995"	"Behenian_fixed_star"	""	""	""					"Behenian fixed star"	"https://en.wikipedia.org/wiki/Behenian_fixed_star"			"Stelle fisse beheniane"	"https://it.wikipedia.org/wiki/Stelle_fisse_beheniane"									
"Q1135397"	"https://wikidata.org/wiki/Q1135397"	"Classical_planet"	""	""	"https://wikidata.org/wiki/Q1460138"			"planeta a simple vista"	"https://es.wikipedia.org/wiki/Planeta_a_simple_vista"	"classical planet"	"https://en.wikipedia.org/wiki/Classical_planet"									"planeta clàssic"	"https://ca.wikipedia.org/wiki/Planeta_a_ull_nu"			
