"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q1167863"	"https://wikidata.org/wiki/Q1167863"	"Subject_indexing"	""	""	"https://wikidata.org/wiki/Q14923586
https://wikidata.org/wiki/Q2210408"			"indización"	"https://es.wikipedia.org/wiki/Indización"	"document indexing"	"https://en.wikipedia.org/wiki/Subject_indexing"	"indexation matière"	"https://fr.wikipedia.org/wiki/Indexation_matière"	"indicizzazione per soggetto"	"https://it.wikipedia.org/wiki/Indicizzazione_per_soggetto"	"Indexierung"	"https://de.wikipedia.org/wiki/Indexierung"	"indexação"	"https://pt.wikipedia.org/wiki/Indexação_(biblioteconomia)"					
"Q17152639"	"https://wikidata.org/wiki/Q17152639"	"Thesaurus_(information_retrieval)"	""	"https://wikidata.org/wiki/Q121182"	"https://wikidata.org/wiki/Q1469824
https://wikidata.org/wiki/Q2623243"	"tesauro"		"tesauro"		"thesaurus"	"https://en.wikipedia.org/wiki/Thesaurus_(information_retrieval)"	"thésaurus de système d'information"	"https://fr.wikipedia.org/wiki/Thésaurus_documentaire"	"vocabolario controllato"		"Thesaurus"	"https://de.wikipedia.org/wiki/Thesaurus"	"tesauro"		"tesaurus"		"tezaurus"		
"Q6423319"	"https://wikidata.org/wiki/Q6423319"	"Knowledge_organization_system"	"https://wikidata.org/wiki/Q96116695"	""	"https://wikidata.org/wiki/Q1979154
https://wikidata.org/wiki/Q1151067
https://wikidata.org/wiki/Q386724
https://wikidata.org/wiki/Q3622126"	"jakinduriaren antolatze sistema"		"sistema de organización del conocimiento"		"knowledge organization system"	"https://en.wikipedia.org/wiki/Knowledge_organization_system"	"schéma de classification"	"https://fr.wikipedia.org/wiki/Schéma_de_classification"	"sistema di organizazione della conoscenza"		"Wissensorganisationssystem"	"https://de.wikipedia.org/wiki/Begriffssystem"			"sistema d'organització del coneixement"		"systém organizace znalostí"		
"Q33742"	"https://wikidata.org/wiki/Q33742"	"Natural_language"	"https://wikidata.org/wiki/Q20829075"	""	"https://wikidata.org/wiki/Q20162172"	"Hizkuntza natural"	"https://eu.wikipedia.org/wiki/Hizkuntza_natural"	"lengua natural"	"https://es.wikipedia.org/wiki/Lengua_natural"	"natural language"	"https://en.wikipedia.org/wiki/Natural_language"	"langue naturelle"	"https://fr.wikipedia.org/wiki/Langage_naturel"	"linguaggio naturale"		"natürliche Sprache"	"https://de.wikipedia.org/wiki/Natürliche_Sprache"	"língua natural"	"https://pt.wikipedia.org/wiki/Língua_natural"	"llengua natural"	"https://ca.wikipedia.org/wiki/Llengua_natural"	"přirozený jazyk"		
"Q13420675"	"https://wikidata.org/wiki/Q13420675"	"Library_and_information_science"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q189533"	""	""			"Bibliotecas y ciencia de la información"	"https://es.wikipedia.org/wiki/Bibliotecas_y_ciencia_de_la_información"	"library and information science"	"https://en.wikipedia.org/wiki/Library_and_information_science"	"sciences de l'information et des bibliothèques"	"https://fr.wikipedia.org/wiki/Sciences_de_l'information_et_des_bibliothèques"	"scienza dell'informazione e delle biblioteche"		"Bibliotheks-, Informations- und Dokumentationswissenschaft"	"https://de.wikipedia.org/wiki/BID-Bereich"			"Biblioteconomia i Documentació"	"https://ca.wikipedia.org/wiki/Biblioteconomia_i_Documentació"			
"Q187931"	"https://wikidata.org/wiki/Q187931"	"Phrase"	""	"https://wikidata.org/wiki/Q41796"	"https://wikidata.org/wiki/Q1786828
https://wikidata.org/wiki/Q20817253
https://wikidata.org/wiki/Q12767945"	"esaldi"		"frase"		"phrase"	"https://en.wikipedia.org/wiki/Phrase"	"phrase"	"https://fr.wikipedia.org/wiki/Expression_(logique)"	"frase"		"Phrase"	"https://de.wikipedia.org/wiki/Phrase_(Linguistik)"	"frase"	"https://pt.wikipedia.org/wiki/Frase"	"frase"		"fráze"	"https://cs.wikipedia.org/wiki/Fráze_(syntax)"	
"Q658349"	"https://wikidata.org/wiki/Q658349"	"Tag_(metadata)"	""	""	"https://wikidata.org/wiki/Q180160
https://wikidata.org/wiki/Q2668072"	"Etiketa"	"https://eu.wikipedia.org/wiki/Etiketa_(metadatua)"	"etiqueta"	"https://es.wikipedia.org/wiki/Etiqueta_(metadato)"	"tag"	"https://en.wikipedia.org/wiki/Tag_(metadata)"	"tag"	"https://fr.wikipedia.org/wiki/Tag_(métadonnée)"	"tag"	"https://it.wikipedia.org/wiki/Tag_(metadato)"	"Tag"	"https://de.wikipedia.org/wiki/Tag_(Informatik)"	"tag"	"https://pt.wikipedia.org/wiki/Etiqueta_(metadados)"	"etiqueta"	"https://ca.wikipedia.org/wiki/Etiqueta_(informàtica)"	"tag"		
"Q180907"	"https://wikidata.org/wiki/Q180907"	"Bijection"	""	""	"https://wikidata.org/wiki/Q370502
https://wikidata.org/wiki/Q182003
https://wikidata.org/wiki/Q229102"	"Bijekzio"	"https://eu.wikipedia.org/wiki/Bijekzio"	"función biyectiva"	"https://es.wikipedia.org/wiki/Función_biyectiva"	"bijection"	"https://en.wikipedia.org/wiki/Bijection"	"bijection"	"https://fr.wikipedia.org/wiki/Bijection"	"corrispondenza biunivoca"	"https://it.wikipedia.org/wiki/Corrispondenza_biunivoca"	"bijektive Funktion"	"https://de.wikipedia.org/wiki/Bijektive_Funktion"	"função bijectiva"	"https://pt.wikipedia.org/wiki/Função_bijectiva"	"funció bijectiva"	"https://ca.wikipedia.org/wiki/Funció_bijectiva"	"bijekce"	"https://cs.wikipedia.org/wiki/Bijekce"	
"Q1823134"	"https://wikidata.org/wiki/Q1823134"	"Library_of_Congress_Subject_Headings"	"https://wikidata.org/wiki/Q1469824"	"https://wikidata.org/wiki/Q13219454
https://wikidata.org/wiki/Q17109002"	""			"Library of Congress Subject Headings"		"Library of Congress Subject Headings"	"https://en.wikipedia.org/wiki/Library_of_Congress_Subject_Headings"	"Library of Congress Subject Headings"		"Library of Congress Subject Headings"		"Library of Congress Subject Headings"	"https://de.wikipedia.org/wiki/Library_of_Congress_Subject_Headings"			"Library of Congress Subject Headings"	"https://ca.wikipedia.org/wiki/Library_of_Congress_Subject_Headings"			
"Q609507"	"https://wikidata.org/wiki/Q609507"	"Hypernym"	""	"https://wikidata.org/wiki/Q43201078"	"https://wikidata.org/wiki/Q8171"	"hiperonimo"	"https://eu.wikipedia.org/wiki/Hiperonimo"	"hiperónimo"	"https://es.wikipedia.org/wiki/Hiperónimo"	"hypernym"	"https://en.wikipedia.org/wiki/Hypernym"	"hyperonyme"	"https://fr.wikipedia.org/wiki/Hyperonyme"	"iperonimo"	"https://it.wikipedia.org/wiki/Iperonimo"	"Hyperonym"	"https://de.wikipedia.org/wiki/Hyperonym"	"hiperônimo"	"https://pt.wikipedia.org/wiki/Hiperônimo"	"hiperònim"	"https://ca.wikipedia.org/wiki/Hiperònim"	"hyperonymum"	"https://cs.wikipedia.org/wiki/Hyperonymum"	
"Q680042"	"https://wikidata.org/wiki/Q680042"	"Hyponym"	""	"https://wikidata.org/wiki/Q43201078"	"https://wikidata.org/wiki/Q8171"	"hiponimo"	"https://eu.wikipedia.org/wiki/Hiponimo"	"hipónimo"	"https://es.wikipedia.org/wiki/Hipónimo"	"hyponym"	"https://en.wikipedia.org/wiki/Hyponym"	"hyponyme"	"https://fr.wikipedia.org/wiki/Hyponyme"	"iponimo"	"https://it.wikipedia.org/wiki/Iponimo"	"Hyponym"		"hipônimo"	"https://pt.wikipedia.org/wiki/Hipônimo"	"hipònim"	"https://ca.wikipedia.org/wiki/Hipònim"	"hyponymum"		
"Q1725664"	"https://wikidata.org/wiki/Q1725664"	"Terminology"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q8162
https://wikidata.org/wiki/Q1235196"	"terminologia"	"https://eu.wikipedia.org/wiki/Terminologia"	"terminología"	"https://es.wikipedia.org/wiki/Terminología"	"terminology"	"https://en.wikipedia.org/wiki/Terminology"	"terminologie"	"https://fr.wikipedia.org/wiki/Terminologie"	"terminologia"	"https://it.wikipedia.org/wiki/Terminologia"	"Terminologielehre"	"https://de.wikipedia.org/wiki/Terminologielehre"	"terminologia"	"https://pt.wikipedia.org/wiki/Terminologia"	"terminologia"	"https://ca.wikipedia.org/wiki/Terminologia"	"terminologie"	"https://cs.wikipedia.org/wiki/Terminologie"	
