"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q556689"	"https://wikidata.org/wiki/Q556689"	"Amalur"	"https://wikidata.org/wiki/Q16648953"	""	""	"Amalur"	"https://eu.wikipedia.org/wiki/Amalur"	"Amalur"	"https://es.wikipedia.org/wiki/Amalur"	"Amalur"	"https://en.wikipedia.org/wiki/Amalur"	"Amalur"	"https://fr.wikipedia.org/wiki/Amalur"	"Ama Lur"	"https://it.wikipedia.org/wiki/Ama_Lur"					"Amalur"	"https://ca.wikipedia.org/wiki/Amalur"			
"Q3049261"	"https://wikidata.org/wiki/Q3049261"	"Eguzki_Amandre"	"https://wikidata.org/wiki/Q511056"	""	""	"Eguzki Amandre"	"https://eu.wikipedia.org/wiki/Eguzki_Amandre"			"Eki"	"https://en.wikipedia.org/wiki/Eki_(goddess)"	"Eguzki"	"https://fr.wikipedia.org/wiki/Eguzki"							"Eguzki Amandre"	"https://ca.wikipedia.org/wiki/Eguzki_Amandre"			
"Q2087837"	"https://wikidata.org/wiki/Q2087837"	"Mari"	"https://wikidata.org/wiki/Q205985
https://wikidata.org/wiki/Q13405593"	""	""	"Mari"	"https://eu.wikipedia.org/wiki/Mari"	"Mari"	"https://es.wikipedia.org/wiki/Mari_(diosa)"	"Mari"	"https://en.wikipedia.org/wiki/Mari_(goddess)"	"Mari"	"https://fr.wikipedia.org/wiki/Mari_(mythologie_basque)"	"Mari"	"https://it.wikipedia.org/wiki/Mari_(dea)"	"Mari"		"Mari (deusa)"	"https://pt.wikipedia.org/wiki/Mari_(deusa)"	"Mari"	"https://ca.wikipedia.org/wiki/Mari_(deessa)"			
"Q3313610"	"https://wikidata.org/wiki/Q3313610"	"Mikelats"	"https://wikidata.org/wiki/Q178885
https://wikidata.org/wiki/Q177413"	""	""	"Mikelats"	"https://eu.wikipedia.org/wiki/Mikelats"			"Mikelats"		"Mikelats"	"https://fr.wikipedia.org/wiki/Mikelats"							"Mikelats"	"https://ca.wikipedia.org/wiki/Mikelats"			
"Q761936"	"https://wikidata.org/wiki/Q761936"	"Atarrabi"	"https://wikidata.org/wiki/Q178885"	""	""	"Atarrabi"	"https://eu.wikipedia.org/wiki/Atarrabi"			"Atarrabi"		"Atarrabi"	"https://fr.wikipedia.org/wiki/Atarrabi"							"Atarrabi"	"https://ca.wikipedia.org/wiki/Atarrabi"			
"Q7559"	"https://wikidata.org/wiki/Q7559"	"Herensuge"	""	""	"https://wikidata.org/wiki/Q7081489"	"herensuge"	"https://eu.wikipedia.org/wiki/Herensuge"	"dragón"	"https://es.wikipedia.org/wiki/Dragón"	"dragon"	"https://en.wikipedia.org/wiki/Dragon"	"dragon"	"https://fr.wikipedia.org/wiki/Dragon"	"drago"	"https://it.wikipedia.org/wiki/Drago"	"Drache"	"https://de.wikipedia.org/wiki/Drache_(Mythologie)"	"dragão"	"https://pt.wikipedia.org/wiki/Dragão"	"drac"	"https://ca.wikipedia.org/wiki/Drac"	"drak"	"https://cs.wikipedia.org/wiki/Drak"	
"Q47588"	"https://wikidata.org/wiki/Q47588"	"Euskal_Herria"	"https://wikidata.org/wiki/Q3502482
https://wikidata.org/wiki/Q1151616"	""	""	"Euskal Herria"	"https://eu.wikipedia.org/wiki/Euskal_Herria"	"País Vasco"	"https://es.wikipedia.org/wiki/Euskal_Herria"	"Basque Country"	"https://en.wikipedia.org/wiki/Basque_Country_(greater_region)"	"Pays basque"	"https://fr.wikipedia.org/wiki/Pays_basque"	"Paese basco"	"https://it.wikipedia.org/wiki/Paese_basco"	"Baskenland"	"https://de.wikipedia.org/wiki/Baskenland"	"País Basco"	"https://pt.wikipedia.org/wiki/País_Basco"	"País Basc"	"https://ca.wikipedia.org/wiki/País_Basc"	"Baskicko"	"https://cs.wikipedia.org/wiki/Baskicko_(území)"	
"Q12827256"	"https://wikidata.org/wiki/Q12827256"	"Mito"	"https://wikidata.org/wiki/Q4263830"	"https://wikidata.org/wiki/Q9134"	"https://wikidata.org/wiki/Q7832362"	"Mito"	"https://eu.wikipedia.org/wiki/Mito"	"mito"	"https://es.wikipedia.org/wiki/Mito"	"myth"	"https://en.wikipedia.org/wiki/Myth"	"mythe"	"https://fr.wikipedia.org/wiki/Mythe"	"mito"	"https://it.wikipedia.org/wiki/Mito"	"Mythos"	"https://de.wikipedia.org/wiki/Mythos"	"mito"	"https://pt.wikipedia.org/wiki/Mito"	"mite"	"https://ca.wikipedia.org/wiki/Mite"	"mýtus"	"https://cs.wikipedia.org/wiki/Mýtus"	
"Q5043"	"https://wikidata.org/wiki/Q5043"	"Kristautasun"	"https://wikidata.org/wiki/Q6957341"	""	"https://wikidata.org/wiki/Q47280
https://wikidata.org/wiki/Q19842652
https://wikidata.org/wiki/Q9174"	"kristautasun"	"https://eu.wikipedia.org/wiki/Kristautasun"	"cristianismo"	"https://es.wikipedia.org/wiki/Cristianismo"	"Christianity"	"https://en.wikipedia.org/wiki/Christianity"	"christianisme"	"https://fr.wikipedia.org/wiki/Christianisme"	"cristianesimo"	"https://it.wikipedia.org/wiki/Cristianesimo"	"Christentum"	"https://de.wikipedia.org/wiki/Christentum"	"cristianismo"	"https://pt.wikipedia.org/wiki/Cristianismo"	"cristianisme"	"https://ca.wikipedia.org/wiki/Cristianisme"	"křesťanství"	"https://cs.wikipedia.org/wiki/Křesťanství"	
"Q29536"	"https://wikidata.org/wiki/Q29536"	"Paganismo"	"https://wikidata.org/wiki/Q49447
https://wikidata.org/wiki/Q110401222
https://wikidata.org/wiki/Q49773
https://wikidata.org/wiki/Q16334295"	""	"https://wikidata.org/wiki/Q9174"	"paganismo"	"https://eu.wikipedia.org/wiki/Paganismo"	"paganismo"	"https://es.wikipedia.org/wiki/Paganismo"	"paganism"	"https://en.wikipedia.org/wiki/Paganism"	"paganisme"	"https://fr.wikipedia.org/wiki/Paganisme"	"paganesimo"	"https://it.wikipedia.org/wiki/Paganesimo"	"Heidentum"	"https://de.wikipedia.org/wiki/Heidentum"	"paganismo"	"https://pt.wikipedia.org/wiki/Paganismo"	"paganisme"	"https://ca.wikipedia.org/wiki/Paganisme"	"pohanství"	"https://cs.wikipedia.org/wiki/Pohanství"	
"Q475027"	"https://wikidata.org/wiki/Q475027"	"Indoeuropar"	""	""	"https://wikidata.org/wiki/Q41710"	"Indoeuropar herriak"	"https://eu.wikipedia.org/wiki/Indoeuropar"	"indoeuropeo"	"https://es.wikipedia.org/wiki/Indoeuropeo"	"Indo-European people"	"https://en.wikipedia.org/wiki/Indo-Europeans"	"Indo-Européens"	"https://fr.wikipedia.org/wiki/Indo-Européens"	"popoli indoeuropei"	"https://it.wikipedia.org/wiki/Popoli_indoeuropei"	"Indogermanen"	"https://de.wikipedia.org/wiki/Indogermanen"	"Indo-europeus"	"https://pt.wikipedia.org/wiki/Indo-europeus"	"indoeuropeus"		"Indoevropané"	"https://cs.wikipedia.org/wiki/Indoevropané"	
"Q1246837"	"https://wikidata.org/wiki/Q1246837"	"Baskoi"	"https://wikidata.org/wiki/Q4204501"	""	""	"baskoi"	"https://eu.wikipedia.org/wiki/Baskoi"	"Vascones"	"https://es.wikipedia.org/wiki/Vascones"	"Vascones"	"https://en.wikipedia.org/wiki/Vascones"	"Vascons"	"https://fr.wikipedia.org/wiki/Vascons"	"Vasconi"	"https://it.wikipedia.org/wiki/Vasconi"			"Vascões"	"https://pt.wikipedia.org/wiki/Vascões_(povo)"	"vascons"	"https://ca.wikipedia.org/wiki/Vascons"			
"Q2087837"	"https://wikidata.org/wiki/Q2087837"	"Mari"	"https://wikidata.org/wiki/Q205985
https://wikidata.org/wiki/Q13405593"	""	""	"Mari"	"https://eu.wikipedia.org/wiki/Mari"	"Mari"	"https://es.wikipedia.org/wiki/Mari_(diosa)"	"Mari"	"https://en.wikipedia.org/wiki/Mari_(goddess)"	"Mari"	"https://fr.wikipedia.org/wiki/Mari_(mythologie_basque)"	"Mari"	"https://it.wikipedia.org/wiki/Mari_(dea)"	"Mari"		"Mari (deusa)"	"https://pt.wikipedia.org/wiki/Mari_(deusa)"	"Mari"	"https://ca.wikipedia.org/wiki/Mari_(deessa)"			
"Q611361"	"https://wikidata.org/wiki/Q611361"	"Ktoniko"	""	""	"https://wikidata.org/wiki/Q22989102
https://wikidata.org/wiki/Q1088986"	"Ktoniko"	"https://eu.wikipedia.org/wiki/Ktoniko"	"ctónico"	"https://es.wikipedia.org/wiki/Ctónico"	"chthonic gods"	"https://en.wikipedia.org/wiki/Chthonic"	"divinités grecques chthoniennes"	"https://fr.wikipedia.org/wiki/Divinités_grecques_chthoniennes"	"divinità ctonie"	"https://it.wikipedia.org/wiki/Divinità_ctonie"	"chthonische Götter"	"https://de.wikipedia.org/wiki/Chthonische_Götter"	"ctónico"	"https://pt.wikipedia.org/wiki/Ctónico"	"ctònic"	"https://ca.wikipedia.org/wiki/Ctònic"			
"Q556689"	"https://wikidata.org/wiki/Q556689"	"Amalur"	"https://wikidata.org/wiki/Q16648953"	""	""	"Amalur"	"https://eu.wikipedia.org/wiki/Amalur"	"Amalur"	"https://es.wikipedia.org/wiki/Amalur"	"Amalur"	"https://en.wikipedia.org/wiki/Amalur"	"Amalur"	"https://fr.wikipedia.org/wiki/Amalur"	"Ama Lur"	"https://it.wikipedia.org/wiki/Ama_Lur"					"Amalur"	"https://ca.wikipedia.org/wiki/Amalur"			
"Q3049261"	"https://wikidata.org/wiki/Q3049261"	"Eguzki_Amandre"	"https://wikidata.org/wiki/Q511056"	""	""	"Eguzki Amandre"	"https://eu.wikipedia.org/wiki/Eguzki_Amandre"			"Eki"	"https://en.wikipedia.org/wiki/Eki_(goddess)"	"Eguzki"	"https://fr.wikipedia.org/wiki/Eguzki"							"Eguzki Amandre"	"https://ca.wikipedia.org/wiki/Eguzki_Amandre"			
"Q190"	"https://wikidata.org/wiki/Q190"	"Jainko"	"https://wikidata.org/wiki/Q23847174"	""	"https://wikidata.org/wiki/Q635155"	"Jainko"	"https://eu.wikipedia.org/wiki/Jainko"	"Dios"	"https://es.wikipedia.org/wiki/Dios"	"God"	"https://en.wikipedia.org/wiki/God"	"Dieu"	"https://fr.wikipedia.org/wiki/Dieu"	"dio"	"https://it.wikipedia.org/wiki/Dio"	"Gott"	"https://de.wikipedia.org/wiki/Gott"	"Deus"	"https://pt.wikipedia.org/wiki/Deus"	"Déu"	"https://ca.wikipedia.org/wiki/Déu"	"Bůh"	"https://cs.wikipedia.org/wiki/Bůh"	
"Q162244"	"https://wikidata.org/wiki/Q162244"	"Heroi"	"https://wikidata.org/wiki/Q12737077"	""	"https://wikidata.org/wiki/Q21070568"	"Heroi"	"https://eu.wikipedia.org/wiki/Heroi"	"héroe"	"https://es.wikipedia.org/wiki/Héroe"	"hero"	"https://en.wikipedia.org/wiki/Hero"	"héros"	"https://fr.wikipedia.org/wiki/Héros"	"eroe"	"https://it.wikipedia.org/wiki/Eroe"	"Held"	"https://de.wikipedia.org/wiki/Held"	"herói"	"https://pt.wikipedia.org/wiki/Herói"	"heroi"	"https://ca.wikipedia.org/wiki/Heroi"	"hrdina"	"https://cs.wikipedia.org/wiki/Hrdina"	
"Q475027"	"https://wikidata.org/wiki/Q475027"	"Indoeuropar"	""	""	"https://wikidata.org/wiki/Q41710"	"Indoeuropar herriak"	"https://eu.wikipedia.org/wiki/Indoeuropar"	"indoeuropeo"	"https://es.wikipedia.org/wiki/Indoeuropeo"	"Indo-European people"	"https://en.wikipedia.org/wiki/Indo-Europeans"	"Indo-Européens"	"https://fr.wikipedia.org/wiki/Indo-Européens"	"popoli indoeuropei"	"https://it.wikipedia.org/wiki/Popoli_indoeuropei"	"Indogermanen"	"https://de.wikipedia.org/wiki/Indogermanen"	"Indo-europeus"	"https://pt.wikipedia.org/wiki/Indo-europeus"	"indoeuropeus"		"Indoevropané"	"https://cs.wikipedia.org/wiki/Indoevropané"	
