"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q5431887"	"https://wikidata.org/wiki/Q5431887"	"Desigualdad social"	"https://wikidata.org/wiki/Q602884
https://wikidata.org/wiki/Q1920219"	""	"https://wikidata.org/wiki/Q11536499"	"Desberdintasun sozial"	"https://eu.wikipedia.org/wiki/Desberdintasun_sozial"	"desigualdad social"	"https://es.wikipedia.org/wiki/Desigualdad_social"	"social inequality"	"https://en.wikipedia.org/wiki/Social_inequality"	"inégalité sociale"	"https://fr.wikipedia.org/wiki/Inégalité_sociale"	"disuguaglianza sociale"	"https://it.wikipedia.org/wiki/Disuguaglianza_sociale"	"soziale Ungleichheit"	"https://de.wikipedia.org/wiki/Soziale_Ungleichheit"	"igualdade"	"https://pt.wikipedia.org/wiki/Desigualdade_social"	"desigualtat social"	"https://ca.wikipedia.org/wiki/Desigualtat_social"	"sociální nerovnost"	"https://cs.wikipedia.org/wiki/Sociální_nerovnost"	
"Q109313174"	"https://wikidata.org/wiki/Q109313174"	"Patriarcado (feminismo)"	""	""	""			"Patriarcado"	"https://es.wikipedia.org/wiki/Patriarcado_(feminismo)"															
"Q252000"	"https://wikidata.org/wiki/Q252000"	"Opresión"	""	""	"https://wikidata.org/wiki/Q124490
https://wikidata.org/wiki/Q1975478"	"zapalkuntza"	"https://eu.wikipedia.org/wiki/Zapalkuntza"	"opresión"	"https://es.wikipedia.org/wiki/Opresión"	"oppression"	"https://en.wikipedia.org/wiki/Oppression"	"oppression"	"https://fr.wikipedia.org/wiki/Oppression"	"oppressione"		"Unterdrückung"	"https://de.wikipedia.org/wiki/Unterdrückung"	"opressão"	"https://pt.wikipedia.org/wiki/Opressão"	"opressió"	"https://ca.wikipedia.org/wiki/Opressió"	"útlak"	"https://cs.wikipedia.org/wiki/Útlak"	
"Q8441"	"https://wikidata.org/wiki/Q8441"	"Varón"	""	"https://wikidata.org/wiki/Q8436
https://wikidata.org/wiki/Q20686840"	"https://wikidata.org/wiki/Q80994
https://wikidata.org/wiki/Q84048850
https://wikidata.org/wiki/Q5"	"gizon"	"https://eu.wikipedia.org/wiki/Gizon"	"varón"	"https://es.wikipedia.org/wiki/Varón"	"man"	"https://en.wikipedia.org/wiki/Man"	"homme"	"https://fr.wikipedia.org/wiki/Homme"	"uomo"	"https://it.wikipedia.org/wiki/Uomo_(maschio)"	"Mann"	"https://de.wikipedia.org/wiki/Mann"	"homem"	"https://pt.wikipedia.org/wiki/Homem"	"home"	"https://ca.wikipedia.org/wiki/Home"	"muž"	"https://cs.wikipedia.org/wiki/Muž"	
"Q467"	"https://wikidata.org/wiki/Q467"	"Mujer"	""	""	"https://wikidata.org/wiki/Q80994
https://wikidata.org/wiki/Q84048852"	"emakume"	"https://eu.wikipedia.org/wiki/Emakume"	"mujer"	"https://es.wikipedia.org/wiki/Mujer"	"woman"	"https://en.wikipedia.org/wiki/Woman"	"femme"	"https://fr.wikipedia.org/wiki/Femme"	"donna"	"https://it.wikipedia.org/wiki/Donna"	"Frau"	"https://de.wikipedia.org/wiki/Frau"	"mulher"	"https://pt.wikipedia.org/wiki/Mulher"	"dona"	"https://ca.wikipedia.org/wiki/Dona"	"žena"	"https://cs.wikipedia.org/wiki/Žena"	
"Q514337"	"https://wikidata.org/wiki/Q514337"	"Androcentrismo"	"https://wikidata.org/wiki/Q742736"	""	""	"Androzentrismo"	"https://eu.wikipedia.org/wiki/Androzentrismo"	"Androcentrismo"	"https://es.wikipedia.org/wiki/Androcentrismo"	"androcentrism"	"https://en.wikipedia.org/wiki/Androcentrism"	"Androcentrisme"	"https://fr.wikipedia.org/wiki/Androcentrisme"			"Androzentrismus"	"https://de.wikipedia.org/wiki/Androzentrismus"	"androcentrismo"	"https://pt.wikipedia.org/wiki/Androcentrismo"	"androcentrisme"	"https://ca.wikipedia.org/wiki/Androcentrisme"	"Androcentrismus"	"https://cs.wikipedia.org/wiki/Androcentrismus"	
"Q918036"	"https://wikidata.org/wiki/Q918036"	"Raza"	"https://wikidata.org/wiki/Q631147"	""	""	"Arraza"	"https://eu.wikipedia.org/wiki/Arraza_(biologia)"	"raza"	"https://es.wikipedia.org/wiki/Raza"	"race"	"https://en.wikipedia.org/wiki/Race_(biology)"	"race"	"https://fr.wikipedia.org/wiki/Proles"	"razza"	"https://it.wikipedia.org/wiki/Razza"	"Rasse"	"https://de.wikipedia.org/wiki/Rasse"	"raça"	"https://pt.wikipedia.org/wiki/Raça_(biologia)"			"rasa"		
"Q187588"	"https://wikidata.org/wiki/Q187588"	"Clase social"	""	""	"https://wikidata.org/wiki/Q874405
https://wikidata.org/wiki/Q841628"	"Gizarte klase"	"https://eu.wikipedia.org/wiki/Gizarte_klase"	"clase social"	"https://es.wikipedia.org/wiki/Clase_social"	"social class"	"https://en.wikipedia.org/wiki/Social_class"	"classe sociale"	"https://fr.wikipedia.org/wiki/Classe_sociale"	"classe sociale"	"https://it.wikipedia.org/wiki/Classe_sociale"	"soziale Klasse"	"https://de.wikipedia.org/wiki/Soziale_Klasse"	"classe social"	"https://pt.wikipedia.org/wiki/Classe_social"	"classe social"	"https://ca.wikipedia.org/wiki/Classe_social"	"sociální třída"	"https://cs.wikipedia.org/wiki/Sociální_třída"	
"Q17888"	"https://wikidata.org/wiki/Q17888"	"Orientación sexual"	"https://wikidata.org/wiki/Q24017414"	"https://wikidata.org/wiki/Q5110203
https://wikidata.org/wiki/Q1165905"	"https://wikidata.org/wiki/Q4042967
https://wikidata.org/wiki/Q3702971"	"sexu-joera"	"https://eu.wikipedia.org/wiki/Sexu-joera"	"orientación sexual"	"https://es.wikipedia.org/wiki/Orientación_sexual"	"sexual orientation"	"https://en.wikipedia.org/wiki/Sexual_orientation"	"orientation sexuelle"	"https://fr.wikipedia.org/wiki/Orientation_sexuelle"	"orientamento sessuale"	"https://it.wikipedia.org/wiki/Orientamento_sessuale"	"sexuelle Orientierung"	"https://de.wikipedia.org/wiki/Sexuelle_Orientierung"	"orientação sexual"	"https://pt.wikipedia.org/wiki/Orientação_sexual"	"orientació sexual"	"https://ca.wikipedia.org/wiki/Orientació_sexual"	"sexuální orientace"	"https://cs.wikipedia.org/wiki/Sexuální_orientace"	
"Q2933837"	"https://wikidata.org/wiki/Q2933837"	"Abolicionismo de la prostitución"	"https://wikidata.org/wiki/Q1387659
https://wikidata.org/wiki/Q2738074"	""	""	"Prostituzioaren abolizionismo"	"https://eu.wikipedia.org/wiki/Prostituzioaren_abolizionismo"	"abolicionismo de la prostitución"	"https://es.wikipedia.org/wiki/Abolicionismo_de_la_prostitución"	"abolitionism"	"https://en.wikipedia.org/wiki/Abolitionism_(prostitution)"	"abolitionnisme"	"https://fr.wikipedia.org/wiki/Abolitionnisme_(prostitution)"			"Abolitionismus (Prostitution)"	"https://de.wikipedia.org/wiki/Abolitionismus_(Prostitution)"							
