"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q3478658"	"https://wikidata.org/wiki/Q3478658"	"Knowledge_representation_and_reasoning"	"https://wikidata.org/wiki/Q2465832
https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q11660"	"jakintzaren errepresentazio"		"representación del conocimiento"	"https://es.wikipedia.org/wiki/Representación_del_conocimiento"	"knowledge representation and reasoning"	"https://en.wikipedia.org/wiki/Knowledge_representation_and_reasoning"	"représentation des connaissances"		"rappresentazione della conoscenza"	"https://it.wikipedia.org/wiki/Rappresentazione_della_conoscenza"	"Wissensrepräsentation"	"https://de.wikipedia.org/wiki/Wissensrepräsentation"	"representação de conhecimento"	"https://pt.wikipedia.org/wiki/Representação_de_conhecimento"	"representació i raonament del coneixement"		"reprezentace znalostí"	"https://cs.wikipedia.org/wiki/Reprezentace_znalostí"	
"Q593744"	"https://wikidata.org/wiki/Q593744"	"Knowledge_base"	""	"https://wikidata.org/wiki/Q1412694
https://wikidata.org/wiki/Q184609"	"https://wikidata.org/wiki/Q8513
https://wikidata.org/wiki/Q2623243
https://wikidata.org/wiki/Q1063801
https://wikidata.org/wiki/Q788790"	"jakintza-base"		"base de conocimiento"	"https://es.wikipedia.org/wiki/Base_de_conocimiento"	"knowledge base"	"https://en.wikipedia.org/wiki/Knowledge_base"	"base de connaissance"	"https://fr.wikipedia.org/wiki/Base_de_connaissance"	"base di conoscenza"	"https://it.wikipedia.org/wiki/Base_di_conoscenza"	"Wissensdatenbank"	"https://de.wikipedia.org/wiki/Wissensdatenbank"	"base de conhecimento"	"https://pt.wikipedia.org/wiki/Base_de_conhecimento"	"base de dades de coneixement"		"znalostní báze"	"https://cs.wikipedia.org/wiki/Báze_znalostí"	
"Q1172480"	"https://wikidata.org/wiki/Q1172480"	"Data_model"	""	""	"https://wikidata.org/wiki/Q2623243
https://wikidata.org/wiki/Q1172284"	"datu eredua"		"modelo de datos"	"https://es.wikipedia.org/wiki/Modelo_de_datos"	"data model"	"https://en.wikipedia.org/wiki/Data_model"	"modèle de données"	"https://fr.wikipedia.org/wiki/Modèle_de_données"	"modello dei dati"	"https://it.wikipedia.org/wiki/Modello_dei_dati"	"Datenmodell"	"https://de.wikipedia.org/wiki/Datenmodell"	"modelo de dados"		"model de dades"		"datový model"		
"Q42989"	"https://wikidata.org/wiki/Q42989"	"Topology"	"https://wikidata.org/wiki/Q1936384
https://wikidata.org/wiki/Q20026918"	"https://wikidata.org/wiki/Q395
https://wikidata.org/wiki/Q114705836"	""	"Topologia"	"https://eu.wikipedia.org/wiki/Topologia"	"topología"	"https://es.wikipedia.org/wiki/Topología"	"topology"	"https://en.wikipedia.org/wiki/Topology"	"topologie"	"https://fr.wikipedia.org/wiki/Topologie"	"topologia"	"https://it.wikipedia.org/wiki/Topologia"	"Topologie"	"https://de.wikipedia.org/wiki/Topologie_(Mathematik)"	"topologia"	"https://pt.wikipedia.org/wiki/Topologia_(matemática)"	"topologia"	"https://ca.wikipedia.org/wiki/Topologia"	"topologie"	"https://cs.wikipedia.org/wiki/Topologie"	
"Q42848"	"https://wikidata.org/wiki/Q42848"	"Data"	""	"https://wikidata.org/wiki/Q59138835"	"https://wikidata.org/wiki/Q11028"	"datu"	"https://eu.wikipedia.org/wiki/Datu_(estatistika)"	"dato"	"https://es.wikipedia.org/wiki/Dato"	"data"	"https://en.wikipedia.org/wiki/Data"	"donnée"	"https://fr.wikipedia.org/wiki/Donnée"	"dato"	"https://it.wikipedia.org/wiki/Dato"	"Daten"	"https://de.wikipedia.org/wiki/Daten"	"dado"	"https://pt.wikipedia.org/wiki/Dados"	"dada"	"https://ca.wikipedia.org/wiki/Dada"	"data"	"https://cs.wikipedia.org/wiki/Data"	
"Q25047676"	"https://wikidata.org/wiki/Q25047676"	"Named_entity"	""	""	"https://wikidata.org/wiki/Q488383"			"entidad con nombre"		"named entity"	"https://en.wikipedia.org/wiki/Named_entity"	"entité nommée"	"https://fr.wikipedia.org/wiki/Entité_nommée"	"entità con nome"						"entitat nomenada"				
"Q796212"	"https://wikidata.org/wiki/Q796212"	"Semantics"	"https://wikidata.org/wiki/Q21484471
https://wikidata.org/wiki/Q4167410"	""	""			"Semántica lingüística"	"https://es.wikipedia.org/wiki/Semántica"	"Semantics (general)"	"https://en.wikipedia.org/wiki/Semantics"			"Semantica"	"https://it.wikipedia.org/wiki/Semantica_(disambigua)"	"Semantik"	"https://de.wikipedia.org/wiki/Semantik"	"Semântica"	"https://pt.wikipedia.org/wiki/Semântica_(desambiguação)"					
"Q54837"	"https://wikidata.org/wiki/Q54837"	"Semantic_Web"	"https://wikidata.org/wiki/Q121182"	""	"https://wikidata.org/wiki/Q466
https://wikidata.org/wiki/Q1045785"	"web semantiko"	"https://eu.wikipedia.org/wiki/Web_semantiko"	"web semántica"	"https://es.wikipedia.org/wiki/Web_semántica"	"Semantic Web"	"https://en.wikipedia.org/wiki/Semantic_Web"	"Web sémantique"	"https://fr.wikipedia.org/wiki/Web_sémantique"	"web semantico"	"https://it.wikipedia.org/wiki/Web_semantico"	"Semantic Web"	"https://de.wikipedia.org/wiki/Semantic_Web"	"web semântica"	"https://pt.wikipedia.org/wiki/Web_semântica"	"web semàntic"	"https://ca.wikipedia.org/wiki/Web_semàntic"	"sémantický web"	"https://cs.wikipedia.org/wiki/Sémantický_web"	
"Q515701"	"https://wikidata.org/wiki/Q515701"	"Linked_data"	""	""	"https://wikidata.org/wiki/Q26813700
https://wikidata.org/wiki/Q7094076"	"Datu Lotuak"	"https://eu.wikipedia.org/wiki/Datu_estekatuak"	"datos enlazados"	"https://es.wikipedia.org/wiki/Datos_enlazados"	"linked data"	"https://en.wikipedia.org/wiki/Linked_data"	"Web des données"	"https://fr.wikipedia.org/wiki/Web_des_données"	"linked data"	"https://it.wikipedia.org/wiki/Linked_data"	"Linked Data"		"linked data"	"https://pt.wikipedia.org/wiki/Linked_data"	"dades enllaçades"	"https://ca.wikipedia.org/wiki/Dades_enllaçades"	"propojená data"		
"Q151885"	"https://wikidata.org/wiki/Q151885"	"Concept"	"https://wikidata.org/wiki/Q23958852"	""	"https://wikidata.org/wiki/Q2145290
https://wikidata.org/wiki/Q7184903
https://wikidata.org/wiki/Q1347367"	"kontzeptu"	"https://eu.wikipedia.org/wiki/Adigai"	"concepto"	"https://es.wikipedia.org/wiki/Concepto"	"concept"	"https://en.wikipedia.org/wiki/Concept"	"concept"	"https://fr.wikipedia.org/wiki/Concept_(philosophie)"	"concetto"	"https://it.wikipedia.org/wiki/Concetto"	"Begriff"	"https://de.wikipedia.org/wiki/Begriff"	"conceito"	"https://pt.wikipedia.org/wiki/Conceito"	"concepte"	"https://ca.wikipedia.org/wiki/Concepte"	"pojem"		
