"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q205380"	"https://wikidata.org/wiki/Q205380"	"Greenwich_Village"	"https://wikidata.org/wiki/Q123705
https://wikidata.org/wiki/Q61297932
https://wikidata.org/wiki/Q20856087
https://wikidata.org/wiki/Q748198"	""	""	"Greenwich Village"	"https://eu.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://es.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://en.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://fr.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://it.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://de.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://pt.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://ca.wikipedia.org/wiki/Greenwich_Village"	"Greenwich Village"	"https://cs.wikipedia.org/wiki/Greenwich_Village"	
"Q748198"	"https://wikidata.org/wiki/Q748198"	"Gay_village"	""	""	"https://wikidata.org/wiki/Q123705
https://wikidata.org/wiki/Q2983893"			"barrio gay"	"https://es.wikipedia.org/wiki/Barrio_LGBT"	"gay village"	"https://en.wikipedia.org/wiki/Gay_village"	"quartier gay"	"https://fr.wikipedia.org/wiki/Quartier_gay"	"gay village"	"https://it.wikipedia.org/wiki/Gay_village"	"Lesben- und Schwulenviertel"	"https://de.wikipedia.org/wiki/Lesben-_und_Schwulenviertel"	"bairro gay"	"https://pt.wikipedia.org/wiki/Bairro_gay"	"barri gai"				
"Q18148561"	"https://wikidata.org/wiki/Q18148561"	"LGBT_culture_in_New_York_City"	"https://wikidata.org/wiki/Q11042
https://wikidata.org/wiki/Q74817647"	""	""					"LGBT culture in New York City"	"https://en.wikipedia.org/wiki/LGBT_culture_in_New_York_City"	"Culture LGBT à New York"		"Cultura LGBT a New York"	"https://it.wikipedia.org/wiki/Cultura_LGBT_a_New_York"									
"Q1261362"	"https://wikidata.org/wiki/Q1261362"	"Stonewall_Inn"	"https://wikidata.org/wiki/Q187456
https://wikidata.org/wiki/Q29469577"	"https://wikidata.org/wiki/Q24799699"	""	"Stonewall Inn"	"https://eu.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://es.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://en.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://fr.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://it.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://de.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://pt.wikipedia.org/wiki/Stonewall_Inn"	"Stonewall Inn"	"https://ca.wikipedia.org/wiki/Stonewall_Inn"			
"Q51401"	"https://wikidata.org/wiki/Q51401"	"Rainbow_flag_(LGBT)"	"https://wikidata.org/wiki/Q7676378
https://wikidata.org/wiki/Q69506823"	""	"https://wikidata.org/wiki/Q7242811"	"LGBT bandera"	"https://eu.wikipedia.org/wiki/LGBT_bandera"	"bandera LGBT"	"https://es.wikipedia.org/wiki/Bandera_LGBT"	"LGBT pride flag"	"https://en.wikipedia.org/wiki/Rainbow_flag_(LGBT)"	"drapeau arc-en-ciel LGBT"	"https://fr.wikipedia.org/wiki/Drapeau_arc-en-ciel_LGBT"	"bandiera arcobaleno"	"https://it.wikipedia.org/wiki/Bandiera_arcobaleno"	"Regenbogenfahne"		"bandeira arco-íris"	"https://pt.wikipedia.org/wiki/Bandeira_arco-íris_(movimento_LGBT)"	"bandera LGBT"	"https://ca.wikipedia.org/wiki/Bandera_LGBT"	"Duhová vlajka"		
"Q55285572"	"https://wikidata.org/wiki/Q55285572"	"Outline_of_LGBT_topics"	"https://wikidata.org/wiki/Q26884324"	""	""					"Outline of LGBT topics"	"https://en.wikipedia.org/wiki/Outline_of_LGBT_topics"													
"Q17884"	"https://wikidata.org/wiki/Q17884"	"LGBT"	"https://wikidata.org/wiki/Q177634
https://wikidata.org/wiki/Q16334295
https://wikidata.org/wiki/Q30103"	""	"https://wikidata.org/wiki/Q589656
https://wikidata.org/wiki/Q11894636"	"LGBT"	"https://eu.wikipedia.org/wiki/LGBT"	"LGBT"	"https://es.wikipedia.org/wiki/LGBT"	"LGBT"	"https://en.wikipedia.org/wiki/LGBT"	"LGBT"	"https://fr.wikipedia.org/wiki/Lesbiennes,_gays,_bisexuels_et_transgenres"	"LGBT"	"https://it.wikipedia.org/wiki/LGBT"	"LGBT"	"https://de.wikipedia.org/wiki/LGBT"	"LGBT"	"https://pt.wikipedia.org/wiki/LGBT"	"LGBT"	"https://ca.wikipedia.org/wiki/LGBT"	"LGBT"	"https://cs.wikipedia.org/wiki/LGBT"	
"Q110271724"	"https://wikidata.org/wiki/Q110271724"	"Lesbian"	""	"https://wikidata.org/wiki/Q25447263"	"https://wikidata.org/wiki/Q113286753
https://wikidata.org/wiki/Q467
https://wikidata.org/wiki/Q6581072"	"lesbiana"	"https://eu.wikipedia.org/wiki/Lesbiana"	"lesbiana"	"https://es.wikipedia.org/wiki/Lesbiana"	"lesbian"	"https://en.wikipedia.org/wiki/Lesbian"	"lesbienne"	"https://fr.wikipedia.org/wiki/Lesbienne"			"Lesbe"	"https://de.wikipedia.org/wiki/Lesbisch"	"lésbica"	"https://pt.wikipedia.org/wiki/Lésbica"	"lesbiana"	"https://ca.wikipedia.org/wiki/Lesbiana"	"lesba"	"https://cs.wikipedia.org/wiki/Lesba"	
"Q104969456"	"https://wikidata.org/wiki/Q104969456"	"Gay_men"	"https://wikidata.org/wiki/Q17888"	"https://wikidata.org/wiki/Q592
https://wikidata.org/wiki/Q108939503
https://wikidata.org/wiki/Q113286753"	"https://wikidata.org/wiki/Q6636
https://wikidata.org/wiki/Q513896"			"gay"	"https://es.wikipedia.org/wiki/Gay"	"gay man"	"https://en.wikipedia.org/wiki/Gay_men"	"homme homosexuel"	"https://fr.wikipedia.org/wiki/Gay_(homosexualité)"	"uomini omosessuali"		"schwul"	"https://de.wikipedia.org/wiki/Schwul"	"gays"	"https://pt.wikipedia.org/wiki/Homens_gays"	"home gai"	"https://ca.wikipedia.org/wiki/Gai"	"gay"	"https://cs.wikipedia.org/wiki/Gay"	
"Q43200"	"https://wikidata.org/wiki/Q43200"	"Bisexuality"	"https://wikidata.org/wiki/Q17888"	"https://wikidata.org/wiki/Q351403"	"https://wikidata.org/wiki/Q339014
https://wikidata.org/wiki/Q64737936
https://wikidata.org/wiki/Q106589379"	"bisexualitate"	"https://eu.wikipedia.org/wiki/Bisexualitate"	"bisexualidad"	"https://es.wikipedia.org/wiki/Bisexualidad"	"bisexuality"	"https://en.wikipedia.org/wiki/Bisexuality"	"bisexualité"	"https://fr.wikipedia.org/wiki/Bisexualité"	"bisessualità"	"https://it.wikipedia.org/wiki/Bisessualità"	"Bisexualität"	"https://de.wikipedia.org/wiki/Bisexualität"	"bissexualidade"	"https://pt.wikipedia.org/wiki/Bissexualidade"	"bisexualitat"	"https://ca.wikipedia.org/wiki/Bisexualitat"	"bisexualita"	"https://cs.wikipedia.org/wiki/Bisexualita"	
"Q189125"	"https://wikidata.org/wiki/Q189125"	"Transgender"	"https://wikidata.org/wiki/Q43229"	""	"https://wikidata.org/wiki/Q215627
https://wikidata.org/wiki/Q17884
https://wikidata.org/wiki/Q106647285
https://wikidata.org/wiki/Q11894636"	"transgenero"	"https://eu.wikipedia.org/wiki/Transgenero"	"persona transgénero"	"https://es.wikipedia.org/wiki/Transgénero"	"transgender"	"https://en.wikipedia.org/wiki/Transgender"	"personne trans"	"https://fr.wikipedia.org/wiki/Transgenre"	"persona transgender"	"https://it.wikipedia.org/wiki/Transgender"	"Transgender-Person"	"https://de.wikipedia.org/wiki/Transgender"	"pessoa transgênero"	"https://pt.wikipedia.org/wiki/Transgénero"	"persona trans"	"https://ca.wikipedia.org/wiki/Trans"	"transgender"	"https://cs.wikipedia.org/wiki/Transgender"	
"Q17888"	"https://wikidata.org/wiki/Q17888"	"Sexual_orientation"	"https://wikidata.org/wiki/Q24017414"	"https://wikidata.org/wiki/Q5110203
https://wikidata.org/wiki/Q1165905"	"https://wikidata.org/wiki/Q4042967
https://wikidata.org/wiki/Q3702971"	"sexu-joera"	"https://eu.wikipedia.org/wiki/Sexu-joera"	"orientación sexual"	"https://es.wikipedia.org/wiki/Orientación_sexual"	"sexual orientation"	"https://en.wikipedia.org/wiki/Sexual_orientation"	"orientation sexuelle"	"https://fr.wikipedia.org/wiki/Orientation_sexuelle"	"orientamento sessuale"	"https://it.wikipedia.org/wiki/Orientamento_sessuale"	"sexuelle Orientierung"	"https://de.wikipedia.org/wiki/Sexuelle_Orientierung"	"orientação sexual"	"https://pt.wikipedia.org/wiki/Orientação_sexual"	"orientació sexual"	"https://ca.wikipedia.org/wiki/Orientació_sexual"	"sexuální orientace"	"https://cs.wikipedia.org/wiki/Sexuální_orientace"	
"Q48277"	"https://wikidata.org/wiki/Q48277"	"Gender"	"https://wikidata.org/wiki/Q151885"	"https://wikidata.org/wiki/Q5110203
https://wikidata.org/wiki/Q31087437"	"https://wikidata.org/wiki/Q844569"	"genero"	"https://eu.wikipedia.org/wiki/Genero_(soziologia)"	"género"	"https://es.wikipedia.org/wiki/Género_(ciencias_sociales)"	"gender"	"https://en.wikipedia.org/wiki/Gender"	"genre"	"https://fr.wikipedia.org/wiki/Genre_(sciences_sociales)"	"genere"	"https://it.wikipedia.org/wiki/Genere_(scienze_sociali)"	"Gender"	"https://de.wikipedia.org/wiki/Gender"	"género"	"https://pt.wikipedia.org/wiki/Género"	"gènere"	"https://ca.wikipedia.org/wiki/Gènere_(sociologia)"	"gender"	"https://cs.wikipedia.org/wiki/Gender"	
"Q339014"	"https://wikidata.org/wiki/Q339014"	"Non-heterosexual"	"https://wikidata.org/wiki/Q17888"	""	"https://wikidata.org/wiki/Q17884
https://wikidata.org/wiki/Q154136"			"no heterosexual"	"https://es.wikipedia.org/wiki/No_heterosexual"	"non-heterosexuality"	"https://en.wikipedia.org/wiki/Non-heterosexual"	"non-hétérosexualité"	"https://fr.wikipedia.org/wiki/Non_hétérosexuel"	"non eterosessualità"	"https://it.wikipedia.org/wiki/Non_eterosessuale"	"Nicht-Heterosexualität"		"não-heterossexual"	"https://pt.wikipedia.org/wiki/Não_heterossexual"	"no heterosexual"		"neheterosexualita"		
"Q6636"	"https://wikidata.org/wiki/Q6636"	"Homosexuality"	"https://wikidata.org/wiki/Q17888
https://wikidata.org/wiki/Q4688879"	""	"https://wikidata.org/wiki/Q339014
https://wikidata.org/wiki/Q3242821
https://wikidata.org/wiki/Q1632385"	"homosexualitate"	"https://eu.wikipedia.org/wiki/Homosexualitate"	"homosexualidad"	"https://es.wikipedia.org/wiki/Homosexualidad"	"homosexuality"	"https://en.wikipedia.org/wiki/Homosexuality"	"homosexualité"	"https://fr.wikipedia.org/wiki/Homosexualité"	"omosessualità"	"https://it.wikipedia.org/wiki/Omosessualità"	"Homosexualität"	"https://de.wikipedia.org/wiki/Homosexualität"	"homossexualidade"	"https://pt.wikipedia.org/wiki/Homossexualidade"	"homosexualitat"	"https://ca.wikipedia.org/wiki/Homosexualitat"	"homosexualita"	"https://cs.wikipedia.org/wiki/Homosexualita"	
"Q271534"	"https://wikidata.org/wiki/Q271534"	"Pansexuality"	"https://wikidata.org/wiki/Q17888"	"https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q339014
https://wikidata.org/wiki/Q106589379"	"Pansexualitate"	"https://eu.wikipedia.org/wiki/Pansexualitate"	"pansexualidad"	"https://es.wikipedia.org/wiki/Pansexualidad"	"pansexuality"	"https://en.wikipedia.org/wiki/Pansexuality"	"pansexualité"	"https://fr.wikipedia.org/wiki/Pansexualité"	"pansessualità"	"https://it.wikipedia.org/wiki/Pansessualità"	"Pansexualität"	"https://de.wikipedia.org/wiki/Pansexualität"	"pansexualidade"	"https://pt.wikipedia.org/wiki/Pansexualidade"	"pansexualitat"	"https://ca.wikipedia.org/wiki/Pansexualitat"	"pansexualita"	"https://cs.wikipedia.org/wiki/Pansexualita"	
"Q724351"	"https://wikidata.org/wiki/Q724351"	"Asexuality"	"https://wikidata.org/wiki/Q17888"	"https://wikidata.org/wiki/Q114645134
https://wikidata.org/wiki/Q114704689"	"https://wikidata.org/wiki/Q339014
https://wikidata.org/wiki/Q17884"	"asexualtasun"	"https://eu.wikipedia.org/wiki/Asexualtasun"	"espectro asexual"	"https://es.wikipedia.org/wiki/Asexualidad"	"asexuality"	"https://en.wikipedia.org/wiki/Asexuality"	"asexualité"	"https://fr.wikipedia.org/wiki/Asexualité"	"asessualità"	"https://it.wikipedia.org/wiki/Asessualità"	"Asexualität"	"https://de.wikipedia.org/wiki/Asexualität"	"assexualidade"	"https://pt.wikipedia.org/wiki/Assexualidade"	"asexualitat"	"https://ca.wikipedia.org/wiki/Asexualitat"	"asexualita"	"https://cs.wikipedia.org/wiki/Asexualita"	
