"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q189603"	"https://wikidata.org/wiki/Q189603"	"Public_health"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q6958747"	""	"https://wikidata.org/wiki/Q843601"	"Osasun publiko"	"https://eu.wikipedia.org/wiki/Osasun_publiko"	"salud pública"	"https://es.wikipedia.org/wiki/Salud_pública"	"public health"	"https://en.wikipedia.org/wiki/Public_health"	"santé publique"	"https://fr.wikipedia.org/wiki/Santé_publique"	"sanità pubblica"		"Public Health"	"https://de.wikipedia.org/wiki/Public_Health"	"saúde pública"	"https://pt.wikipedia.org/wiki/Saúde_pública"	"salut pública"	"https://ca.wikipedia.org/wiki/Salut_pública"	"veřejné zdraví"	"https://cs.wikipedia.org/wiki/Veřejné_zdraví"	
"Q109373891"	"https://wikidata.org/wiki/Q109373891"	"Outline_of_public_health"	""	""	""					"Outline of public health"	"https://en.wikipedia.org/wiki/Outline_of_public_health"													
"Q3473024"	"https://wikidata.org/wiki/Q3473024"	"Community_health"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q31207
https://wikidata.org/wiki/Q2518253"			"salud comunitaria"		"community health"	"https://en.wikipedia.org/wiki/Community_health"	"santé communautaire"	"https://fr.wikipedia.org/wiki/Santé_communautaire"			"Community Health"	"https://de.wikipedia.org/wiki/Community_Health"			"salut comunitària"	"https://ca.wikipedia.org/wiki/Salut_comunitària"			
"Q4117950"	"https://wikidata.org/wiki/Q4117950"	"Dental_public_health"	""	""	"https://wikidata.org/wiki/Q189603
https://wikidata.org/wiki/Q12128"			"Salud pública dental"	"https://es.wikipedia.org/wiki/Salud_pública_dental"	"dental public health"	"https://en.wikipedia.org/wiki/Dental_public_health"	"santé publique bucco dentaire"												
"Q932068"	"https://wikidata.org/wiki/Q932068"	"Environmental_health"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q2267705
https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q4671286"	""	""			"salud ambiental"	"https://es.wikipedia.org/wiki/Salud_ambiental"	"environmental health"	"https://en.wikipedia.org/wiki/Environmental_health"	"santé-environnement"	"https://fr.wikipedia.org/wiki/Santé-environnement"	"salute ambientale"		"Umweltgesundheit"	"https://de.wikipedia.org/wiki/Umweltgesundheit"	"saúde ambiental"	"https://pt.wikipedia.org/wiki/Saúde_ambiental"					
"Q133805"	"https://wikidata.org/wiki/Q133805"	"Epidemiology"	"https://wikidata.org/wiki/Q2465832"	""	"https://wikidata.org/wiki/Q843601"	"epidemiologia"	"https://eu.wikipedia.org/wiki/Epidemiologia"	"epidemiología"	"https://es.wikipedia.org/wiki/Epidemiología"	"epidemiology"	"https://en.wikipedia.org/wiki/Epidemiology"	"épidémiologie"	"https://fr.wikipedia.org/wiki/Épidémiologie"	"epidemiologia"	"https://it.wikipedia.org/wiki/Epidemiologia"	"Epidemiologie"	"https://de.wikipedia.org/wiki/Epidemiologie"	"epidemiologia"	"https://pt.wikipedia.org/wiki/Epidemiologia"	"epidemiologia"	"https://ca.wikipedia.org/wiki/Epidemiologia"	"epidemiologie"	"https://cs.wikipedia.org/wiki/Epidemiologie"	
"Q31218"	"https://wikidata.org/wiki/Q31218"	"Health_economics"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q8134"			"economía de la salud"	"https://es.wikipedia.org/wiki/Economía_de_la_salud"	"health economics"	"https://en.wikipedia.org/wiki/Health_economics"	"économie de la santé"	"https://fr.wikipedia.org/wiki/Économie_de_la_santé"	"economia della salute"	"https://it.wikipedia.org/wiki/Farmacoeconomia"	"Gesundheitsökonomie"	"https://de.wikipedia.org/wiki/Gesundheitsökonomie"	"economia da saúde"	"https://pt.wikipedia.org/wiki/Economia_da_saúde"	"Economia sanitària"	"https://ca.wikipedia.org/wiki/Economia_sanitària"			
"Q60894"	"https://wikidata.org/wiki/Q60894"	"Health_education"	""	"https://wikidata.org/wiki/Q113156829"	"https://wikidata.org/wiki/Q8434"			"educación sanitaria"	"https://es.wikipedia.org/wiki/Educación_para_la_salud"	"health education"	"https://en.wikipedia.org/wiki/Health_education"	"éducation sanitaire"	"https://fr.wikipedia.org/wiki/Éducation_pour_la_santé"	"educazione sanitaria"		"Gesundheitsbildung"	"https://de.wikipedia.org/wiki/Gesundheitsbildung"	"educação em saúde"		"educació per a la salut"	"https://ca.wikipedia.org/wiki/Educació_per_a_la_salut"			
"Q1851928"	"https://wikidata.org/wiki/Q1851928"	"Health_promotion"	"https://wikidata.org/wiki/Q1969448"	"https://wikidata.org/wiki/Q60894"	"https://wikidata.org/wiki/Q60894
https://wikidata.org/wiki/Q60482764"	"Osasunaren sustapen"	"https://eu.wikipedia.org/wiki/Osasunaren_sustapen"	"promoción de la salud"	"https://es.wikipedia.org/wiki/Promoción_de_la_salud"	"health promotion"	"https://en.wikipedia.org/wiki/Health_promotion"	"promotion de la santé"	"https://fr.wikipedia.org/wiki/Promotion_de_la_santé"	"promozione della salute"	"https://it.wikipedia.org/wiki/Promozione_della_salute"	"Gesundheitsförderung"	"https://de.wikipedia.org/wiki/Gesundheitsförderung"	"promoção da saúde"	"https://pt.wikipedia.org/wiki/Promoção_da_saúde"	"promoció de la salut"	"https://ca.wikipedia.org/wiki/Promoció_de_la_salut"			
"Q1519812"	"https://wikidata.org/wiki/Q1519812"	"Health_policy"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q2267705
https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q96251375"	"https://wikidata.org/wiki/Q7163
https://wikidata.org/wiki/Q11000047"	"https://wikidata.org/wiki/Q546113"			"política sanitaria"	"https://es.wikipedia.org/wiki/Política_sanitaria"	"health policy"	"https://en.wikipedia.org/wiki/Health_policy"	"politique de santé"	"https://fr.wikipedia.org/wiki/Politique_de_santé"	"politiche sanitarie"		"Gesundheitspolitik"	"https://de.wikipedia.org/wiki/Gesundheitspolitik"	"política sanitária"		"política sanitària"				
"Q105409324"	"https://wikidata.org/wiki/Q105409324"	"Health_politics"	""	""	""					"Health politics"	"https://en.wikipedia.org/wiki/Health_politics"													
