"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q10313"	"https://wikidata.org/wiki/Q10313"	"Donostia"	"https://wikidata.org/wiki/Q2074737
https://wikidata.org/wiki/Q129372
https://wikidata.org/wiki/Q1549591"	"https://wikidata.org/wiki/Q107556261
https://wikidata.org/wiki/Q107556262"	""	"Donostia"	"https://eu.wikipedia.org/wiki/Donostia"	"San Sebastián"	"https://es.wikipedia.org/wiki/San_Sebastián"	"Donostia-San Sebastián"	"https://en.wikipedia.org/wiki/San_Sebastián"	"Saint-Sébastien"	"https://fr.wikipedia.org/wiki/Saint-Sébastien_(Espagne)"	"San Sebastián"	"https://it.wikipedia.org/wiki/San_Sebastián"	"Donostia-San Sebastián"	"https://de.wikipedia.org/wiki/Donostia-San_Sebastián"	"San Sebastián"	"https://pt.wikipedia.org/wiki/San_Sebastián"	"Sant Sebastià"	"https://ca.wikipedia.org/wiki/Sant_Sebastià"	"San Sebastián"	"https://cs.wikipedia.org/wiki/San_Sebastián"	
"Q95010"	"https://wikidata.org/wiki/Q95010"	"Gipuzkoa"	"https://wikidata.org/wiki/Q162620
https://wikidata.org/wiki/Q3179682"	""	""	"Gipuzkoa"	"https://eu.wikipedia.org/wiki/Gipuzkoa"	"Guipúzcoa"	"https://es.wikipedia.org/wiki/Guipúzcoa"	"Gipuzkoa"	"https://en.wikipedia.org/wiki/Gipuzkoa"	"Guipuscoa"	"https://fr.wikipedia.org/wiki/Guipuscoa"	"Gipuzkoa"	"https://it.wikipedia.org/wiki/Gipuzkoa"	"Gipuzkoa"	"https://de.wikipedia.org/wiki/Gipuzkoa"	"Guipúscoa"	"https://pt.wikipedia.org/wiki/Guipúscoa"	"Guipúscoa"	"https://ca.wikipedia.org/wiki/Guipúscoa"	"Gipuzkoa"	"https://cs.wikipedia.org/wiki/Gipuzkoa"	
"Q47588"	"https://wikidata.org/wiki/Q47588"	"Euskal_Herria"	"https://wikidata.org/wiki/Q3502482
https://wikidata.org/wiki/Q1151616"	""	""	"Euskal Herria"	"https://eu.wikipedia.org/wiki/Euskal_Herria"	"País Vasco"	"https://es.wikipedia.org/wiki/Euskal_Herria"	"Basque Country"	"https://en.wikipedia.org/wiki/Basque_Country_(greater_region)"	"Pays basque"	"https://fr.wikipedia.org/wiki/Pays_basque"	"Paese basco"	"https://it.wikipedia.org/wiki/Paese_basco"	"Baskenland"	"https://de.wikipedia.org/wiki/Baskenland"	"País Basco"	"https://pt.wikipedia.org/wiki/País_Basco"	"País Basc"	"https://ca.wikipedia.org/wiki/País_Basc"	"Baskicko"	"https://cs.wikipedia.org/wiki/Baskicko_(území)"	
"Q8752"	"https://wikidata.org/wiki/Q8752"	"Euskara"	"https://wikidata.org/wiki/Q33648
https://wikidata.org/wiki/Q1288568"	"https://wikidata.org/wiki/Q62067599
https://wikidata.org/wiki/Q23492
https://wikidata.org/wiki/Q48366"	"https://wikidata.org/wiki/Q4669240
https://wikidata.org/wiki/Q85380120"	"euskara"	"https://eu.wikipedia.org/wiki/Euskara"	"euskera"	"https://es.wikipedia.org/wiki/Euskera"	"Basque"	"https://en.wikipedia.org/wiki/Basque_language"	"basque"	"https://fr.wikipedia.org/wiki/Basque"	"basco"	"https://it.wikipedia.org/wiki/Lingua_basca"	"Baskisch"	"https://de.wikipedia.org/wiki/Baskische_Sprache"	"basco"	"https://pt.wikipedia.org/wiki/Língua_basca"	"basc"	"https://ca.wikipedia.org/wiki/Basc"	"baskičtina"	"https://cs.wikipedia.org/wiki/Baskičtina"	
"Q1321"	"https://wikidata.org/wiki/Q1321"	"Gaztelania"	"https://wikidata.org/wiki/Q33742
https://wikidata.org/wiki/Q34770
https://wikidata.org/wiki/Q1288568"	""	"https://wikidata.org/wiki/Q71924
https://wikidata.org/wiki/Q1377152"	"gaztelania"	"https://eu.wikipedia.org/wiki/Gaztelania"	"español"	"https://es.wikipedia.org/wiki/Idioma_español"	"Spanish"	"https://en.wikipedia.org/wiki/Spanish_language"	"espagnol"	"https://fr.wikipedia.org/wiki/Espagnol"	"spagnolo"	"https://it.wikipedia.org/wiki/Lingua_spagnola"	"Spanisch"	"https://de.wikipedia.org/wiki/Spanische_Sprache"	"espanhol"	"https://pt.wikipedia.org/wiki/Língua_castelhana"	"castellà"	"https://ca.wikipedia.org/wiki/Castellà"	"španělština"	"https://cs.wikipedia.org/wiki/Španělština"	
"Q855091"	"https://wikidata.org/wiki/Q855091"	"Gitarra-jotzaile"	"https://wikidata.org/wiki/Q66715801
https://wikidata.org/wiki/Q12737077"	""	"https://wikidata.org/wiki/Q1278335"	"gitarra-jotzaile"	"https://eu.wikipedia.org/wiki/Gitarra-jotzaile"	"guitarrista"	"https://es.wikipedia.org/wiki/Guitarrista"	"guitarist"	"https://en.wikipedia.org/wiki/Guitarist"	"guitariste"	"https://fr.wikipedia.org/wiki/Guitariste"	"chitarrista"	"https://it.wikipedia.org/wiki/Chitarrista"	"Gitarrist"	"https://de.wikipedia.org/wiki/Gitarrist"	"guitarrista"	"https://pt.wikipedia.org/wiki/Guitarrista"	"guitarrista"	"https://ca.wikipedia.org/wiki/Guitarrista"	"kytarista"		
"Q177220"	"https://wikidata.org/wiki/Q177220"	"Abeslari"	"https://wikidata.org/wiki/Q66715801
https://wikidata.org/wiki/Q12737077
https://wikidata.org/wiki/Q108300140"	""	"https://wikidata.org/wiki/Q2643890
https://wikidata.org/wiki/Q639669
https://wikidata.org/wiki/Q108289408"	"abeslari"	"https://eu.wikipedia.org/wiki/Abeslari"	"cantante"	"https://es.wikipedia.org/wiki/Cantante"	"singer"	"https://en.wikipedia.org/wiki/Singer"	"chanteur ou chanteuse"	"https://fr.wikipedia.org/wiki/Chanteur"	"cantante"	"https://it.wikipedia.org/wiki/Cantante"	"Sänger"	"https://de.wikipedia.org/wiki/Vokalist"	"cantor(a)"		"cantant"	"https://ca.wikipedia.org/wiki/Cantant"	"zpěvák"	"https://cs.wikipedia.org/wiki/Zpěvák"	
"Q36834"	"https://wikidata.org/wiki/Q36834"	"Musikagile"	"https://wikidata.org/wiki/Q66715801
https://wikidata.org/wiki/Q12737077"	""	"https://wikidata.org/wiki/Q639669
https://wikidata.org/wiki/Q482980"	"musikagile"	"https://eu.wikipedia.org/wiki/Musikagile"	"compositor"	"https://es.wikipedia.org/wiki/Compositor"	"composer"	"https://en.wikipedia.org/wiki/Composer"	"compositeur ou compositrice"	"https://fr.wikipedia.org/wiki/Compositeur"	"compositore"	"https://it.wikipedia.org/wiki/Compositore"	"Komponist"	"https://de.wikipedia.org/wiki/Komponist"	"compositor(a)"	"https://pt.wikipedia.org/wiki/Compositor"	"compositor"	"https://ca.wikipedia.org/wiki/Compositor"	"hudební skladatel"	"https://cs.wikipedia.org/wiki/Hudební_skladatel"	
"Q488205"	"https://wikidata.org/wiki/Q488205"	"Egile_abeslari"	"https://wikidata.org/wiki/Q66715801
https://wikidata.org/wiki/Q12737077"	""	"https://wikidata.org/wiki/Q177220
https://wikidata.org/wiki/Q753110"	"egile abeslari"	"https://eu.wikipedia.org/wiki/Egile_abeslari"	"cantautor"	"https://es.wikipedia.org/wiki/Cantautor"	"singer-songwriter"	"https://en.wikipedia.org/wiki/Singer-songwriter"	"auteur-compositeur-interprète"	"https://fr.wikipedia.org/wiki/Auteur-compositeur-interprète"	"cantautore"	"https://it.wikipedia.org/wiki/Cantautore"	"Singer-Songwriter"	"https://de.wikipedia.org/wiki/Singer-Songwriter"	"cantautor(a)"	"https://pt.wikipedia.org/wiki/Cantautor"	"cantautor"	"https://ca.wikipedia.org/wiki/Cantautor"	"písničkář"	"https://cs.wikipedia.org/wiki/Písničkář"	
"Q25474790"	"https://wikidata.org/wiki/Q25474790"	"Gipuzkoako_Urrezko_Domina"	"https://wikidata.org/wiki/Q618779"	""	""	"Gipuzkoako Urrezko Domina"	"https://eu.wikipedia.org/wiki/Gipuzkoako_Urrezko_Domina"			"Gipuzkoako Urrezko Domina"		"Gipuzkoako Urrezko Domina"								"Gipuzkoako Urrezko Domina"				
