"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q103191"	"https://wikidata.org/wiki/Q103191"	"Homeostasis"	"https://wikidata.org/wiki/Q68199003"	""	"https://wikidata.org/wiki/Q11061286
https://wikidata.org/wiki/Q29017603"	"Homeostasi"	"https://eu.wikipedia.org/wiki/Homeostasi"	"homeostasis"	"https://es.wikipedia.org/wiki/Homeostasis"	"homeostasis"	"https://en.wikipedia.org/wiki/Homeostasis"	"homéostasie"	"https://fr.wikipedia.org/wiki/Homéostasie"	"omeostasi"	"https://it.wikipedia.org/wiki/Omeostasi"	"Homöostase"	"https://de.wikipedia.org/wiki/Homöostase"	"homeostase"	"https://pt.wikipedia.org/wiki/Homeostase"	"homeòstasi"	"https://ca.wikipedia.org/wiki/Homeòstasi"	"homeostáza"	"https://cs.wikipedia.org/wiki/Homeostáza"	
"Q7239"	"https://wikidata.org/wiki/Q7239"	"Ser_vivo"	""	"https://wikidata.org/wiki/Q2625603
https://wikidata.org/wiki/Q16334298
https://wikidata.org/wiki/Q2382443
https://wikidata.org/wiki/Q16521"	"https://wikidata.org/wiki/Q27043950"	"organismo"	"https://eu.wikipedia.org/wiki/Organismo"	"ser vivo"	"https://es.wikipedia.org/wiki/Ser_vivo"	"organism"	"https://en.wikipedia.org/wiki/Organism"	"organisme"	"https://fr.wikipedia.org/wiki/Organisme_(physiologie)"	"organismo vivente"	"https://it.wikipedia.org/wiki/Organismo_vivente"	"Lebewesen"	"https://de.wikipedia.org/wiki/Lebewesen"	"organismo"	"https://pt.wikipedia.org/wiki/Organismo"	"organisme"	"https://ca.wikipedia.org/wiki/Organisme"	"organismus"	"https://cs.wikipedia.org/wiki/Organismus"	
"Q196538"	"https://wikidata.org/wiki/Q196538"	"Microscopio"	""	""	"https://wikidata.org/wiki/Q1751850"	"Mikroskopio"	"https://eu.wikipedia.org/wiki/Mikroskopio"	"microscopio"	"https://es.wikipedia.org/wiki/Microscopio"	"microscope"	"https://en.wikipedia.org/wiki/Microscope"	"microscope"	"https://fr.wikipedia.org/wiki/Microscope"	"microscopio"	"https://it.wikipedia.org/wiki/Microscopio"	"Mikroskop"	"https://de.wikipedia.org/wiki/Mikroskop"	"microscópio"	"https://pt.wikipedia.org/wiki/Microscópio"	"microscopi"	"https://ca.wikipedia.org/wiki/Microscopi"	"mikroskop"	"https://cs.wikipedia.org/wiki/Mikroskop"	
"Q1057"	"https://wikidata.org/wiki/Q1057"	"Metabolismo"	"https://wikidata.org/wiki/Q2996394"	""	"https://wikidata.org/wiki/Q2996394"	"metabolismo"	"https://eu.wikipedia.org/wiki/Metabolismo"	"metabolismo"	"https://es.wikipedia.org/wiki/Metabolismo"	"metabolism"	"https://en.wikipedia.org/wiki/Metabolism"	"métabolisme"	"https://fr.wikipedia.org/wiki/Métabolisme"	"metabolismo"	"https://it.wikipedia.org/wiki/Metabolismo"	"Stoffwechsel"	"https://de.wikipedia.org/wiki/Stoffwechsel"	"metabolismo"	"https://pt.wikipedia.org/wiki/Metabolismo"	"metabolisme"	"https://ca.wikipedia.org/wiki/Metabolisme"	"metabolismus"	"https://cs.wikipedia.org/wiki/Metabolismus"	
"Q8047"	"https://wikidata.org/wiki/Q8047"	"Enzima"	"https://wikidata.org/wiki/Q84467700"	"https://wikidata.org/wiki/Q5381540
https://wikidata.org/wiki/Q3454362"	"https://wikidata.org/wiki/Q426799
https://wikidata.org/wiki/Q8054"	"entzima"	"https://eu.wikipedia.org/wiki/Entzima"	"enzima"	"https://es.wikipedia.org/wiki/Enzima"	"enzyme"	"https://en.wikipedia.org/wiki/Enzyme"	"enzyme"	"https://fr.wikipedia.org/wiki/Enzyme"	"enzima"	"https://it.wikipedia.org/wiki/Enzima"	"Enzym"	"https://de.wikipedia.org/wiki/Enzym"	"enzima"	"https://pt.wikipedia.org/wiki/Enzima"	"enzim"	"https://ca.wikipedia.org/wiki/Enzim"	"enzym"	"https://cs.wikipedia.org/wiki/Enzym"	
"Q34956"	"https://wikidata.org/wiki/Q34956"	"Vitamina"	"https://wikidata.org/wiki/Q56256086"	""	"https://wikidata.org/wiki/Q174211
https://wikidata.org/wiki/Q531507
https://wikidata.org/wiki/Q181394"	"Bitamina"	"https://eu.wikipedia.org/wiki/Bitamina"	"vitamina"	"https://es.wikipedia.org/wiki/Vitamina"	"vitamin"	"https://en.wikipedia.org/wiki/Vitamin"	"vitamine"	"https://fr.wikipedia.org/wiki/Vitamine"	"vitamine"	"https://it.wikipedia.org/wiki/Vitamine"	"Vitamin"	"https://de.wikipedia.org/wiki/Vitamin"	"vitamina"	"https://pt.wikipedia.org/wiki/Vitamina"	"vitamina"	"https://ca.wikipedia.org/wiki/Vitamina"	"vitamín"	"https://cs.wikipedia.org/wiki/Vitamín"	
"Q37525"	"https://wikidata.org/wiki/Q37525"	"Glucosa"	"https://wikidata.org/wiki/Q15711994"	"https://wikidata.org/wiki/Q14863057
https://wikidata.org/wiki/Q14758903
https://wikidata.org/wiki/Q14907693
https://wikidata.org/wiki/Q191835
https://wikidata.org/wiki/Q14864022
https://wikidata.org/wiki/Q22281809
https://wikidata.org/wiki/Q22275617
https://wikidata.org/wiki/Q22275673
https://wikidata.org/wiki/Q22281915
https://wikidata.org/wiki/Q22281913
https://wikidata.org/wiki/Q22275664
https://wikidata.org/wiki/Q22275666
https://wikidata.org/wiki/Q22275677
https://wikidata.org/wiki/Q21095676
https://wikidata.org/wiki/Q22275634
https://wikidata.org/wiki/Q22275633
https://wikidata.org/wiki/Q22281927
https://wikidata.org/wiki/Q14859859
https://wikidata.org/wiki/Q22283268
https://wikidata.org/wiki/Q14887301
https://wikidata.org/wiki/Q22324754
https://wikidata.org/wiki/Q15318080
https://wikidata.org/wiki/Q21972891
https://wikidata.org/wiki/Q22324767
https://wikidata.org/wiki/Q14887304
https://wikidata.org/wiki/Q22291673
https://wikidata.org/wiki/Q14863062
https://wikidata.org/wiki/Q22281920
https://wikidata.org/wiki/Q14758934"	"https://wikidata.org/wiki/Q1077067"	"glukosa"	"https://eu.wikipedia.org/wiki/Glukosa"	"glucosa"	"https://es.wikipedia.org/wiki/Glucosa"	"glucose"	"https://en.wikipedia.org/wiki/Glucose"	"glucose"	"https://fr.wikipedia.org/wiki/Glucose"	"glucosio"	"https://it.wikipedia.org/wiki/Glucosio"	"Glucose"	"https://de.wikipedia.org/wiki/Glucose"	"glicose"	"https://pt.wikipedia.org/wiki/Glicose"	"glucosa"	"https://ca.wikipedia.org/wiki/Glucosa"	"glukóza"	"https://cs.wikipedia.org/wiki/Glukóza"	
"Q11364"	"https://wikidata.org/wiki/Q11364"	"Hormona"	""	""	"https://wikidata.org/wiki/Q420168
https://wikidata.org/wiki/Q50430050
https://wikidata.org/wiki/Q12140
https://wikidata.org/wiki/Q66560214"	"hormona"	"https://eu.wikipedia.org/wiki/Hormona"	"hormona"	"https://es.wikipedia.org/wiki/Hormona"	"hormone"	"https://en.wikipedia.org/wiki/Hormone"	"hormone"	"https://fr.wikipedia.org/wiki/Hormone"	"ormone"	"https://it.wikipedia.org/wiki/Ormone"	"Hormone"	"https://de.wikipedia.org/wiki/Hormon"	"hormona"	"https://pt.wikipedia.org/wiki/Hormona"	"hormona"	"https://ca.wikipedia.org/wiki/Hormona"	"hormon"	"https://cs.wikipedia.org/wiki/Hormon"	
"Q12147"	"https://wikidata.org/wiki/Q12147"	"Salud"	"https://wikidata.org/wiki/Q190258
https://wikidata.org/wiki/Q28877"	""	"https://wikidata.org/wiki/Q7189713
https://wikidata.org/wiki/Q16681739
https://wikidata.org/wiki/Q19829125"	"Osasun"	"https://eu.wikipedia.org/wiki/Osasun"	"salud"	"https://es.wikipedia.org/wiki/Salud"	"health"	"https://en.wikipedia.org/wiki/Health"	"santé"	"https://fr.wikipedia.org/wiki/Santé"	"salute"	"https://it.wikipedia.org/wiki/Salute"	"Gesundheit"	"https://de.wikipedia.org/wiki/Gesundheit"	"saúde"	"https://pt.wikipedia.org/wiki/Saúde"	"salut"	"https://ca.wikipedia.org/wiki/Salut"	"zdraví"	"https://cs.wikipedia.org/wiki/Zdraví"	
"Q283"	"https://wikidata.org/wiki/Q283"	"Agua"	"https://wikidata.org/wiki/Q11173
https://wikidata.org/wiki/Q113681859"	"https://wikidata.org/wiki/Q2095
https://wikidata.org/wiki/Q103135
https://wikidata.org/wiki/Q14902498
https://wikidata.org/wiki/Q14904766
https://wikidata.org/wiki/Q14820652
https://wikidata.org/wiki/Q14863690
https://wikidata.org/wiki/Q14902497
https://wikidata.org/wiki/Q22272594
https://wikidata.org/wiki/Q14820677
https://wikidata.org/wiki/Q22272199"	"https://wikidata.org/wiki/Q11723014
https://wikidata.org/wiki/Q50690
https://wikidata.org/wiki/Q188460"	"ur"	"https://eu.wikipedia.org/wiki/Ur"	"agua"	"https://es.wikipedia.org/wiki/Agua"	"water"	"https://en.wikipedia.org/wiki/Water"	"eau"	"https://fr.wikipedia.org/wiki/Eau"	"acqua"	"https://it.wikipedia.org/wiki/Acqua"	"Wasser"	"https://de.wikipedia.org/wiki/Wasser"	"água"	"https://pt.wikipedia.org/wiki/Água"	"aigua"	"https://ca.wikipedia.org/wiki/Aigua"	"voda"	"https://cs.wikipedia.org/wiki/Voda"	
