"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q1531349"	"https://wikidata.org/wiki/Q1531349"	"Outline_(list)"	""	""	"https://wikidata.org/wiki/Q2067937
https://wikidata.org/wiki/Q49848"	"eskema hierarkikoa"		"esquema jerárquico"		"outline"	"https://en.wikipedia.org/wiki/Outline_(list)"	"structure hiérarchique"				"Gliederung"	"https://de.wikipedia.org/wiki/Gliederung"			"esquema jeràrquic"				
"Q8242"	"https://wikidata.org/wiki/Q8242"	"Literature"	"https://wikidata.org/wiki/Q56055944
https://wikidata.org/wiki/Q28813620
https://wikidata.org/wiki/Q17489659"	"https://wikidata.org/wiki/Q6486703"	"https://wikidata.org/wiki/Q735
https://wikidata.org/wiki/Q28813620"	"literatura"	"https://eu.wikipedia.org/wiki/Literatura"	"literatura"	"https://es.wikipedia.org/wiki/Literatura"	"literature"	"https://en.wikipedia.org/wiki/Literature"	"littérature"	"https://fr.wikipedia.org/wiki/Littérature"	"letteratura"	"https://it.wikipedia.org/wiki/Letteratura"	"Literatur"	"https://de.wikipedia.org/wiki/Literatur"	"literatura"	"https://pt.wikipedia.org/wiki/Literatura"	"literatura"	"https://ca.wikipedia.org/wiki/Literatura"	"literatura"	"https://cs.wikipedia.org/wiki/Literatura"	
"Q676"	"https://wikidata.org/wiki/Q676"	"Prose"	"https://wikidata.org/wiki/Q4263830
https://wikidata.org/wiki/Q621993"	"https://wikidata.org/wiki/Q8242"	"https://wikidata.org/wiki/Q7725634"	"Prosa"	"https://eu.wikipedia.org/wiki/Prosa"	"prosa"	"https://es.wikipedia.org/wiki/Prosa"	"prose"	"https://en.wikipedia.org/wiki/Prose"	"prose"	"https://fr.wikipedia.org/wiki/Prose"	"prosa"	"https://it.wikipedia.org/wiki/Prosa"	"Prosa"	"https://de.wikipedia.org/wiki/Prosa"	"prosa"	"https://pt.wikipedia.org/wiki/Prosa"	"prosa"	"https://ca.wikipedia.org/wiki/Prosa"	"próza"	"https://cs.wikipedia.org/wiki/Próza"	
"Q986539"	"https://wikidata.org/wiki/Q986539"	"Oral_literature"	"https://wikidata.org/wiki/Q223393"	""	"https://wikidata.org/wiki/Q8242"	"ahozko literatura"		"literatura oral"	"https://es.wikipedia.org/wiki/Literatura_oral"	"oral literature"	"https://en.wikipedia.org/wiki/Oral_literature"	"orature"	"https://fr.wikipedia.org/wiki/Orature"	"letteratura orale"	"https://it.wikipedia.org/wiki/Letteratura_orale"	"Volksliteratur"		"literatura oral"	"https://pt.wikipedia.org/wiki/Literatura_oral"	"literatura oral"	"https://ca.wikipedia.org/wiki/Literatura_oral"	"ústní lidová slovesnost"	"https://cs.wikipedia.org/wiki/Ústní_lidová_slovesnost"	
"Q8253"	"https://wikidata.org/wiki/Q8253"	"Fiction"	"https://wikidata.org/wiki/Q1792379"	""	"https://wikidata.org/wiki/Q838948
https://wikidata.org/wiki/Q1318295"	"fikzio"	"https://eu.wikipedia.org/wiki/Fikzio"	"ficción"	"https://es.wikipedia.org/wiki/Ficción"	"fiction"	"https://en.wikipedia.org/wiki/Fiction"	"fiction"	"https://fr.wikipedia.org/wiki/Fiction"	"fiction"	"https://it.wikipedia.org/wiki/Fiction"	"Fiktion"	"https://de.wikipedia.org/wiki/Fiktion"	"ficção"	"https://pt.wikipedia.org/wiki/Ficção"	"ficció"	"https://ca.wikipedia.org/wiki/Ficció"	"literární fikce"	"https://cs.wikipedia.org/wiki/Literární_fikce"	
"Q25372"	"https://wikidata.org/wiki/Q25372"	"Drama"	"https://wikidata.org/wiki/Q621993
https://wikidata.org/wiki/Q223393
https://wikidata.org/wiki/Q4263830"	""	"https://wikidata.org/wiki/Q1318295
https://wikidata.org/wiki/Q8242
https://wikidata.org/wiki/Q7725634"	"drama"	"https://eu.wikipedia.org/wiki/Drama"	"drama"	"https://es.wikipedia.org/wiki/Drama"	"drama"	"https://en.wikipedia.org/wiki/Drama"	"forme dramatique"	"https://fr.wikipedia.org/wiki/Drame_(genre)"	"dramma"	"https://it.wikipedia.org/wiki/Dramma"	"Drama"	"https://de.wikipedia.org/wiki/Drama"	"drama"	"https://pt.wikipedia.org/wiki/Drama"	"forma dramàtica"	"https://ca.wikipedia.org/wiki/Drama"	"drama"	"https://cs.wikipedia.org/wiki/Drama"	
"Q482"	"https://wikidata.org/wiki/Q482"	"Poetry"	"https://wikidata.org/wiki/Q109598321
https://wikidata.org/wiki/Q4263830
https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q7725634"	"olerkigintza"	"https://eu.wikipedia.org/wiki/Olerkigintza"	"poesía"	"https://es.wikipedia.org/wiki/Poesía"	"poetry"	"https://en.wikipedia.org/wiki/Poetry"	"poésie"	"https://fr.wikipedia.org/wiki/Poésie"	"poesia"	"https://it.wikipedia.org/wiki/Poesia"	"Dichtkunst"	"https://de.wikipedia.org/wiki/Poesie"	"poesia"	"https://pt.wikipedia.org/wiki/Poesia"	"poesia"	"https://ca.wikipedia.org/wiki/Poesia"	"poezie"	"https://cs.wikipedia.org/wiki/Poezie"	
"Q7112700"	"https://wikidata.org/wiki/Q7112700"	"Outline_of_poetry"	"https://wikidata.org/wiki/Q26884324"	""	""					"outline of poetry"	"https://en.wikipedia.org/wiki/Outline_of_poetry"													
"Q11024"	"https://wikidata.org/wiki/Q11024"	"Communication"	"https://wikidata.org/wiki/Q1413287
https://wikidata.org/wiki/Q61788060
https://wikidata.org/wiki/Q921513"	""	"https://wikidata.org/wiki/Q6031064"	"Komunikazio"	"https://eu.wikipedia.org/wiki/Komunikazio"	"comunicación"	"https://es.wikipedia.org/wiki/Comunicación"	"communication"	"https://en.wikipedia.org/wiki/Communication"	"communication"	"https://fr.wikipedia.org/wiki/Communication"	"comunicazione"	"https://it.wikipedia.org/wiki/Comunicazione"	"Kommunikation"	"https://de.wikipedia.org/wiki/Kommunikation"	"comunicação"	"https://pt.wikipedia.org/wiki/Comunicação"	"comunicació"	"https://ca.wikipedia.org/wiki/Comunicació"	"dorozumívání"	"https://cs.wikipedia.org/wiki/Dorozumívání"	
"Q11042"	"https://wikidata.org/wiki/Q11042"	"Culture"	"https://wikidata.org/wiki/Q151885"	""	"https://wikidata.org/wiki/Q2515887"	"kultura"	"https://eu.wikipedia.org/wiki/Kultura"	"cultura"	"https://es.wikipedia.org/wiki/Cultura"	"culture"	"https://en.wikipedia.org/wiki/Culture"	"culture"	"https://fr.wikipedia.org/wiki/Culture"	"cultura"	"https://it.wikipedia.org/wiki/Cultura"	"Kultur"	"https://de.wikipedia.org/wiki/Kultur"	"cultura"	"https://pt.wikipedia.org/wiki/Cultura"	"cultura"	"https://ca.wikipedia.org/wiki/Cultura"	"kultura"	"https://cs.wikipedia.org/wiki/Kultura"	
