"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q125191"	"https://wikidata.org/wiki/Q125191"	"Photograph"	""	""	"https://wikidata.org/wiki/Q110304307
https://wikidata.org/wiki/Q107435521
https://wikidata.org/wiki/Q478798
https://wikidata.org/wiki/Q223557
https://wikidata.org/wiki/Q113518695"	"argazkilaritza"	"https://eu.wikipedia.org/wiki/Argazki"	"fotografía"		"photograph"	"https://en.wikipedia.org/wiki/Photograph"	"photographie"	"https://fr.wikipedia.org/wiki/Photo"	"foto"	"https://it.wikipedia.org/wiki/Fotografia_(oggetto)"	"Fotografie"	"https://de.wikipedia.org/wiki/Bild_(Fotografie)"	"fotografia"		"fotografia"	"https://ca.wikipedia.org/wiki/Fotografia_(document)"	"fotografie"		
"Q72974"	"https://wikidata.org/wiki/Q72974"	"Winterswijk"	"https://wikidata.org/wiki/Q2039348"	""	""	"Winterswijk"	"https://eu.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://es.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://en.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://fr.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://it.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://de.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://pt.wikipedia.org/wiki/Winterswijk"	"Winterswijk"	"https://ca.wikipedia.org/wiki/Winterswijk"			
"Q131405"	"https://wikidata.org/wiki/Q131405"	"Louis_Daguerre"	"https://wikidata.org/wiki/Q5"	""	""	"Louis Daguerre"	"https://eu.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://es.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://en.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://fr.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://it.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://de.wikipedia.org/wiki/Louis_Daguerre"	"Louis Daguerre"	"https://pt.wikipedia.org/wiki/Louis_Jacques_Mandé_Daguerre"	"Louis Daguerre"	"https://ca.wikipedia.org/wiki/Louis-Jacques-Mandé_Daguerre"	"Louis Daguerre"	"https://cs.wikipedia.org/wiki/Louis_Daguerre"	
"Q299565"	"https://wikidata.org/wiki/Q299565"	"Henry_Fox_Talbot"	"https://wikidata.org/wiki/Q5"	""	""			"William Fox Talbot"	"https://es.wikipedia.org/wiki/William_Fox_Talbot"	"William Henry Fox Talbot"	"https://en.wikipedia.org/wiki/Henry_Fox_Talbot"	"William Henry Fox Talbot"	"https://fr.wikipedia.org/wiki/William_Henry_Fox_Talbot"	"William Fox Talbot"	"https://it.wikipedia.org/wiki/William_Fox_Talbot"	"William Fox Talbot"	"https://de.wikipedia.org/wiki/William_Henry_Fox_Talbot"	"William Henry Fox Talbot"	"https://pt.wikipedia.org/wiki/William_Henry_Fox_Talbot"	"William Henry Fox Talbot"	"https://ca.wikipedia.org/wiki/William_Henry_Fox_Talbot"	"William Fox Talbot"	"https://cs.wikipedia.org/wiki/William_Fox_Talbot"	
"Q478798"	"https://wikidata.org/wiki/Q478798"	"Image"	""	""	"https://wikidata.org/wiki/Q107435521"	"irudi"	"https://eu.wikipedia.org/wiki/Irudi"	"imagen"	"https://es.wikipedia.org/wiki/Imagen"	"image"	"https://en.wikipedia.org/wiki/Image"	"image"	"https://fr.wikipedia.org/wiki/Image"	"immagine"	"https://it.wikipedia.org/wiki/Immagine"	"Abbild"	"https://de.wikipedia.org/wiki/Abbild"	"imagem"	"https://pt.wikipedia.org/wiki/Imagem"	"imatge"	"https://ca.wikipedia.org/wiki/Imatge_(arts_visuals)"	"obrázek"		
"Q9128"	"https://wikidata.org/wiki/Q9128"	"Light"	""	""	"https://wikidata.org/wiki/Q11386"	"argi"	"https://eu.wikipedia.org/wiki/Argi"	"luz"	"https://es.wikipedia.org/wiki/Luz"	"light"	"https://en.wikipedia.org/wiki/Light"	"lumière"	"https://fr.wikipedia.org/wiki/Lumière"	"luce"	"https://it.wikipedia.org/wiki/Luce"	"Licht"	"https://de.wikipedia.org/wiki/Licht"	"luz"	"https://pt.wikipedia.org/wiki/Luz"	"llum"	"https://ca.wikipedia.org/wiki/Llum"	"světlo"	"https://cs.wikipedia.org/wiki/Světlo"	
"Q209121"	"https://wikidata.org/wiki/Q209121"	"Image_sensor"	"https://wikidata.org/wiki/Q20888925"	"https://wikidata.org/wiki/Q62927"	"https://wikidata.org/wiki/Q11585131
https://wikidata.org/wiki/Q167676"			"sensor de imagen"	"https://es.wikipedia.org/wiki/Sensor_de_imagen"	"image sensor"	"https://en.wikipedia.org/wiki/Image_sensor"	"capteur photographique"	"https://fr.wikipedia.org/wiki/Capteur_photographique"	"sensore di immagini"	"https://it.wikipedia.org/wiki/Sensore_di_immagini"	"Bildsensor"	"https://de.wikipedia.org/wiki/Bildsensor"	"sensor de imagem"	"https://pt.wikipedia.org/wiki/Sensor_de_imagem"	"sensor d'imatge"	"https://ca.wikipedia.org/wiki/Sensor_d'imatge"	"obrazový snímač"	"https://cs.wikipedia.org/wiki/Obrazový_snímač"	
"Q6293"	"https://wikidata.org/wiki/Q6293"	"Photographic_film"	""	""	"https://wikidata.org/wiki/Q1439598
https://wikidata.org/wiki/Q193395
https://wikidata.org/wiki/Q96792464"			"película fotográfica"	"https://es.wikipedia.org/wiki/Película_fotográfica"	"photographic film"	"https://en.wikipedia.org/wiki/Photographic_film"	"pellicule photographique"	"https://fr.wikipedia.org/wiki/Pellicule_photographique"	"pellicola fotografica"	"https://it.wikipedia.org/wiki/Pellicola_fotografica"	"fotografischer Film"	"https://de.wikipedia.org/wiki/Fotografischer_Film"	"filme fotográfico"	"https://pt.wikipedia.org/wiki/Filme_fotográfico"	"pel·lícula fotogràfica"	"https://ca.wikipedia.org/wiki/Pel·lícula_fotogràfica"	"fotografický film"	"https://cs.wikipedia.org/wiki/Fotografický_film"	
"Q622938"	"https://wikidata.org/wiki/Q622938"	"Photolithography"	""	""	"https://wikidata.org/wiki/Q1408288"	"Fotolitografia"	"https://eu.wikipedia.org/wiki/Fotolitografia"	"fotolitografía"	"https://es.wikipedia.org/wiki/Fotolitografía"	"photolithography"	"https://en.wikipedia.org/wiki/Photolithography"	"photolithographie"	"https://fr.wikipedia.org/wiki/Photolithographie"	"Litografia"	"https://it.wikipedia.org/wiki/Litografia_(elettronica)"	"Fotolithografie"	"https://de.wikipedia.org/wiki/Fotolithografie_(Halbleitertechnik)"	"fotolitografia"	"https://pt.wikipedia.org/wiki/Fotolitografia"	"Fotolitografia"	"https://ca.wikipedia.org/wiki/Fotolitografia_(electrònica)"	"fotolitografie"	"https://cs.wikipedia.org/wiki/Fotolitografie"	
"Q11424"	"https://wikidata.org/wiki/Q11424"	"Film"	""	""	"https://wikidata.org/wiki/Q2431196
https://wikidata.org/wiki/Q10301427
https://wikidata.org/wiki/Q4502142
https://wikidata.org/wiki/Q20937557"	"film"	"https://eu.wikipedia.org/wiki/Film_(zinema)"	"película"	"https://es.wikipedia.org/wiki/Película"	"film"	"https://en.wikipedia.org/wiki/Film"	"film"	"https://fr.wikipedia.org/wiki/Film_(cinéma)"	"film"	"https://it.wikipedia.org/wiki/Film"	"Film"	"https://de.wikipedia.org/wiki/Film"	"filme"	"https://pt.wikipedia.org/wiki/Filme"	"pel·lícula"	"https://ca.wikipedia.org/wiki/Pel·lícula"	"film"	"https://cs.wikipedia.org/wiki/Film"	
"Q60061622"	"https://wikidata.org/wiki/Q60061622"	"Video_production"	"https://wikidata.org/wiki/Q268592
https://wikidata.org/wiki/Q4671286
https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q47728"	""	"https://wikidata.org/wiki/Q21198548"			"producción de videos"	"https://es.wikipedia.org/wiki/Producción_de_videos"	"video production"	"https://en.wikipedia.org/wiki/Video_production"	"production de vidéos"								"producció de vídeos"				
"Q853710"	"https://wikidata.org/wiki/Q853710"	"Mass_communication"	"https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q11024"			"comunicación de masas"		"mass communication"	"https://en.wikipedia.org/wiki/Mass_communication"	"communication de masse"	"https://fr.wikipedia.org/wiki/Communication_de_masse"	"comunicazione di massa"		"Massenkommunikation"	"https://de.wikipedia.org/wiki/Massenkommunikation"	"comunicação de massa"	"https://pt.wikipedia.org/wiki/Comunicação_de_massa"	"comunicació de masses"		"masová komunikace"	"https://cs.wikipedia.org/wiki/Masová_komunikace"	
"Q190909"	"https://wikidata.org/wiki/Q190909"	"Focus_(optics)"	""	""	"https://wikidata.org/wiki/Q44946"	"Foku"	"https://eu.wikipedia.org/wiki/Foku_(optika)"	"foco"	"https://es.wikipedia.org/wiki/Foco_(óptica)"	"focus"	"https://en.wikipedia.org/wiki/Focus_(optics)"	"foyer"	"https://fr.wikipedia.org/wiki/Foyer_(optique)"	"fuoco"	"https://it.wikipedia.org/wiki/Fuoco_(ottica)"	"Fokus"	"https://de.wikipedia.org/wiki/Fokus"	"foco"	"https://pt.wikipedia.org/wiki/Foco"	"focus"	"https://ca.wikipedia.org/wiki/Focus_(òptica)"			
"Q15328"	"https://wikidata.org/wiki/Q15328"	"Camera"	""	""	"https://wikidata.org/wiki/Q1751850"	"kamera"	"https://eu.wikipedia.org/wiki/Kamera"	"cámara"	"https://es.wikipedia.org/wiki/Cámara_óptica"	"camera"	"https://en.wikipedia.org/wiki/Camera"	"caméra"	"https://fr.wikipedia.org/wiki/Caméra"	"macchina fotografica"		"Kamera"	"https://de.wikipedia.org/wiki/Kamera"	"câmara"	"https://pt.wikipedia.org/wiki/Câmera"	"càmera"	"https://ca.wikipedia.org/wiki/Càmera"			
