"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"	"pt"	"pt_wikipedia"	"ca"	"ca_wikipedia"	"cs"	"cs_wikipedia"
"Q245423"	"https://wikidata.org/wiki/Q245423"	"Compound_(linguistics)"	""	""	"https://wikidata.org/wiki/Q111352
https://wikidata.org/wiki/Q109316367"			"composición"	"https://es.wikipedia.org/wiki/Composición_(lingüística)"	"compound"	"https://en.wikipedia.org/wiki/Compound_(linguistics)"	"mot composé"	"https://fr.wikipedia.org/wiki/Mot_composé"	"composizione"	"https://it.wikipedia.org/wiki/Composizione_(linguistica)"	"Komposition"	"https://de.wikipedia.org/wiki/Komposition_(Grammatik)"	"composição"	"https://pt.wikipedia.org/wiki/Composição_(linguística)"	"composició"	"https://ca.wikipedia.org/wiki/Composició_(gramàtica)"	"složenina"	"https://cs.wikipedia.org/wiki/Složenina"	
"Q196626"	"https://wikidata.org/wiki/Q196626"	"Context_(language_use)"	""	""	"https://wikidata.org/wiki/Q2141565"			"contexto lingüístico"	"https://es.wikipedia.org/wiki/Contexto_lingüístico"	"context"	"https://en.wikipedia.org/wiki/Context_(language_use)"	"contexte"	"https://fr.wikipedia.org/wiki/Contexte_(linguistique)"	"contesto"	"https://it.wikipedia.org/wiki/Contesto_(linguistica)"	"Kontext"	"https://de.wikipedia.org/wiki/Kontext_(Sprachwissenschaft)"	"contexto"	"https://pt.wikipedia.org/wiki/Contexto"	"context"	"https://ca.wikipedia.org/wiki/Context_lingüístic"	"kontext"	"https://cs.wikipedia.org/wiki/Kontext_(lingvistika)"	
"Q184524"	"https://wikidata.org/wiki/Q184524"	"Lexicography"	"https://wikidata.org/wiki/Q11862829"	"https://wikidata.org/wiki/Q8162"	"https://wikidata.org/wiki/Q178433"	"Hiztegigintza"	"https://eu.wikipedia.org/wiki/Hiztegigintza"	"lexicografía"	"https://es.wikipedia.org/wiki/Lexicografía"	"lexicography"	"https://en.wikipedia.org/wiki/Lexicography"	"lexicographie"	"https://fr.wikipedia.org/wiki/Lexicographie"	"lessicografia"	"https://it.wikipedia.org/wiki/Lessicografia"	"Lexikografie"	"https://de.wikipedia.org/wiki/Lexikografie"	"lexicografia"	"https://pt.wikipedia.org/wiki/Lexicografia"	"lexicografia"	"https://ca.wikipedia.org/wiki/Lexicografia"	"lexikografie"	"https://cs.wikipedia.org/wiki/Lexikografie"	
"Q151885"	"https://wikidata.org/wiki/Q151885"	"Concept"	"https://wikidata.org/wiki/Q23958852"	""	"https://wikidata.org/wiki/Q2145290
https://wikidata.org/wiki/Q7184903
https://wikidata.org/wiki/Q1347367"	"kontzeptu"	"https://eu.wikipedia.org/wiki/Adigai"	"concepto"	"https://es.wikipedia.org/wiki/Concepto"	"concept"	"https://en.wikipedia.org/wiki/Concept"	"concept"	"https://fr.wikipedia.org/wiki/Concept_(philosophie)"	"concetto"	"https://it.wikipedia.org/wiki/Concetto"	"Begriff"	"https://de.wikipedia.org/wiki/Begriff"	"conceito"	"https://pt.wikipedia.org/wiki/Conceito"	"concepte"	"https://ca.wikipedia.org/wiki/Concepte"	"pojem"		
"Q5"	"https://wikidata.org/wiki/Q5"	"Human"	"https://wikidata.org/wiki/Q55983715"	"https://wikidata.org/wiki/Q1156970
https://wikidata.org/wiki/Q8425
https://wikidata.org/wiki/Q42762"	"https://wikidata.org/wiki/Q154954
https://wikidata.org/wiki/Q164509
https://wikidata.org/wiki/Q15978631
https://wikidata.org/wiki/Q215627
https://wikidata.org/wiki/Q110551885"	"gizaki"	"https://eu.wikipedia.org/wiki/Gizaki"	"ser humano"	"https://es.wikipedia.org/wiki/Humano"	"human"	"https://en.wikipedia.org/wiki/Human"	"être humain"	"https://fr.wikipedia.org/wiki/Homo_sapiens_sapiens"	"umano"		"Mensch"	"https://de.wikipedia.org/wiki/Mensch"	"ser humano"	"https://pt.wikipedia.org/wiki/Humano"	"ésser humà"	"https://ca.wikipedia.org/wiki/Ésser_humà"	"člověk"	"https://cs.wikipedia.org/wiki/Člověk_moudrý"	
"Q849359"	"https://wikidata.org/wiki/Q849359"	"Interdisciplinarity"	""	""	"https://wikidata.org/wiki/Q937228
https://wikidata.org/wiki/Q11862829"	"Diziplinartekotasun"	"https://eu.wikipedia.org/wiki/Diziplinartekotasun"	"interdisciplinariedad"	"https://es.wikipedia.org/wiki/Interdisciplinariedad"	"interdisciplinarity"	"https://en.wikipedia.org/wiki/Interdisciplinarity"	"interdisciplinarité"	"https://fr.wikipedia.org/wiki/Interdisciplinarité"	"interdisciplinarità"	"https://it.wikipedia.org/wiki/Interdisciplinarità"	"Interdisziplinarität"	"https://de.wikipedia.org/wiki/Interdisziplinarität"	"interdisciplinaridade"	"https://pt.wikipedia.org/wiki/Interdisciplinaridade"	"interdisciplinarietat"	"https://ca.wikipedia.org/wiki/Interdisciplinarietat"	"interdisciplinarita"	"https://cs.wikipedia.org/wiki/Interdisciplinarita"	
"Q324254"	"https://wikidata.org/wiki/Q324254"	"Ontology_(information_science)"	""	"https://wikidata.org/wiki/Q109642276"	"https://wikidata.org/wiki/Q593744
https://wikidata.org/wiki/Q1172480
https://wikidata.org/wiki/Q1397073"	"Ontologia"	"https://eu.wikipedia.org/wiki/Ontologia_(informatika)"	"ontología"	"https://es.wikipedia.org/wiki/Ontología_(informática)"	"ontology"	"https://en.wikipedia.org/wiki/Ontology_(information_science)"	"ontologie"	"https://fr.wikipedia.org/wiki/Ontologie_(informatique)"	"ontologia"	"https://it.wikipedia.org/wiki/Ontologia_(informatica)"	"Ontologie"	"https://de.wikipedia.org/wiki/Ontologie_(Informatik)"	"ontologia"	"https://pt.wikipedia.org/wiki/Ontologia_(ciência_da_computação)"	"ontologia"	"https://ca.wikipedia.org/wiki/Ontologia_(tecnologia_de_la_informació)"	"ontologie"	"https://cs.wikipedia.org/wiki/Ontologie_(informatika)"	
"Q7553"	"https://wikidata.org/wiki/Q7553"	"Translation"	"https://wikidata.org/wiki/Q4671286"	""	"https://wikidata.org/wiki/Q1875737
https://wikidata.org/wiki/Q11398090
https://wikidata.org/wiki/Q451967"	"itzulpengintza"	"https://eu.wikipedia.org/wiki/Itzulpengintza"	"traducción"	"https://es.wikipedia.org/wiki/Traducción"	"translation"	"https://en.wikipedia.org/wiki/Translation"	"traduction"	"https://fr.wikipedia.org/wiki/Traduction"	"traduzione"	"https://it.wikipedia.org/wiki/Traduzione"	"Übersetzung"	"https://de.wikipedia.org/wiki/Übersetzung_(Linguistik)"	"tradução"	"https://pt.wikipedia.org/wiki/Tradução"	"traducció"	"https://ca.wikipedia.org/wiki/Traducció_lingüística"	"překlad"	"https://cs.wikipedia.org/wiki/Překlad"	
"Q369577"	"https://wikidata.org/wiki/Q369577"	"Standardization"	""	""	"https://wikidata.org/wiki/Q11398090"	"normalizazio"	"https://eu.wikipedia.org/wiki/Normalizazio"	"normalización técnica"	"https://es.wikipedia.org/wiki/Normalización"	"standardization"	"https://en.wikipedia.org/wiki/Standardization"	"normalisation technique"	"https://fr.wikipedia.org/wiki/Standardisation"	"standardizzazione"		"Standardisierung"	"https://de.wikipedia.org/wiki/Standardisierung"	"padronização"	"https://pt.wikipedia.org/wiki/Padronização"	"estandardització"	"https://ca.wikipedia.org/wiki/Estandardització"	"standardizace"	"https://cs.wikipedia.org/wiki/Standardizace"	
"Q3589301"	"https://wikidata.org/wiki/Q3589301"	"Social_epistemology"	""	""	""			"socioepistemología"	"https://es.wikipedia.org/wiki/Socioepistemología"	"social epistemology"	"https://en.wikipedia.org/wiki/Social_epistemology"	"épistémologie sociale"	"https://fr.wikipedia.org/wiki/Épistémologie_sociale"	"epistemologia sociale"		"soziale Epistemologie"	"https://de.wikipedia.org/wiki/Soziale_Epistemologie"	"epistemologia social"	"https://pt.wikipedia.org/wiki/Epistemologia_social"					
"Q333634"	"https://wikidata.org/wiki/Q333634"	"Translator"	"https://wikidata.org/wiki/Q28640"	""	"https://wikidata.org/wiki/Q1790480
https://wikidata.org/wiki/Q36180"	"itzultzaile"		"traductor"	"https://es.wikipedia.org/wiki/Traductor"	"translator"	"https://en.wikipedia.org/wiki/Translator"	"traducteur ou traductrice"		"traduttore"		"Übersetzer"	"https://de.wikipedia.org/wiki/Übersetzer"	"tradutor"		"traductor"		"překladatel"	"https://cs.wikipedia.org/wiki/Překladatel"	
"Q8162"	"https://wikidata.org/wiki/Q8162"	"Linguistics"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q4671286"	"https://wikidata.org/wiki/Q6486703"	"https://wikidata.org/wiki/Q80083
https://wikidata.org/wiki/Q34749"	"hizkuntzalaritza"	"https://eu.wikipedia.org/wiki/Hizkuntzalaritza"	"lingüística"	"https://es.wikipedia.org/wiki/Lingüística"	"linguistics"	"https://en.wikipedia.org/wiki/Linguistics"	"linguistique"	"https://fr.wikipedia.org/wiki/Linguistique"	"linguistica"	"https://it.wikipedia.org/wiki/Linguistica"	"Sprachwissenschaft"	"https://de.wikipedia.org/wiki/Sprachwissenschaft"	"linguística"	"https://pt.wikipedia.org/wiki/Linguística"	"lingüística"	"https://ca.wikipedia.org/wiki/Lingüística"	"lingvistika"	"https://cs.wikipedia.org/wiki/Lingvistika"	
