"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q930752"	"https://wikidata.org/wiki/Q930752"	"Especialidades médicas"	"https://wikidata.org/wiki/Q24017414"	"https://wikidata.org/wiki/Q11190"	"https://wikidata.org/wiki/Q2465832
https://wikidata.org/wiki/Q44597158"	"espezialitate mediko"	"https://eu.wikipedia.org/wiki/Espezialitate_mediko"	"especialidad médica"	"https://es.wikipedia.org/wiki/Especialidades_médicas"	"medical specialty"	"https://en.wikipedia.org/wiki/Medical_specialty"	"spécialité médicale"	"https://fr.wikipedia.org/wiki/Spécialité_médicale"	"specializzazione medica"	"https://it.wikipedia.org/wiki/Specializzazione_(medicina)"	"medizinisches Fachgebiet"		
"Q7867"	"https://wikidata.org/wiki/Q7867"	"Psiquiatría"	"https://wikidata.org/wiki/Q930752
https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q11190
https://wikidata.org/wiki/Q113129019
https://wikidata.org/wiki/Q9418"	"Psikiatria"	"https://eu.wikipedia.org/wiki/Psikiatria"	"psiquiatría"	"https://es.wikipedia.org/wiki/Psiquiatría"	"psychiatry"	"https://en.wikipedia.org/wiki/Psychiatry"	"psychiatrie"	"https://fr.wikipedia.org/wiki/Psychiatrie"	"psichiatria"	"https://it.wikipedia.org/wiki/Psichiatria"	"Psychiatrie"	"https://de.wikipedia.org/wiki/Psychiatrie"	
"Q3450985"	"https://wikidata.org/wiki/Q3450985"	"Trastorno del desarrollo neurológico"	"https://wikidata.org/wiki/Q3087172
https://wikidata.org/wiki/Q3339235"	""	"https://wikidata.org/wiki/Q6817451"			"trastorno del neurodesarrollo"	"https://es.wikipedia.org/wiki/Trastorno_del_desarrollo_neurológico"	"neurodevelopmental disorder"	"https://en.wikipedia.org/wiki/Neurodevelopmental_disorder"	"trouble du neurodéveloppement"	"https://fr.wikipedia.org/wiki/Trouble_du_neurodéveloppement"	"disturbi del neurosviluppo"	"https://it.wikipedia.org/wiki/Disturbi_del_neurosviluppo"			
"Q1640924"	"https://wikidata.org/wiki/Q1640924"	"Hiperconcentración"	"https://wikidata.org/wiki/Q169872"	""	""			"hiperconcentración"	"https://es.wikipedia.org/wiki/Hiperconcentración"	"hyperfocus"	"https://en.wikipedia.org/wiki/Hyperfocus"	"hyperfocus"	"https://fr.wikipedia.org/wiki/Hyperfocus_(psychologie)"			"Hyperfokus"	"https://de.wikipedia.org/wiki/Hyperfokus"	
"Q1414874"	"https://wikidata.org/wiki/Q1414874"	"Comorbilidad"	"https://wikidata.org/wiki/Q64705767"	""	"https://wikidata.org/wiki/Q1952420
https://wikidata.org/wiki/Q1475848"			"comorbilidad"	"https://es.wikipedia.org/wiki/Comorbilidad"	"comorbidity"	"https://en.wikipedia.org/wiki/Comorbidity"	"comorbidité"	"https://fr.wikipedia.org/wiki/Comorbidité"	"comorbilità"	"https://it.wikipedia.org/wiki/Comorbilità"	"Komorbidität"	"https://de.wikipedia.org/wiki/Komorbidität"	
"Q1328833"	"https://wikidata.org/wiki/Q1328833"	"Trastorno negativista desafiante"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q7574983
https://wikidata.org/wiki/Q3063847
https://wikidata.org/wiki/Q12136"			"trastorno negativista desafiante"	"https://es.wikipedia.org/wiki/Trastorno_negativista_desafiante"	"oppositional defiant disorder"	"https://en.wikipedia.org/wiki/Oppositional_defiant_disorder"	"trouble oppositionnel avec provocation"	"https://fr.wikipedia.org/wiki/Trouble_oppositionnel_avec_provocation"	"disturbo oppositivo provocatorio"	"https://it.wikipedia.org/wiki/Disturbo_oppositivo_provocatorio"			
"Q188638"	"https://wikidata.org/wiki/Q188638"	"Trastornos del estado de ánimo"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q12135"	"gogo-aldartearen nahasmendu"	"https://eu.wikipedia.org/wiki/Gogo-aldartearen_nahasmendu"	"trastorno del estado de ánimo"	"https://es.wikipedia.org/wiki/Trastornos_del_estado_de_ánimo"	"mood disorder"	"https://en.wikipedia.org/wiki/Mood_disorder"	"trouble de l'humeur"	"https://fr.wikipedia.org/wiki/Trouble_de_l'humeur"	"disturbi dell'umore"	"https://it.wikipedia.org/wiki/Disturbi_dell'umore"	"affektive Störung"	"https://de.wikipedia.org/wiki/Affektive_Störung"	
"Q544006"	"https://wikidata.org/wiki/Q544006"	"Trastorno de ansiedad"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q3065932
https://wikidata.org/wiki/Q12136"	"antsietate-nahasmendu"	"https://eu.wikipedia.org/wiki/Antsietate-nahasmendu"	"trastorno de ansiedad"	"https://es.wikipedia.org/wiki/Trastorno_de_ansiedad"	"anxiety disorder"	"https://en.wikipedia.org/wiki/Anxiety_disorder"	"trouble anxieux"	"https://fr.wikipedia.org/wiki/Trouble_anxieux"	"disturbo d'ansia"	"https://it.wikipedia.org/wiki/Disturbo_d'ansia"	"Angststörung"	"https://de.wikipedia.org/wiki/Angststörung"	
"Q1436063"	"https://wikidata.org/wiki/Q1436063"	"Trastornos del espectro autista"	"https://wikidata.org/wiki/Q3450985
https://wikidata.org/wiki/Q12131
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q6691991"	"autismoaren espektroko nahasmen"	"https://eu.wikipedia.org/wiki/Autismoaren_Espektroko_Nahasmen"	"trastorno del espectro autista"	"https://es.wikipedia.org/wiki/Trastornos_del_espectro_autista"	"autism spectrum disorder"	"https://en.wikipedia.org/wiki/Autism_spectrum"	"spectre autistique"	"https://fr.wikipedia.org/wiki/Trouble_du_spectre_de_l'autisme"	"spettro autistico"	"https://it.wikipedia.org/wiki/Disturbi_dello_spettro_autistico"	"Autismusspektrum"	"https://de.wikipedia.org/wiki/Autismusspektrum"	
"Q7632070"	"https://wikidata.org/wiki/Q7632070"	"Trastorno por consumo de sustancias"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q12135
https://wikidata.org/wiki/Q4134457
https://wikidata.org/wiki/Q12136"			"Trastorno por consumo de sustancias"	"https://es.wikipedia.org/wiki/Trastorno_por_consumo_de_sustancias"	"substance use disorder"	"https://en.wikipedia.org/wiki/Substance_use_disorder"	"trouble lié à l'usage de substance"		"disturbo da uso di sostanze"	"https://it.wikipedia.org/wiki/Disturbo_da_uso_di_sostanze"			
"Q270673"	"https://wikidata.org/wiki/Q270673"	"Trastorno de personalidad"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q12135
https://wikidata.org/wiki/Q12136"	"nortasunaren nahasmendu"	"https://eu.wikipedia.org/wiki/Nortasunaren_nahasmendu"	"trastorno de personalidad"	"https://es.wikipedia.org/wiki/Trastorno_de_personalidad"	"personality disorder"	"https://en.wikipedia.org/wiki/Personality_disorder"	"trouble de la personnalité"	"https://fr.wikipedia.org/wiki/Trouble_de_la_personnalité"	"disturbo di personalità"	"https://it.wikipedia.org/wiki/Disturbo_di_personalità"	"Persönlichkeitsstörung"	"https://de.wikipedia.org/wiki/Persönlichkeitsstörung"	
