bib_item	bib_itemLabel	langLabel	vol	sp	ep	wb
Q44253	Allende dela eta	Spanish	VIII	36	38	
Q44259	Presentación / Aurkezpen gisa	Spanish	VIII	110	111	
Q44295	Estudio sobre las fuentes del Diccionario de Azkue	Spanish	VIII	93	94	
Q44321	Traducción de: P. Volboudt, Txillida	Spanish	IX	115	146	
Q44325	1664ko meditazionea Versuetan eguina [Adabakiak]	Spanish	I	249	251	
Q44332	Azkue zena eta frantsesa [Adabakiak]	Spanish	I	247	249	
Q44206	Unibertsitatea eta irakaskuntza gure artean	Spanish	IX	23	34	
Q44208	Motivo español	Spanish	IX	89	1	
Q44288	Pro domo	Spanish	VIII	133	151	
Q44541	Euskal aldizkariak, Egan 1960 [3,6]	Spanish	III	50		
Q44398	Azkue eta euskal hiztegia	Spanish	VII	71	73	
Q44163	Barandiaran jauna eta gure kultura	Spanish	VIII	60	65	
Q44570	I. Omaechevarría, Euskera. Un poco de gramática y algo de morfología del verbo vasco	Spanish	II	129	13	
Q44650	Yakin, Egan 1957 [3,4]	Spanish	II	96		
Q44142	Perspective de recherches futures	fr	VIII	118	121	
Q44194	Euskararen bide luze bezain malkarrak	Basque	VI	25	45	
Q44195	Euskara eta euskal literaturaren lekukoak	Basque	IV	107	108	
Q44200	Arantzazutik Bergarara	Basque	VII	161	172	
Q44209	‘Jaioko dira berriak’	Basque	VIII	42	47	
Q44210	Udal Izendegia: Hitzaurrea	Basque	VIII	114	118	
Q44213	Euskal hizkera eta euskal neurkera	Basque	IV	91	105	
Q44227	Gorputz eta soin	Basque	VII	87	92	
Q44230	Eduardo Txillidaz	Basque	VIII	57	6	
Q44232	Begiarmen, Sei idazle plazara	Basque	VIII	39	42	
Q44243	‘Dama batek jartzia orrenbeste lege…’	Basque	VIII	31	33	
Q44263	Euskara Nafarroan	Basque	VIII	25	26	
Q44285	[Eleizaldez] Mitxelena jaunaren hitzen laburpena, Eleizaldez	Basque	VIII	53	56	
Q44286	Egunak eta egun izenak	Basque	VII	93	11	
Q44522	Euskal literatura eta… adarrak [Adabakiak]	Basque	I	211	217	
Q44534	J. Kerexeta, Jesu,Kristo Gure Jaunaren Barri Ona	Basque	III	47	48	
Q44293	Betikoaz beti	Basque	VIII	23	25	
Q44307	Linguistika berriaren berri onak	Basque	VI	89	96	
Q44311	Ortografia [Euskararen batasun bideak]	Basque	VII	135	153	
Q44312	Euskaltzaindiaren euskal iztegiaz	Basque	VII	75	77	
Q44318	Bitaño [N. Alzola], Atalak	Basque	III	151	152	
Q44328	Ibiñagabeitiatar Andima (G.B.)	Basque	VIII	82	83	
Q44338	Euskal kanta zaharrak [Adabakiak]	Basque	I	245	246	
Q44342	Aita Larramendiren ehun urteurrenean (1690,1766)	Basque	VII	67	69	
Q44356	B. Estornés Lasa (ed.), Fantasía y realidad. Antología literaria vasca	Basque	III	143	144	
Q44362	Sarako Joanes Etxeberriren “Eskual,Herriko gazteriari”	Basque	V	69	7	
Q44365	Jondone Mikele,ren izena [Adabakiak]	Basque	I	241	242	
Q44368	Bizkaitarren erdal izena [Adabakiak]	Basque	I	242	243	
Q44369	Atarikoa	Basque	V	125	129	
Q44371	Aita Gasteluzarrek itz neurtuz egin zituen zenbait itzulpen	Basque	V	59	67	
Q44374	S. Salaverría, Neronek tirako nizkin	Basque	III	133	134	
Q44378	J. V. Echagaray, Festara	Basque	III	131	132	
Q44379	A. Cardaberaz, Euskeraren berri onak	Basque	III	132	133	
Q44403	J. Zaitegi, Berriz ere goldaketan	Basque	III	108	109	
Q44089	Gipuzkoarra naiz	Basque	IX	149	152	
Q44100	Mailegu berrien idazkera	Basque	VII	191	194	
Q44099	Pello Salabururen Euskaltzaindian sartzea	Basque	VI	107	119	
Q44104	Campionen Gramática eta beste	Basque	VI	75	87	
Q44113	Euskara eta euskararekiko ikerlanak (1700,1880)	Basque	VI	47	74	
Q44117	Aurkezpena	Basque	VII	25	45	
Q44121	Sarrera: J. Goikoetxea Maiza, Juan Bautista Gamiz Ruiz de Oteo, poeta bilingüe alavés del siglo XVIII	Basque	V	109	111	
Q44126	Gamizen liburua aurkeztatzean	Basque	V	113	115	
Q44127	Euskalkien ageriko aurpegia	Basque	VI	125	136	
Q44136	Mendibururen hizkeraz hitz bi	Basque	V	101	107	
Q44140	Udal izenen ofizialtasuna	Basque	VIII	112	114	
Q44143	Patxi Altunari erantzunez	Basque	IV	109	122	
Q44147	Hondarribiko bilkurak direla eta	Basque	VIII	106	11	
Q44149	Euskal literaturaren kondairarako oinarriak	Basque	IV	73	89	
Q44151	Etxepareren edizio kritikoa aurkeztean	Basque	V	31	34	
Q44175	Euskararen izterlengusuak direla eta	Basque	VI	121	123	
Q44405	N. Tauer, Bere idazkiak	Basque	III	114	115	
Q44413	J. Kerexeta, A. Onaindia, Eguneroko Meza	Basque	III	127	128	
Q44415	F. Imaz, Bertso guziak	Basque	III	110	111	
Q44419	J. B. Etcheverry, Michel Garicoïtz sainduaren bizia eta bertuteak	Basque	III	115	116	
Q44423	V. Amézaga, Hombres de la Compañía Guipuzcoana	Basque	III	125	126	
Q44432	Eraskin gisa [Juseff Eguiateguy]	Basque	I	231	234	
Q44436	J. Zaitegi, Platoneneko atarian	Basque	III	75	77	
Q44441	Oskillaso, Kurloiak	Basque	III	92	95	
Q44449	A. M. Labayen, Malentxo alargun	Basque	III	97	98	
Q44454	B. Gandiaga, Elorri	Basque	III	79	81	
Q44483	L. Villasante, Historia de la literatura vasca	Basque	III	65	67	
Q44484	P. M. Urruzuno, «Euskalerritik zerura» ta beste ipui batzuk	Basque	III	68	69	
Q44196	Euskal hitzen jatorri eta itxura desberdinaz	Basque	VII	173	186	
Q44221	Hitz bitan / En dos palabras	Basque	IX	40	45	
Q44222	Euskaltzaindiaren ikerlanez	Basque	VIII	98	105	
Q44270	Azken ordukoak	Basque	VIII	151	185	
Q44402	A. Zavala, Azpeitiko premiyoaren bertsoak (1893,1895)	Basque	III	122		
Q44404	A. M. Zabala, Periyaren zalapartak	Basque	III	121		
Q44414	A. P. Iturriaga, Jolasak	Basque	III	111	113	
Q44351	A. M. Labayen, Teatro éuskaro. Notas para una historia del arte dramático vasco	Basque	III	148		
Q44042	A. Txejoven Guraso zintzoa	Basque	IX	106	111	
Q44048	J. A. Loidi, Amabost egun Urgainen	Basque	II	59	61	
Q44052	J. Gorostiaga, [Antología de poesía popular vasca]	Basque	II	45	47	
Q44055	Y. Etxaide, Joanak,joan	Basque	II	55	58	
Q44056	A. Emiliano, Andre Mari gaztediaren eskuetan	Basque	II	47		
Q44058	C. J. Cela, La Catira. Historias de Venezuela	Basque	II	51	53	
Q44059	J. Baxurko, Jesus. Jesukristoren bizitza bersotan jarria; J. Zapirain	Basque	II	48		
Q44061	J. Arteche, Vida de Jesús	Basque	II	58	59	
Q44064	Zinema	Basque	I	141	147	
Q44065	Zinema	Basque	I	135	14	
Q44066	Zinema	Basque	I	128	134	
Q44067	Pio Barojak esan digu [Berriketan]	Basque	I	53	57	
