bib_item	bib_itemLabel	langLabel	pages	wb
Q44118	Ad experiendum	Basque	886-899	
Q44200	Arantzazutik Bergarara	Basque	984-990	https://wikibase.inguma.eus/entity/Q40826
Q44557	Arnaut Oihenart	Basque	866-879	
Q44104	Campionen Gramática eta beste	Basque	965-971	https://wikibase.inguma.eus/entity/Q40828
Q44093	Eratorbidea eta deklinabidea	Basque	674-679	https://wikibase.inguma.eus/entity/Q40839
Q44102	Esaera zahar baten bigarren agerraldia	Basque	880-885	https://wikibase.inguma.eus/entity/Q40832
Q44213	Euskal hizkera eta euskal neurkera	Basque	704-712	https://wikibase.inguma.eus/entity/Q40834
Q44150	Euskal literaturaren bereizgarri orokorrak	Basque	680-693	https://wikibase.inguma.eus/entity/Q40836
Q44149	Euskal literaturaren kondairarako oinarriak	Basque	694-703	
Q44113	Euskara eta euskararekiko ikerlanak (1700-1880)	Basque	948-964	https://wikibase.inguma.eus/entity/Q40831
Q44194	Euskararen bide luze bezain malkarrak	Basque	1011-1023	https://wikibase.inguma.eus/entity/Q40827
Q44148	Galdegaia eta mintzagaia euskaraz	Basque	656-673	https://wikibase.inguma.eus/entity/Q40838
Q44126	Gamizen liburua aurkeztatzean	Basque	927-928	
Q44122	Mendiburu eta Larramendi	Basque	912-915	https://wikibase.inguma.eus/entity/Q40833
Q44136	Mendibururen hizkeraz hitz bi	Basque	916-919	https://wikibase.inguma.eus/entity/Q40830
Q44311	Ortografia [Euskararen batasun bideak]	Basque	972-983	https://wikibase.inguma.eus/entity/Q40829
Q44306	Sarrera gisa: B. Dechepare, Olerkiak	Basque	756-761	https://wikibase.inguma.eus/entity/Q40835
Q44121	Sarrera: J. Goikoetxea Maiza, Juan Bautista Gamiz Ruiz de Oteo, poeta bilingüe alavés del siglo XVIII	Basque	929-931	
Q44142	Perspective de recherches futures	French	991-999	
Q44370	A propósito de uno de los refranes de 1596	Spanish	802-803	
Q44156	A. Tovar, Mitología e ideología sobre la lengua vasca	Spanish	920- 926	
Q44315	Aitonen, aitoren seme ‘noble hidalgo’	Spanish	516-527	
Q44105	Algunos nombres de Contrasta	Spanish	614-619	
Q44144	Algunos nombres vascos de animales	Spanish	509-515	
Q44094	Contra Lekobide	Spanish	851-865	
Q44287	Descubrimiento y redescubrimiento en textos vascos	Spanish	713-728	
Q44680	El genitivo en la onomástica medieval	Spanish	595-603	
Q44197	El texto de Peru Abarca	Spanish	932-947	
Q44114	Estratos en la toponimia alavesa	Spanish	604-613	
Q44640	Introducción	Spanish	762-782	
Q44714	Introducción fonética a la onomástica vasca	Spanish	555-580	
Q44334	J. Coromines, Estudis de toponímia catalana. I	Spanish	620-626	
Q44373	J. de Urquijo, Refranero vasco. Los Refranes y sentencias de 1596	Spanish	799-801	
Q44081	La Doctrina cristiana de Betolaza (1596)	Spanish	824-837	
Q44614	La obra del Padre Manuel de Larramendi (1690-1766)	Spanish	900-911	
Q44248	Las escrituras apócrifas de Andramendi	Spanish	838-850	
Q44112	Lingüística inmanente y lingüística trascendente	Spanish	645-655	
Q44588	Los cantares de la quema de Mondragón (1448)	Spanish	741-747	
Q44326	Los refranes del cuaderno de Oihenart	Spanish	804-823	
Q44111	Los vascos y su nombre	Spanish	538-554	
Q44050	M. L. Guaza, La toponimia romana en Vizcaya	Spanish	627-629	
Q44305	Nombres de la comadreja en el País Vasco	Spanish	528-537	
Q44063	Nombres vascos de persona	Spanish	581-594	
Q44310	Nota sobre algunos pasajes de los Refranes y sentencias de 1596	Spanish	792-798	
Q44593	Noticias sobre la obra de N. Landucci	Spanish	783-785	
Q44145	Nuestra irresistible ascensión de la poesía a la ciencia	Spanish	1000-1010	
Q44139	Nuevo y más extenso texto arcaico vasco: de una carta del primer Obispo de México, Fray Juan de Zumárraga	Spanish	748-755	
Q44389	Preámbulo a Julio de Urquijo, Refranero vasco. Los Refranes y sentencias de 1596	Spanish	786-791	
Q44289	Problemas teóricos y prácticos de la lingüística vasca	Spanish	630-644	
Q44298	Sobre algunos nombres vascos de parentesco	Spanish	492-508	
Q44335	Tradición viva y letra muerta	Spanish	729-740	
