item,pdf_loc
https://wikibase.inguma.eus/entity/Q30978,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8501/7673
https://wikibase.inguma.eus/entity/Q30979,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8499/7671
https://wikibase.inguma.eus/entity/Q30980,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8495/7667
https://wikibase.inguma.eus/entity/Q30981,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8487/7659
https://wikibase.inguma.eus/entity/Q30982,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8483/7655
https://wikibase.inguma.eus/entity/Q30983,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8651/7819
https://wikibase.inguma.eus/entity/Q30984,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8647/7813
https://wikibase.inguma.eus/entity/Q30985,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8641/7809
https://wikibase.inguma.eus/entity/Q30986,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8637/7805
https://wikibase.inguma.eus/entity/Q30988,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8629/7797
https://wikibase.inguma.eus/entity/Q30989,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8671/7839
https://wikibase.inguma.eus/entity/Q30990,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8667/7835
https://wikibase.inguma.eus/entity/Q30991,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8663/7831
https://wikibase.inguma.eus/entity/Q30992,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8659/7827
https://wikibase.inguma.eus/entity/Q30993,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8655/7823
https://wikibase.inguma.eus/entity/Q30994,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8701/7869
https://wikibase.inguma.eus/entity/Q30995,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8699/7867
https://wikibase.inguma.eus/entity/Q30996,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8697/7865
https://wikibase.inguma.eus/entity/Q30997,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8695/7863
https://wikibase.inguma.eus/entity/Q30998,http://www.ehu.eus/ojs/index.php/ASJU/article/view/8693/7861
