doi,wikibase_item
10.26876/ikergazte.2021.01,https://wikibase.inguma.eus/entity/Q14044
10.26876/ikergazte.2021.02,https://wikibase.inguma.eus/entity/Q14043
10.26876/ikergazte.2021.03,https://wikibase.inguma.eus/entity/Q14042
10.26876/ikergazte.2021.04,https://wikibase.inguma.eus/entity/Q14041
10.26876/ikergazte.2021.05,https://wikibase.inguma.eus/entity/Q14040
10.26876/ikergazte.2019.04,https://wikibase.inguma.eus/entity/Q15268
10.26876/ikergazte.2019.05,https://wikibase.inguma.eus/entity/Q15267
10.26876/ikergazte.2019.01,https://wikibase.inguma.eus/entity/Q15271
10.26876/ikergazte.2019.02,https://wikibase.inguma.eus/entity/Q15270
10.26876/ikergazte.2019.03,https://wikibase.inguma.eus/entity/Q15269
10.26876/ikergazte.2017.01,https://wikibase.inguma.eus/entity/Q16468
10.26876/ikergazte.2017.02,https://wikibase.inguma.eus/entity/Q16467
10.26876/ikergazte.2017.03,https://wikibase.inguma.eus/entity/Q16466
10.26876/ikergazte.2017.04,https://wikibase.inguma.eus/entity/Q16465
10.26876/ikergazte.2017.05,https://wikibase.inguma.eus/entity/Q16464
10.26876/ikergazte.iv.05.32,https://wikibase.inguma.eus/entity/Q35386
10.26876/ikergazte.iv.05.33,https://wikibase.inguma.eus/entity/Q35385
10.26876/ikergazte.iv.05.26,https://wikibase.inguma.eus/entity/Q35392
10.26876/ikergazte.iv.05.27,https://wikibase.inguma.eus/entity/Q35391
10.26876/ikergazte.iv.05.24,https://wikibase.inguma.eus/entity/Q35394
10.26876/ikergazte.iv.05.25,https://wikibase.inguma.eus/entity/Q35393
10.26876/ikergazte.iv.05.41,https://wikibase.inguma.eus/entity/Q35395
10.26876/ikergazte.iv.05.39,https://wikibase.inguma.eus/entity/Q35397
10.26876/ikergazte.iv.05.40,https://wikibase.inguma.eus/entity/Q35396
10.26876/ikergazte.iv.05.18,https://wikibase.inguma.eus/entity/Q35405
