doi_link,inguma_sql,wikibase_item,inguma_link
10.26876/ikergazte.v.02.10,productions:46735,Q37201,ideologia-elbira-zipitriaren-pentsamendu-eta-praxi-pedagogikoan-euskal-etxe-eskolako-ikasleen-lanen-analisia
10.26876/ikergazte.v.02.09,productions:46734,Q37202,sevillan-finkatutako-euskal-merkatarien-sare-sozioekonomikoen-ikerketaren-garrantzia-lehen-globalizazioan
10.26876/ikergazte.v.02.08,productions:46733,Q37203,generoa-errefuxiatu-estatutua-eta-gizarte-talde-jakina-nazioartean-ikusezina-nola-azaleratu
10.26876/ikergazte.v.02.07,productions:46732,Q37204,derrigorrezko-bigarren-hezkuntza-etapako-irakasleen-pertzepzioa-stem-hezkuntza-ereduarekiko
10.26876/ikergazte.v.02.06,productions:46731,Q37205,genero-ikuspegia-aintzat-hartzen-duen-botere-judizial-baterantz-bere-integrazioa-antolakuntza-judizialean-eta-jurisdikzio-funtzioan
10.26876/ikergazte.v.01.16,productions:46725,Q37211,hizkuntza-nahasmenduaren-adierazle-bila-euskaraz-kasu-marka-eta-aditzaren-komunztadura
10.26876/ikergazte.v.01.15,productions:46724,Q37212,euskarazko-lekuzko-adposizio-e-tan-barna-aldakortasuna-sailkatzeko-proposamen-berri-bat
10.26876/ikergazte.v.01.14,productions:46723,Q37213,ebaluazio-meta-enpirikoa-unibertsoaren-hasierako-iruditegian-inflazio-kosmikoaren-bideragarritasuna
10.26876/ikergazte.v.01.13,productions:46722,Q37214,arabako-lautadako-herrietan-arien-zirkulazioa-erabilera-eta-autoretza-xviii-mendean-alegria-dulantziko-kasua
10.26876/ikergazte.v.01.12,productions:46721,Q37215,genero-markarik-gabeko-elementuen-itzulpena-euskara-gaztelania-hizkuntza-konbinaketan-eider-rodriguezen-bihotz-handiegia
10.26876/ikergazte.v.01.11,productions:46720,Q37216,sentsorialtasuna-eta-eszenografia-tenplu-barrokoan-madrilgo-san-isidroren-kaperaren-kasua
10.26876/ikergazte.v.01.10,productions:46719,Q37217,hizkuntza-aniztasuna-eta-elebitasuna-afasiologian
10.26876/ikergazte.v.01.09,productions:46717,Q37218,ines-medinaren-sorkuntza-garaikidea-historiaratzeko-estrategiak
10.26876/ikergazte.v.01.08,productions:46716,Q37219,kode-alternantziaren-erabilera-euskara-gaztelania-gazte-elebidunengan
10.26876/ikergazte.v.01.07,productions:46715,Q37220,adberbioak-aztergai-kategoriaren-auzia-argitzeko-zenbait-gogoeta
10.26876/ikergazte.v.01.06,productions:46714,Q37221,joseba-sarrionandiaren-poesiako-molde-zarratuak
10.26876/ikergazte.v.01.05,productions:46713,Q37222,gasteizko-guraso-euskal-hiztunen-familia-hizkuntza-politikak-seme-alaben-sozializazio-eleaniztunerako
10.26876/ikergazte.v.01.04,productions:46712,Q37223,easy-to-read-language-baliabide-linguistikoen-eta-testuen-egokitzapena-eta-tresna-automatikoen-garapena
10.26876/ikergazte.v.01.03,productions:46711,Q37224,gipuzkoa-erdialdeko-testu-zaharrak-erkatzen
10.26876/ikergazte.v.01.02,productions:46710,Q37225,egun-on-senoras-y-senores-parlamentarios-hizkuntzen-alternantzia-eusko-legebiltzarrean
10.26876/ikergazte.v.01.01,productions:46709,Q37226,lizeoan-ahozko-handia-lantzeko-sekuentzia-didaktiko-eleaniztun-baten-esperimentazioa
10.26876/ikergazte.v.05.49,productions:46863,Q37074,kutsatutako-eraikuntza-materialen-lixibiazioz-eratorritako-kutsatzaileen-eraginaren-ebaluazioa-ondoko-lurzoruetan
10.26876/ikergazte.v.05.48,productions:46862,Q37075,dislipidemiaren-aurkako-tratamentu-berriak-nanopartikulak-erabiliz
10.26876/ikergazte.v.05.47,productions:46861,Q37076,cantor-entropia-altuko-aleazioaren-emisibitate-infragorriaren-eta-egoera-mikroestrukturalaren-azterketa
10.26876/ikergazte.v.05.46,productions:46860,Q37077,hil-bizirauteko-pseudomonas-aeruginosaren-tse5-toxinak-poroak-sortzen-ditu-zelula-etsaien-mintzetan
10.26876/ikergazte.v.05.45,productions:46859,Q37078,partikulen-azeleragailuetan-mikrofoniak-kontrolatzeari-buruzko-oinarrizko-kontzeptuak-madrc-algoritmoa
