wikibase_item,pdf,zot
Q35308,https://www.inguma.eus/fso/fitxategia/156-ikergazte.iv.04.135-142.CB1-hartzaile.pdf,4ZPS8RDD
Q35309,https://www.inguma.eus/fso/fitxategia/14-ikergazte.iv.04.129-134.EAEko-emakumeek.pdf,M674Q4QK
Q35310,https://www.inguma.eus/fso/fitxategia/13-ikergazte.iv.04.123-128.gibeleko-endotelioaren.pdf,22YNJYUP
Q35311,https://www.inguma.eus/fso/fitxategia/12-ikergazte.iv.04.115-121.endometriosia-ezaugarri.pdf,C3N8GGYC
Q35314,https://www.inguma.eus/fso/fitxategia/9-ikergazte.iv.04.93-99.ingurumen-zaratak.pdf,A8855U52
Q35316,https://www.inguma.eus/fso/fitxategia/7-ikergazte.iv.04.77-84.haur-nerabeen.pdf,SJQ4ES5B
Q35317,https://www.inguma.eus/fso/fitxategia/6-ikergazte.iv.04.69-75.giza-garun.pdf,C6UL3LJS
Q35321,https://www.inguma.eus/fso/fitxategia/2-ikergazte.iv.04.37-43.emakumeekiko-sexismo.pdf,C7YBG72P
Q35322,https://www.inguma.eus/fso/fitxategia/133-ikergazte.iv.04.29-69.morfinak-eragindako.pdf,Z4TW68T9
Q35324,https://www.inguma.eus/fso/fitxategia/152-ikergazte.iv.04.13-19.MLB-LDLr.pdf,9TM69TI6
Q35325,https://www.inguma.eus/fso/fitxategia/129-ikergazte.iv.02.315-322.antzuola-herri.pdf,PDI2W2KT
Q35330,https://www.inguma.eus/fso/fitxategia/124-ikergazte.iv.02.275-282.euskal-gatazkaren.pdf,AAGE9A8W
Q35331,https://www.inguma.eus/fso/fitxategia/123-ikergazte.iv.02.269-274.genero-arauak.pdf,ANZZ8DB9
Q35333,https://www.inguma.eus/fso/fitxategia/121-ikergazte.iv.02.247-254.unibertsitateko-ikasleen.pdf,ZPWRCIKY
Q35334,https://www.inguma.eus/fso/fitxategia/120-ikergazte.iv.02.239-246.bertsolarien-izeberga.pdf,NL6C3UTI
Q35336,https://www.inguma.eus/fso/fitxategia/118-ikergazte.iv.02.223-230.bigarren-hezkuntzako.pdf,VXALCSMN
Q35339,https://www.inguma.eus/fso/fitxategia/115-ikergazte.iv.02.201-208.euskal-autonomia.pdf,UR3IDN4M
Q35345,https://www.inguma.eus/fso/fitxategia/109-ikergazte.iv.02.153-159.ipar-haizearen.pdf,Z9US683H
Q35347,https://www.inguma.eus/fso/fitxategia/107-ikergazte.iv.02.137-144.aitatasunerako-trantzisioa.pdf,V5VIPVT3
