"wikibase_item","pdf","doi","zot_st","zot","zotpdf"
"Q37077","https://www.inguma.eus/fso/fitxategia/646-ikergazte.v.05.263_270.HiriLurzoruetako.pdf","10.26876/ikergazte.v.05.46","statement/Q37077-5767D804-30D4-404C-80FB-7288F9B834CC","BQJ97BR5","MQ2QXBV5"
"Q37201","https://www.inguma.eus/fso/fitxategia/531-ikergazte.v.02.81_88.IdeologiaElbira.pdf","10.26876/ikergazte.v.02.10","statement/Q37201-A47310F5-D65F-462C-B50D-FA5244A11469","MNY7RD32","G5J6GVE4"
"Q37202","https://www.inguma.eus/fso/fitxategia/530-ikergazte.v.02.73_80.SevillanFinkatutako.pdf","10.26876/ikergazte.v.02.09","statement/Q37202-6490F006-85C4-42E1-8962-715BF6ACAFB9","AU2CHSWL","7U3DCH9B"
"Q37203","https://www.inguma.eus/fso/fitxategia/529-ikergazte.v.02.65_72.GeneroaErrefuxiatu.pdf","10.26876/ikergazte.v.02.08","statement/Q37203-B8485A3D-D5BE-4502-AA91-4004624E930D","682G8D6Y","KGUW3VGR"
"Q37204","https://www.inguma.eus/fso/fitxategia/528-ikergazte.v.02.57_64.DerrigorrezkoBigarren.pdf","10.26876/ikergazte.v.02.07","statement/Q37204-A6EABAF7-666F-4A91-9A85-875AFFF797DC","542R6M7Z","MZQRFVM8"
"Q37205","https://www.inguma.eus/fso/fitxategia/527-ikergazte.v.02.49_55.GeneroIkuspegia.pdf","10.26876/ikergazte.v.02.06","statement/Q37205-983E70D1-A1E2-4CC7-B06C-1DD99A037C30","9CMVIVLW","H2UKPMPJ"
"Q37211","https://www.inguma.eus/fso/fitxategia/521-ikergazte.v.01.129_136.HizkuntzaNahasmenduaren.pdf","10.26876/ikergazte.v.01.16","statement/Q37211-B97752C8-3BB0-4F57-8676-ECDA0FF52659","MR8USLFQ","R694ACHZ"
"Q37212","https://www.inguma.eus/fso/fitxategia/520-ikergazte.v.01.121_128.EuskarazkoLekuzko.pdf","10.26876/ikergazte.v.01.15","statement/Q37212-73D1A953-2980-43D8-8FF3-5FACC4A2D239","V243DBDA","TPBADXVV"
"Q37213","https://www.inguma.eus/fso/fitxategia/519-ikergazte.v.01.115_120.EbaluazioMetaenpirikoa.pdf","10.26876/ikergazte.v.01.14","statement/Q37213-1B7CB795-FFE3-4EEF-AA40-FB783E44CA42","P3A8F5VD","P7FUDKGT"
"Q37215","https://www.inguma.eus/fso/fitxategia/517-ikergazte.v.01.101_108.GeneroMarkarik.pdf","10.26876/ikergazte.v.01.12","statement/Q37215-9610CC53-E030-4554-B503-44174CB900CA","4GF5CAR8","R5A83F5J"
"Q37216","https://www.inguma.eus/fso/fitxategia/516-ikergazte.v.01.89_100.SentsorialtasunaEta.pdf","10.26876/ikergazte.v.01.11","statement/Q37216-C496E456-34E0-4E63-8E22-3E572C6476C8","BFXUFPGM","ZQP8XHXG"
"Q37217","https://www.inguma.eus/fso/fitxategia/515-ikergazte.v.01.81_87.HizkuntzaAniztasuna.pdf","10.26876/ikergazte.v.01.10","statement/Q37217-DCF260F0-3545-40E1-8C72-F83792364259","DXEYF64Z","XT83UAZS"
"Q37220","https://www.inguma.eus/fso/fitxategia/512-ikergazte.v.01.59_66.AdberbioakAztergai.pdf","10.26876/ikergazte.v.01.07","statement/Q37220-DF189E47-12C1-447E-97A0-076911FCCC16","PFXLKQHX","XCRE8PMI"
"Q37223","https://www.inguma.eus/fso/fitxategia/509-ikergazte.v.01.35_42.EasyToReal.pdf","10.26876/ikergazte.v.01.04","statement/Q37223-A5A8D5CD-5C2F-43D4-9E93-3FDD5D3E983C","XIJ5A76G","QRVQIENX"
"Q37224","https://www.inguma.eus/fso/fitxategia/508-ikergazte.v.01.27_34.GipuzkoaErdialdeko.pdf","10.26876/ikergazte.v.01.03","statement/Q37224-F4E6300B-68B5-4576-B81A-1729B6B5B1BB","PF35EJF7","RD4PD33K"
