artikulua	wd	p1guid	inguma	title	data	wd_egileak	issue	sp	ep	doi	ojs_landing	pdf	wd_upload
https://wikibase.inguma.eus/entity/Q23468	Q76506841	https://wikibase.inguma.eus/entity/statement/Q23468-0EA6881B-A340-4BF9-A783-F354CA2C0089	euskal-sektore-aeronautikoa-eraketa-egoera-eta-berrikuntza-sistema-sektorialeko-eragileak	Euskal sektore aeronautikoa. Eraketa, egoera eta berrikuntza-sistema sektorialeko eragileak	2010-01-01T00:00:00Z	"""1"": ""Q104668704"""	72	23	56	10.26876/uztaro.72.2010.2	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4412	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4412/4521	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q27145	Q77312578	https://wikibase.inguma.eus/entity/statement/Q27145-A5FFCC30-DB48-4CF2-B90F-C38C679E2F47	galdegai-lekua-testu-hastapenetan-eta-ii-gipuzkoako-dantza-gogoangarrien-kondaira-liburuan	Galdegai-lekua-testu-hastapenetan (eta II) (Gipuzkoako dantza gogoangarrien kondaira liburuan)	2003-01-01T00:00:00Z	"""1"": ""Q77044007"""	46	41	59		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4122	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4122/4231	
https://wikibase.inguma.eus/entity/Q28333	Q76507286	https://wikibase.inguma.eus/entity/statement/Q28333-0D43C889-17E7-48EB-8DFF-684B88D36410	talde-identifikazioa-barne-taldearekiko-faboritismoa-eta-hautemandako-homogeneotasun-maila-testuinguru-soziopolitiko-desberdinetan-garatzen-ari-diren-haur-eta-nerabeengan	Talde-identifikazioa, barne-taldearekiko faboritismoa eta hautemandako homogeneotasun-maila testuinguru soziopolitiko desberdinetan garatzen ari diren haur eta nerabeengan	2002-01-01T00:00:00Z	"""2"": ""Q77299712"", ""3"": ""Q99340993"", ""1"": ""Q76877047"""	43	105	122		https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4103	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4103/4212	
https://wikibase.inguma.eus/entity/Q15631	Q64007854	https://wikibase.inguma.eus/entity/statement/Q15631-2F0D352B-CBEB-4C19-A623-C09316FA3D70	nitrogenoa-iragana-eta-orainaldia-konektaturik	Nitrogenoa: iragana eta orainaldia konektaturik	2018-01-01T00:00:00Z	"""1"": ""Q58522151"", ""2"": ""Q42906923"", ""4"": ""Q99527595"", ""3"": ""Q59548652"", ""5"": ""Q64008023"""	107	25	34	10.26876/uztaro.107.2018.2	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4735	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4735/4844	
https://wikibase.inguma.eus/entity/Q35212	Q77312160	https://wikibase.inguma.eus/entity/statement/Q35212-F620686B-AB6A-4F8B-9313-6340FF098322	esanahiak-indizeak-eta-performatibitatea-gabonetako-erritu-baten-harira	Esanahiak, indizeak eta performatibitatea Gabonetako erritu baten harira	2011-01-01T00:00:00Z	"""1"": ""Q104668677"""	77	5	20	10.26876/uztaro.77.2011.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4454	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4454/4563	
https://wikibase.inguma.eus/entity/Q18762	Q77312012	https://wikibase.inguma.eus/entity/statement/Q18762-849F0921-AC9C-408D-9139-F0A7BDF43EB5	kategoria-aleen-tipikotasunaren-efektua-berreskuratzeak-eragindako-ahanztean	Kategoria-aleen tipikotasunaren efektua berreskuratzeak eragindako ahanztean	2014-01-01T00:00:00Z	"""2"": ""Q57910120"", ""3"": ""Q57910124"", ""1"": ""Q59698198"""	89	67	77	10.26876/uztaro.89.2014.4	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4545	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4545/4654	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q37442	Q130763300	https://wikibase.inguma.eus/entity/statement/Q37442-C8164A6D-1B0F-4F78-8452-01BE170742C1	hezkuntzaren-historia-jakintza-arloaren-ekarpena-hezkuntzako-profesionalen-unibertsitateko-prestakuntzan	Hezkuntzaren Historia jakintza-arloaren ekarpena hezkuntzako profesionalen unibertsitateko prestakuntzan	2022-01-01T00:00:00Z	"""1"": ""Q12261318"""	123	59	79	10.26876/uztaro.123.2022.4	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5019	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/5019/5128	2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q15416	Q64007845	https://wikibase.inguma.eus/entity/statement/Q15416-7F78FE4A-3524-4259-AFC0-8580E77A7D45	lehen-hezkuntzan-interneten-erabilera-arduratsua-lantzeko-formazio-ekintza	Lehen Hezkuntzan Interneten erabilera arduratsua lantzeko formazio-ekintza	2019-01-01T00:00:00Z	"""3"": ""Q64008015"", ""1"": ""Q58103058"", ""2"": ""Q64008009"""	108	5	26	10.26876/uztaro.108.2019.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4750	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4750/4859	
https://wikibase.inguma.eus/entity/Q36466	Q130761248	https://wikibase.inguma.eus/entity/statement/Q36466-C5EBD0B1-ECD6-450C-A463-8F1F4D7E3785	zaintza-lehenetsiko-bagenu-errenteriako-zaintza-sare-komunitarioaren-azterketa	Zaintza lehenetsiko bagenu: Errenteriako Zaintza Sare Komunitarioaren azterketa	2024-01-01T00:00:00Z	"""1"": ""Q130759759"""	128	73	92	10.26876/uztaro.5064	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5064	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/5064/5171	2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q23256	Q77312191	https://wikibase.inguma.eus/entity/statement/Q23256-E0B4408A-6781-4F1D-97CB-050B13794F8C	estiloaren-adierazpena-bizkaiko-eliz-arkitekturan-1850-1930	Estiloaren adierazpena Bizkaiko eliz arkitekturan (1850-1930)	2010-01-01T00:00:00Z	"""1"": ""Q104668664"""	73	5	20	10.26876/uztaro.73.2010.1	https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4417	https://aldizkariak.ueu.eus/index.php/uztaro/article/download/4417/4526	2024-11-03T00:00:00Z
