aipatzen_duena,wd,inguma,title,data,wd_egileak,issue,sp,ep,doi
https://wikibase.inguma.eus/entity/Q30951,,are-lokailua-axularren-gero-liburuan-oinarritutako-azterketa,Are lokailua (Axularren Gero liburuan oinarritutako azterketa),1993-01-01T00:00:00Z,"""2"": ""Q105300082""",27,877,902,10.1387/asju.8383
https://wikibase.inguma.eus/entity/Q19641,,diskurtso-markatzaile-berri-bat-hurrenez-hurren-birformulatzailea,"Diskurtso-markatzaile berri bat: ""hurrenez hurren"" birformulatzailea",2011-01-01T00:00:00Z,"""1"": ""Q105300082""",45,301,325,10.1387/asju.9739
https://wikibase.inguma.eus/entity/Q36760,,bizkaiko-euskararen-barne-egituraketaz-sartaldea-eta-sortaldea,Bizkaiko euskararen barne-egituraketaz: sartaldea eta sortaldea,2021-01-01T00:00:00Z,"""1"": ""Q130647103""",50,201,232,10.1387/asju.22865
https://wikibase.inguma.eus/entity/Q17801,,xvi-mendeko-mendebaldeko-lekukotasun-berri-bat-sarasketa-hiztegitxoa,XVI. mendeko mendebaldeko lekukotasun berri bat: Sarasketa hiztegitxoa,2012-01-01T00:00:00Z,"""2"": ""Q8248653"", ""1"": ""Q130647126""",46,13,29,10.1387/asju.13442
https://wikibase.inguma.eus/entity/Q23055,,konmuztadurarik-gabeko-datiboen-gakoez,Konmuztadurarik gabeko datiboen gakoez,2009-01-01T00:00:00Z,"""2"": ""Q12260796"", ""3"": ""Q11680180"", ""1"": ""Q20582522""",43,357,380,10.1387/asju.1708
https://wikibase.inguma.eus/entity/Q23032,,martin-harrieten-hiztegia-eraketari-buruzko-zenbait-berri,Martin Harrieten hiztegia: eraketari buruzko zenbait berri,2009-01-01T00:00:00Z,"""1"": ""Q8248653""",43,873,890,10.1387/asju.1772
https://wikibase.inguma.eus/entity/Q30849,,larramendiren-eraginaz-eta,"""Larramendiren eraginaz eta""",1986-01-01T00:00:00Z,"""1"": ""Q2876484""",20,203,215,10.1387/asju.7729
https://wikibase.inguma.eus/entity/Q30202,,martin-harriet-anibarrorengan,Martin Harriet Aibarrorengan,1992-01-01T00:00:00Z,"""1"": ""Q8248653""",26,221,258,10.1387/asju.8293
https://wikibase.inguma.eus/entity/Q23042,,elgoibarko-eta-debabarreneko-hizkeren-kokapenez-gehiago,Elgoibarko eta Debabarreneko hizkeren kokapenez gehiago,2009-01-01T00:00:00Z,"""1"": ""Q130647117""",43,635,656,10.1387/asju.1742
https://wikibase.inguma.eus/entity/Q30904,,plauto-bascongadoren-eztabaida-testu-bilduma,Plauto Bascongadoren eztabaida: testu-bilduma,1988-01-01T00:00:00Z,"""2"": ""Q941098"", ""1"": ""Q8248653""",22,479,539,10.1387/asju.7995
https://wikibase.inguma.eus/entity/Q23054,,hauta-gelderez,Hauta-gelderez,2009-01-01T00:00:00Z,"""1"": ""Q3370190""",43,381,404,10.1387/asju.1710
https://wikibase.inguma.eus/entity/Q23068,,martin-goyhetche-ren-alegien-peritestuetan-zehar-nota-eta-hitztegui,"Martin Goyhetche-ren alegien peritestuetan zehar: ""nota"" eta ""hitztegui""",2009-01-01T00:00:00Z,"""1"": ""Q634899""",43,67,96,10.1387/asju.1676
https://wikibase.inguma.eus/entity/Q28290,,hiztegi-hirukoitza-eta-diccionario-de-autoridades-erkatuaz-iii-gaztelania,"""Hiztegi Hirukoitza"" eta ""Diccionario de Autoridades"" erkatuaz (III): Gaztelania",1999-01-01T00:00:00Z,"""1"": ""Q8248653""",33,157,238,10.1387/asju.8747
https://wikibase.inguma.eus/entity/Q23058,,inflexio-kanporatze-gertakariak-euskaraz,Inflexio kanporatze gertakariak euskaraz,2009-01-01T00:00:00Z,"""1"": ""Q130647107""",43,295,314,10.1387/asju.1702
https://wikibase.inguma.eus/entity/Q30959,,fray-bartolomeren-na-konpletiboa-arazo-linguistiko-eta-estilistikoak,Fray Bartolomeren -na konpletiboa: arazo linguistiko eta estilistikoak,1994-01-01T00:00:00Z,"""3"": ""Q12261313"", ""1"": ""Q104668660""",28,993,1014,10.1387/asju.8443
https://wikibase.inguma.eus/entity/Q30980,,nafarroako-herri-izenen-inguruan,Nafarroako herri-izenen inguruan,1995-01-01T00:00:00Z,"""1"": ""Q3370195""",29,559,580,10.1387/asju.8495
https://wikibase.inguma.eus/entity/Q23067,,euskalkien-dialektotasunaz,Euskalkien dialektotasunaz,2009-01-01T00:00:00Z,"""1"": ""Q45781758""",43,119,136,10.1387/asju.1680
https://wikibase.inguma.eus/entity/Q30953,,partikula-modalez-berriro,Partikula modalez berriro,1994-01-01T00:00:00Z,"""1"": ""Q12260583""",28,333,336,10.1387/asju.8413
https://wikibase.inguma.eus/entity/Q15533,,joakin-gorrotxategiren-bibliografia,Joakin Gorrotxategiren bibliografia,2018-01-01T00:00:00Z,"""1"": ""Q8248653"", ""2"": ""Q941098""",52,xvii,xxxii,10.1387/asju.20470
https://wikibase.inguma.eus/entity/Q15525,,orhiko-xoria-orhin-lakhetizen-adjektibo-psikologikoak-gai-lokatiboak-eta-predikazioa,"""Orhiko xoria Orhin lakhet""izen/adjektibo psikologikoak, gai lokatiboak eta predikazioa",2018-01-01T00:00:00Z,"""1"": ""Q11680180""",52,253,270,10.1387/asju.20202
https://wikibase.inguma.eus/entity/Q15526,,xix-mendean-harizmendiren-ama-virginaren-hirur-officioac-en-ale-ezagun-bakarrari-falta-zitzaizkion-orriak-osatu-zituen-esku-ezezagunaz,"XIX. mendean Harizmendiren ""Ama Virginaren Hirur Officioac""-en ale ezagun bakarrari falta zitzaizkion orriak osatu zituen esku ezezagunaz",2018-01-01T00:00:00Z,"""1"": ""Q130647107""",52,207,236,10.1387/asju.20200
https://wikibase.inguma.eus/entity/Q23127,,irudiak-eta-emaileak,Irudiak eta emaileak,2001-01-01T00:00:00Z,"""1"": ""Q104668723""",35,29,64,10.1387/asju.8815
