aipatzen_duena	aipatzen_duenaLabel	egileak	urtea	oocc_item	oocc_id	oocc_title	wd_cit_iturri	wd_cit_xede
https://wikibase.inguma.eus/entity/Q15532	SENI eta LOHI (sudurkari galduaren bila)	Borja Ariztimuño Lopez	2018	https://wikibase.inguma.eus/entity/Q44612	2	Notas de gramática histórica vasca	Q130673051	Q130681120
https://wikibase.inguma.eus/entity/Q15520	"CVCren ertzetako alternantziak eta aitzineuskararen hitz-familien azterketarako hatsarriak: ""*ban/bar-/bal""-en zirriborroa"	Joseba Lakarra Andrinua	2018	https://wikibase.inguma.eus/entity/Q44062	8	De etimología vasca	Q130673095	Q130681005
https://wikibase.inguma.eus/entity/Q23045	Adabakiak /h/-aren balio etimologikoaz	Joseba Lakarra Andrinua	2009	https://wikibase.inguma.eus/entity/Q44062	8	De etimología vasca	Q130673128	Q130681005
https://wikibase.inguma.eus/entity/Q30995	Gogoetak aintzineuskararen berreraiketaz: konparaketa eta barneberreraiketa	Joseba Lakarra Andrinua	1997	https://wikibase.inguma.eus/entity/Q44062	8	De etimología vasca	Q130673210	Q130681005
https://wikibase.inguma.eus/entity/Q30996	Euskararen historia eta filologia: arazo zahar, bide berri	Joseba Lakarra Andrinua	1997	https://wikibase.inguma.eus/entity/Q44062	8	De etimología vasca	Q130670521	Q130681005
https://wikibase.inguma.eus/entity/Q19644	Euskal metatesiak: abiaburua haien ikerketarako	Ander Egurtzegi Martinez	2011	https://wikibase.inguma.eus/entity/Q44051	9	De fonética vasca. La aspiración intervocálica	Q130671259	Q130687330
https://wikibase.inguma.eus/entity/Q23045	Adabakiak /h/-aren balio etimologikoaz	Joseba Lakarra Andrinua	2009	https://wikibase.inguma.eus/entity/Q44051	9	De fonética vasca. La aspiración intervocálica	Q130673128	Q130687330
https://wikibase.inguma.eus/entity/Q30903	"""El verbo regular vascongado del dialecto vizcaino"" gramatikaren ekarriez"	Koldo Zuazo Zelaieta	1988	https://wikibase.inguma.eus/entity/Q44708	11	En torno a algunos aspectos del habla de Rentería (Guipúzcoa)	Q130670486	Q130687302
https://wikibase.inguma.eus/entity/Q30905	Bizkaieraren ezaugarriez gehiago	Koldo Zuazo Zelaieta	1988	https://wikibase.inguma.eus/entity/Q44708	11	En torno a algunos aspectos del habla de Rentería (Guipúzcoa)	Q130672981	Q130687302
https://wikibase.inguma.eus/entity/Q30912	Zubereraren sailkapenerako	Koldo Zuazo Zelaieta	1989	https://wikibase.inguma.eus/entity/Q44708	11	En torno a algunos aspectos del habla de Rentería (Guipúzcoa)	Q130671328	Q130687302
https://wikibase.inguma.eus/entity/Q23037	Errenteriako euskararen kokagunea	Itziar Aduriz Agirre	2009	https://wikibase.inguma.eus/entity/Q44708	11	En torno a algunos aspectos del habla de Rentería (Guipúzcoa)	Q130673025	Q130687302
https://wikibase.inguma.eus/entity/Q19644	Euskal metatesiak: abiaburua haien ikerketarako	Ander Egurtzegi Martinez	2011	https://wikibase.inguma.eus/entity/Q44675	14	De fonética vasca. La distribución de las oclusivas aspiradas y no aspiradas	Q130671259	Q130687338
https://wikibase.inguma.eus/entity/Q23045	Adabakiak /h/-aren balio etimologikoaz	Joseba Lakarra Andrinua	2009	https://wikibase.inguma.eus/entity/Q44675	14	De fonética vasca. La distribución de las oclusivas aspiradas y no aspiradas	Q130673128	Q130687338
https://wikibase.inguma.eus/entity/Q36707	Euskara Batu Zaharraren haustura: oinarri metodologikoak eta literaturaren berrikuspena	Iñigo Urrestarazu Porta	2023	https://wikibase.inguma.eus/entity/Q44622	19	La sonorización de las oclusivas iniciales. A propósito de un importante artículo de André Martinet	Q130670462	Q130687297
https://wikibase.inguma.eus/entity/Q19644	Euskal metatesiak: abiaburua haien ikerketarako	Ander Egurtzegi Martinez	2011	https://wikibase.inguma.eus/entity/Q44622	19	La sonorización de las oclusivas iniciales. A propósito de un importante artículo de André Martinet	Q130671259	Q130687297
https://wikibase.inguma.eus/entity/Q23045	Adabakiak /h/-aren balio etimologikoaz	Joseba Lakarra Andrinua	2009	https://wikibase.inguma.eus/entity/Q44622	19	La sonorización de las oclusivas iniciales. A propósito de un importante artículo de André Martinet	Q130673128	Q130687297
https://wikibase.inguma.eus/entity/Q30995	Gogoetak aintzineuskararen berreraiketaz: konparaketa eta barneberreraiketa	Joseba Lakarra Andrinua	1997	https://wikibase.inguma.eus/entity/Q44622	19	La sonorización de las oclusivas iniciales. A propósito de un importante artículo de André Martinet	Q130673210	Q130687297
https://wikibase.inguma.eus/entity/Q17799	Erdi Aroko euskararen historia kanpotik eta barnetik	Urtzi Reguero Ugarte	2012	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q130670640	Q126039730
https://wikibase.inguma.eus/entity/Q15510	Mendieta eta (bere etimologietako) euskara	Koldo Ulibarri Orueta	2018	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q128376705	Q126039730
https://wikibase.inguma.eus/entity/Q15509	Zer da lehenago, aditzoina ala partizipioa? Oharrak euskararen kronologiarako	Blanca Urgell Lazaro	2018	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q128410809	Q126039730
https://wikibase.inguma.eus/entity/Q15520	"CVCren ertzetako alternantziak eta aitzineuskararen hitz-familien azterketarako hatsarriak: ""*ban/bar-/bal""-en zirriborroa"	Joseba Lakarra Andrinua	2018	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q130673095	Q126039730
https://wikibase.inguma.eus/entity/Q28285	"Eusk. ""gorosti"", sardinierazko ""golostri"", eta errusiar ""xvorost"". Ohar etimologikoa"	Ivan Igartua Ugarte	1999	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q130670885	Q126039730
https://wikibase.inguma.eus/entity/Q23035	Euskal deituren jatorria eta etxe izengoitiak	Juan Joxe Zubiri Lujanbio Patxi Salaberri Zaratiegi	2009	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q130671644	Q126039730
https://wikibase.inguma.eus/entity/Q30855	"Prai Bartolomeren hiztegiaz zertxobait: L. M. Mujikaren ""Euscal Errijetaco Olueeta... obraren az~erketa fonetikoa""ren inguruan"	Blanca Urgell Lazaro	1986	https://wikibase.inguma.eus/entity/Q44255	24	Apellidos vascos	Q130671385	Q126039730
