egilea,egilea_label,wd,ing_wd,wikidata,inguma,ing_wikidata
https://wikibase.inguma.eus/entity/Q1242,Josune Rodriguez Negro,Q61100565,,http://www.wikidata.org/entity/Q61100565,josune-rodriguez-negro,
https://wikibase.inguma.eus/entity/Q1817,Josu Narbarte Hernández,Q59616879,Q59616879,http://www.wikidata.org/entity/Q59616879,josu-narbarte-hernandez,http://www.wikidata.org/entity/Q59616879
https://wikibase.inguma.eus/entity/Q1793,Miquel Salicrú Pagés,Q57204762,,http://www.wikidata.org/entity/Q57204762,miquel-salicru-pages,
https://wikibase.inguma.eus/entity/Q1941,Estibaliz Díaz Tena,Q59548652,Q59548652,http://www.wikidata.org/entity/Q59548652,estibaliz-diaz-tena,http://www.wikidata.org/entity/Q59548652
https://wikibase.inguma.eus/entity/Q1447,Amaia Eiguren Munitis,Q70573478,Q70573478,http://www.wikidata.org/entity/Q70573478,amaia-eiguren-munitis,http://www.wikidata.org/entity/Q70573478
https://wikibase.inguma.eus/entity/Q1441,Janire Arroyo Picaza,Q81519536,Q81519536,http://www.wikidata.org/entity/Q81519536,janire-arroyo-picaza,http://www.wikidata.org/entity/Q81519536
https://wikibase.inguma.eus/entity/Q858,Beñat Romera del Cerro,Q109490484,Q109490484,http://www.wikidata.org/entity/Q109490484,benat-romera-del-cerro,http://www.wikidata.org/entity/Q109490484
https://wikibase.inguma.eus/entity/Q2165,Yaiza Fariñas Garzia,Q78189893,Q78189893,http://www.wikidata.org/entity/Q78189893,yaiza-farinas-garzia,http://www.wikidata.org/entity/Q78189893
https://wikibase.inguma.eus/entity/Q1673,Martin Sainz de la Maza San José,Q81509902,Q81509902,http://www.wikidata.org/entity/Q81509902,martin-sainz-de-la-maza-san-jose,http://www.wikidata.org/entity/Q81509902
https://wikibase.inguma.eus/entity/Q1442,Magdalena Bobowik,Q59277220,Q59277220,http://www.wikidata.org/entity/Q59277220,magdalena-bobowik,http://www.wikidata.org/entity/Q59277220
https://wikibase.inguma.eus/entity/Q1663,Ainara Santamaria Barinagarrementeria,Q70572272,Q70572272,http://www.wikidata.org/entity/Q70572272,ainara-santamaria-barinagarrementeria,http://www.wikidata.org/entity/Q70572272
https://wikibase.inguma.eus/entity/Q2104,Eider Pascual Sagastaizabal,Q82448237,Q82448237,http://www.wikidata.org/entity/Q82448237,eider-pascual-sagastaizabal,http://www.wikidata.org/entity/Q82448237
https://wikibase.inguma.eus/entity/Q2025,Jurgi Olasagasti Ibargoien,Q99167485,Q99167485,http://www.wikidata.org/entity/Q99167485,jurgi-olasagasti-ibargoien,http://www.wikidata.org/entity/Q99167485
https://wikibase.inguma.eus/entity/Q1613,Elena Atienza Macías,Q57419492,Q57419492,http://www.wikidata.org/entity/Q57419492,elena-atienza-macias,http://www.wikidata.org/entity/Q57419492
https://wikibase.inguma.eus/entity/Q496,Gartxot Fidalgo Urain,Q109490489,Q109490489,http://www.wikidata.org/entity/Q109490489,gartxot-fidalgo-urain,http://www.wikidata.org/entity/Q109490489
https://wikibase.inguma.eus/entity/Q1006,Aitor Garagarza Cambra,Q125848421,,http://www.wikidata.org/entity/Q125848421,aitor-garagarza-cambra,
https://wikibase.inguma.eus/entity/Q1841,Jokin Bergara Eguren,Q81525077,Q81525077,http://www.wikidata.org/entity/Q81525077,jokin-bergara-eguren,http://www.wikidata.org/entity/Q81525077
https://wikibase.inguma.eus/entity/Q570,Unai Liberal Graña,Q93057820,Q93057820,http://www.wikidata.org/entity/Q93057820,unai-liberal-grana,http://www.wikidata.org/entity/Q93057820
https://wikibase.inguma.eus/entity/Q2033,Oihane Fernandez Lasarte,Q64008037,Q64008037,http://www.wikidata.org/entity/Q64008037,oihane-fernandez-lasarte,http://www.wikidata.org/entity/Q64008037
https://wikibase.inguma.eus/entity/Q1851,Galder Sierra Zapirain,Q107851213,,http://www.wikidata.org/entity/Q107851213,galder-sierra-zapirain,
https://wikibase.inguma.eus/entity/Q1937,Joana Karrillo Alzibar,Q104668610,,http://www.wikidata.org/entity/Q104668610,joana-karrillo,
https://wikibase.inguma.eus/entity/Q2026,Itsaso Nabaskues Lasheras,Q6094899,Q6094899,http://www.wikidata.org/entity/Q6094899,itsaso-nabaskues-lasheras,http://www.wikidata.org/entity/Q6094899
https://wikibase.inguma.eus/entity/Q572,Garazi Navarro Ugarteburu,Q109490492,Q109490492,http://www.wikidata.org/entity/Q109490492,garazi-navarro-ugarteburu,http://www.wikidata.org/entity/Q109490492
https://wikibase.inguma.eus/entity/Q2164,Eki Etxebarria Respaldiza,Q104668620,,http://www.wikidata.org/entity/Q104668620,eki-etxebrria-respaldiza,
https://wikibase.inguma.eus/entity/Q2102,Jose Ramon Sanchez Martin,Q64008036,Q64008036,http://www.wikidata.org/entity/Q64008036,jose-ramon-sanchez-martin,http://www.wikidata.org/entity/Q64008036
https://wikibase.inguma.eus/entity/Q457,Xabier Artiagoitia Beaskoetxea,Q12269003,Q12269003,http://www.wikidata.org/entity/Q12269003,xabier-artiagoitia-beaskoetxea,http://www.wikidata.org/entity/Q12269003
https://wikibase.inguma.eus/entity/Q2103,Nora del Puerto Golzarri,Q99540669,Q99540669,http://www.wikidata.org/entity/Q99540669,nora-del-puerto-golzarri,http://www.wikidata.org/entity/Q99540669
https://wikibase.inguma.eus/entity/Q1874,Eva Pereda Pereda,Q57569536,Q57569536,http://www.wikidata.org/entity/Q57569536,eva-pereda-pereda,http://www.wikidata.org/entity/Q57569536
https://wikibase.inguma.eus/entity/Q2053,Andoni Polo Roca,Q114380225,Q114380225,http://www.wikidata.org/entity/Q114380225,andoni-polo-roca,http://www.wikidata.org/entity/Q114380225
https://wikibase.inguma.eus/entity/Q210,Silvia Da Costa,Q95947017,Q95947017,http://www.wikidata.org/entity/Q95947017,silvia-da-costa,http://www.wikidata.org/entity/Q95947017
https://wikibase.inguma.eus/entity/Q2163,Aitzane Artetxe Larrabide,Q104668619,Q104668619,http://www.wikidata.org/entity/Q104668619,aitzane-artetxe-larrabide,http://www.wikidata.org/entity/Q104668619
https://wikibase.inguma.eus/entity/Q1940,Lide Aizpurua Bakedano,Q104668609,Q104668609,http://www.wikidata.org/entity/Q104668609,lide-aizpurua-bakedano,http://www.wikidata.org/entity/Q104668609
https://wikibase.inguma.eus/entity/Q1683,Ander Rodriguez Lejarza,Q12253472,,http://www.wikidata.org/entity/Q12253472,ander-rodriguez-lejarza,
https://wikibase.inguma.eus/entity/Q863,Maria Dosil Santamaria,Q91962059,Q91962059,http://www.wikidata.org/entity/Q91962059,maria-dosil-santamaria,http://www.wikidata.org/entity/Q91962059
https://wikibase.inguma.eus/entity/Q1614,Nerea Bazterrica Loyarte,Q104668711,Q104668711,http://www.wikidata.org/entity/Q104668711,nerea-bazterrica-loyarte,http://www.wikidata.org/entity/Q104668711
https://wikibase.inguma.eus/entity/Q1437,Oskia Agirre Orbegozo,Q92062251,Q92062251,http://www.wikidata.org/entity/Q92062251,oskia-agirre-orbegozo,http://www.wikidata.org/entity/Q92062251
https://wikibase.inguma.eus/entity/Q1252,Itxaso Marti Carrera,Q33000931,,http://www.wikidata.org/entity/Q33000931,itxaso-marti-carrera,
https://wikibase.inguma.eus/entity/Q2100,Mikel Tomas Fidalgo Astigarraga,Q104668615,Q104668615,http://www.wikidata.org/entity/Q104668615,mikel-tomas-fidalgo-astigarraga,http://www.wikidata.org/entity/Q104668615
https://wikibase.inguma.eus/entity/Q1675,Jon Urraza Intxausti,Q56508302,,http://www.wikidata.org/entity/Q56508302,jon-urraza-intxausti,
https://wikibase.inguma.eus/entity/Q860,Leire Ugalde Lujambio,Q92896586,Q92896586,http://www.wikidata.org/entity/Q92896586,leire-ugalde-lujambio,http://www.wikidata.org/entity/Q92896586
https://wikibase.inguma.eus/entity/Q574,Oihane Zuberoa Garmendia Glaria,Q105666768,Q105666768,http://www.wikidata.org/entity/Q105666768,oihane-zuberoa-garmendia-glaria,http://www.wikidata.org/entity/Q105666768
https://wikibase.inguma.eus/entity/Q1440,Larraitz Zumeta Sanchez,Q81521486,Q81521486,http://www.wikidata.org/entity/Q81521486,larraitz-zumeta-sanchez,http://www.wikidata.org/entity/Q81521486
https://wikibase.inguma.eus/entity/Q2105,Nagore Oroz Motoso,Q104668618,Q104668618,http://www.wikidata.org/entity/Q104668618,nagore-oroz-motoso,http://www.wikidata.org/entity/Q104668618
https://wikibase.inguma.eus/entity/Q1939,Begoña Etxebarria Robledo,Q99527595,Q99527595,http://www.wikidata.org/entity/Q99527595,begona-etxebarria-robledo,http://www.wikidata.org/entity/Q99527595
https://wikibase.inguma.eus/entity/Q1938,Udane Beaskoetxea Elezgarai,Q104668607,Q104668607,http://www.wikidata.org/entity/Q104668607,udane-beaskoetxea-elezgarai,http://www.wikidata.org/entity/Q104668607
https://wikibase.inguma.eus/entity/Q1662,Ekain Payán Ellacuria,Q104668709,Q104668709,http://www.wikidata.org/entity/Q104668709,ekain-payan-ellacuria,http://www.wikidata.org/entity/Q104668709
https://wikibase.inguma.eus/entity/Q1251,Andone Sistiaga Berrondo,Q58876056,,http://www.wikidata.org/entity/Q58876056,andone-sistiaga-berrondo,
https://wikibase.inguma.eus/entity/Q2024,Fernando Rodríguez San Juan,Q104668612,Q104668612,http://www.wikidata.org/entity/Q104668612,fernando-rodriguez-san-juan,http://www.wikidata.org/entity/Q104668612
https://wikibase.inguma.eus/entity/Q2101,Ander Vizan Amoros,Q104668616,Q104668616,http://www.wikidata.org/entity/Q104668616,ander-vizan-amoros,http://www.wikidata.org/entity/Q104668616
https://wikibase.inguma.eus/entity/Q4541,Eneko Zuloaga San Roman,Q130647103,Q130647103,http://www.wikidata.org/entity/Q130647103,eneko-zuloaga-san-roman,http://www.wikidata.org/entity/Q130647103
https://wikibase.inguma.eus/entity/Q4441,Gorka Gallastegi Ruiz de Gordoa,Q58522151,Q58522151,http://www.wikidata.org/entity/Q58522151,gorka-gallastegi-ruiz-de-gordoa,http://www.wikidata.org/entity/Q58522151
https://wikibase.inguma.eus/entity/Q4574,Aitor Larrañaga Uranga,Q104668769,Q104668769,http://www.wikidata.org/entity/Q104668769,aitor-larranaga-uranga,http://www.wikidata.org/entity/Q104668769
https://wikibase.inguma.eus/entity/Q4568,Oihana Garro Larrañaga,Q104668761,Q104668761,http://www.wikidata.org/entity/Q104668761,oihana-garro-larranaga,http://www.wikidata.org/entity/Q104668761
https://wikibase.inguma.eus/entity/Q4313,Xabier Landabidea Urresti,Q104668599,Q104668599,http://www.wikidata.org/entity/Q104668599,xabier-landabidea-urresti,http://www.wikidata.org/entity/Q104668599
https://wikibase.inguma.eus/entity/Q4572,Jakes Casaubon,Q104668767,,http://www.wikidata.org/entity/Q104668767,jakes-casaubon,
https://wikibase.inguma.eus/entity/Q4567,Iker Laskurain Iturbe,Q104668759,Q104668759,http://www.wikidata.org/entity/Q104668759,iker-laskurain-iturbe,http://www.wikidata.org/entity/Q104668759
https://wikibase.inguma.eus/entity/Q4543,Unai Belaustegi Bedialauneta,Q58125174,Q58125174,http://www.wikidata.org/entity/Q58125174,unai-belaustegi-bedialauneta,http://www.wikidata.org/entity/Q58125174
https://wikibase.inguma.eus/entity/Q4314,Uxue Fernandez Lasa,Q98831878,Q98831878,http://www.wikidata.org/entity/Q98831878,uxue-fernandez-lasa,http://www.wikidata.org/entity/Q98831878
https://wikibase.inguma.eus/entity/Q4571,Amaia Quintana Ordorika,Q104668766,Q104668766,http://www.wikidata.org/entity/Q104668766,amaia-quintana-ordorika,http://www.wikidata.org/entity/Q104668766
https://wikibase.inguma.eus/entity/Q4570,Iñaki Lazkano Arrillaga,Q104668763,Q104668763,http://www.wikidata.org/entity/Q104668763,inaki-lazkano-arrillaga,http://www.wikidata.org/entity/Q104668763
https://wikibase.inguma.eus/entity/Q4566,Mikel Saratxo Moro,Q104668757,Q104668757,http://www.wikidata.org/entity/Q104668757,mikel-saratxo-moro,http://www.wikidata.org/entity/Q104668757
https://wikibase.inguma.eus/entity/Q4582,Miren Ibarluzea Santisteban,Q26265492,Q26265492,http://www.wikidata.org/entity/Q26265492,miren-ibarluzea-santisteban,http://www.wikidata.org/entity/Q26265492
https://wikibase.inguma.eus/entity/Q4527,Anton Ugarte Muñoz,Q104668804,Q104668804,http://www.wikidata.org/entity/Q104668804,anton-ugarte-munoz,http://www.wikidata.org/entity/Q104668804
https://wikibase.inguma.eus/entity/Q4626,Josu Ruiz de Gauna Gorostiza,Q104668741,Q104668741,http://www.wikidata.org/entity/Q104668741,josu-ruiz-de-gauna-gorostiza,http://www.wikidata.org/entity/Q104668741
https://wikibase.inguma.eus/entity/Q4573,Iñaki Olaizola Eizagirre,Q62021788,Q62021788,http://www.wikidata.org/entity/Q62021788,inaki-olaizola-eizagirre,http://www.wikidata.org/entity/Q62021788
https://wikibase.inguma.eus/entity/Q4569,Nekane Erritte Zubiaur Gorozika,Q104668762,Q104668762,http://www.wikidata.org/entity/Q104668762,nekane-erritte-zubiaur-gorozika,http://www.wikidata.org/entity/Q104668762
https://wikibase.inguma.eus/entity/Q4575,Goretti Soroa Martinez,Q99170468,Q99170468,http://www.wikidata.org/entity/Q99170468,goretti-soroa-martinez,http://www.wikidata.org/entity/Q99170468
https://wikibase.inguma.eus/entity/Q4592,Jone Aliri Lazcano,Q47343728,,http://www.wikidata.org/entity/Q47343728,jone-aliri-lazcano,
https://wikibase.inguma.eus/entity/Q3131,Nere Etxezarraga Ortuondo,Q104668710,Q104668710,http://www.wikidata.org/entity/Q104668710,nere-etxezarraga-ortuondo,http://www.wikidata.org/entity/Q104668710
https://wikibase.inguma.eus/entity/Q2658,Erik Zubiaga Arana,Q104668598,Q104668598,http://www.wikidata.org/entity/Q104668598,erik-zubiaga-arana,http://www.wikidata.org/entity/Q104668598
https://wikibase.inguma.eus/entity/Q2973,Ainhoa Aurtenetxe Maruri,Q104668602,Q104668602,http://www.wikidata.org/entity/Q104668602,ainhoa-aurtenetxe-maruri,http://www.wikidata.org/entity/Q104668602
https://wikibase.inguma.eus/entity/Q3750,Olatz Perez de Viñaspre Garralda,Q63845182,Q63845182,http://www.wikidata.org/entity/Q63845182,olatz-perez-de-vinaspre-garralda,http://www.wikidata.org/entity/Q63845182
https://wikibase.inguma.eus/entity/Q3469,Unai Arzubiaga Orueta,Q99540817,Q99540817,http://www.wikidata.org/entity/Q99540817,unai-arzubiaga-orueta,http://www.wikidata.org/entity/Q99540817
https://wikibase.inguma.eus/entity/Q2580,Markel Manso Hortigüela,Q78189829,Q78189829,http://www.wikidata.org/entity/Q78189829,markel-manso-hortiguela,http://www.wikidata.org/entity/Q78189829
https://wikibase.inguma.eus/entity/Q3239,Jone Amonarriz Zubeldia,Q104668808,Q104668808,http://www.wikidata.org/entity/Q104668808,jone-amonarriz-zubeldia,http://www.wikidata.org/entity/Q104668808
https://wikibase.inguma.eus/entity/Q3978,Unai Villena Camarero,Q57659866,Q57659866,http://www.wikidata.org/entity/Q57659866,unai-villena-camarero,http://www.wikidata.org/entity/Q57659866
https://wikibase.inguma.eus/entity/Q2794,Iduzki Soubelet Fagoaga,Q104668545,Q104668545,http://www.wikidata.org/entity/Q104668545,iduzki-soubelet-fagoaga,http://www.wikidata.org/entity/Q104668545
https://wikibase.inguma.eus/entity/Q4290,Jonathan Lavilla de Lera,Q64008051,Q64008051,http://www.wikidata.org/entity/Q64008051,jonathan-lavilla-de-lera,http://www.wikidata.org/entity/Q64008051
https://wikibase.inguma.eus/entity/Q3683,Izaro Zinkunegi Barandiaran,Q104668797,Q104668797,http://www.wikidata.org/entity/Q104668797,izaro-zinkunegi-barandiaran,http://www.wikidata.org/entity/Q104668797
https://wikibase.inguma.eus/entity/Q3587,Nagore Martinez Merino,Q88866323,Q88866323,http://www.wikidata.org/entity/Q88866323,nagore-martinez-merino,http://www.wikidata.org/entity/Q88866323
https://wikibase.inguma.eus/entity/Q3591,Crisanta Elechiguerra Arrizabalaga,Q104668795,Q104668795,http://www.wikidata.org/entity/Q104668795,crisanta-elechiguerra-arrizabalaga,http://www.wikidata.org/entity/Q104668795
https://wikibase.inguma.eus/entity/Q3589,Jon Mentxakatorre Odriozola,Q104668791,Q104668791,http://www.wikidata.org/entity/Q104668791,jon-mentxakatorre-odriozola,http://www.wikidata.org/entity/Q104668791
https://wikibase.inguma.eus/entity/Q3585,Daniel Martos Garcia,Q104668788,Q104668788,http://www.wikidata.org/entity/Q104668788,daniel-martos-garcia,http://www.wikidata.org/entity/Q104668788
https://wikibase.inguma.eus/entity/Q3775,Izaskun Alvarez Meaza,Q104668798,Q104668798,http://www.wikidata.org/entity/Q104668798,izaskun-alvarez-meaza,http://www.wikidata.org/entity/Q104668798
https://wikibase.inguma.eus/entity/Q4217,Antxoka Agirre Maiora,Q99527609,Q99527609,http://www.wikidata.org/entity/Q99527609,antxoka-agirre-maiora,http://www.wikidata.org/entity/Q99527609
https://wikibase.inguma.eus/entity/Q2463,Ainara Arribas,Q104057133,Q104057133,http://www.wikidata.org/entity/Q104057133,ainara-arribas,http://www.wikidata.org/entity/Q104057133
https://wikibase.inguma.eus/entity/Q3977,Onintza Odriozola Irizar,Q104668706,Q104668706,http://www.wikidata.org/entity/Q104668706,onintza-odriozola-irizar,http://www.wikidata.org/entity/Q104668706
https://wikibase.inguma.eus/entity/Q3586,Nerian Martin Gonzalez,Q104668787,Q104668787,http://www.wikidata.org/entity/Q104668787,nerian-martin-gonzalez,http://www.wikidata.org/entity/Q104668787
https://wikibase.inguma.eus/entity/Q3976,Gorka De la Cuesta Bermejo,Q104668705,Q109783045,http://www.wikidata.org/entity/Q104668705,gorka-de-la-cuesta-bermejo,http://www.wikidata.org/entity/Q109783045
https://wikibase.inguma.eus/entity/Q3420,Kepa Ibargurengoitia Urretxua,Q104668536,Q104668536,http://www.wikidata.org/entity/Q104668536,kepa-ibargurengoitia-urretxua,http://www.wikidata.org/entity/Q104668536
https://wikibase.inguma.eus/entity/Q3241,Eugenio Zubeltzu Jaka,Q104668533,Q104668533,http://www.wikidata.org/entity/Q104668533,eugenio-zubeltzu-jaka,http://www.wikidata.org/entity/Q104668533
https://wikibase.inguma.eus/entity/Q2934,Rakel Gamito Gomez,Q64008015,Q64008015,http://www.wikidata.org/entity/Q64008015,rakel-gamito-gomez,http://www.wikidata.org/entity/Q64008015
https://wikibase.inguma.eus/entity/Q3590,Javier Corral Lage,Q99449841,Q99449841,http://www.wikidata.org/entity/Q99449841,javier-corral-lage,http://www.wikidata.org/entity/Q99449841
