oocc_item,title,title_lang,wd_lang,wd_egileak,pag,oocc,citations,data,wd_container,oocc_wd
https://wikibase.inguma.eus/entity/Q40480,Fonética histórica vasca,es,Q1321,"""1"": ""Q2457804""",7-543,https://wikibase.inguma.eus/entity/Q45161,237,1961,Q130707155,Q130680168
https://wikibase.inguma.eus/entity/Q44400,Textos arcaicos vascos,es,Q1321,"""1"": ""Q2457804"", ""2"": ""Q2876484""",1-197,https://wikibase.inguma.eus/entity/Q40472,220,1964,Q130680160,Q130680872
https://wikibase.inguma.eus/entity/Q44566,Historia de la literatura vasca,es,Q1321,"""1"": ""Q2457804""",81-205,https://wikibase.inguma.eus/entity/Q40471,84,,Q130680161,Q130680953
https://wikibase.inguma.eus/entity/Q44295,Estudio sobre las fuentes del Diccionario de Azkue,es,Q1321,"""1"": ""Q2457804""",29-191,https://wikibase.inguma.eus/entity/Q40485,68,1970,Q130680162,Q130680950
https://wikibase.inguma.eus/entity/Q44255,Apellidos vascos,es,Q1321,"""1"": ""Q2457804""",1-235,https://wikibase.inguma.eus/entity/Q40484,60,1953,Q130680163,Q126039730
https://wikibase.inguma.eus/entity/Q44434,Lenguas y protolenguas,es,Q1321,"""1"": ""Q2457804""",1-98,https://wikibase.inguma.eus/entity/Q40479,54,1963,Q130680170,Q130680954
https://wikibase.inguma.eus/entity/Q44640,Introducción al diccionario de Landuchio,es,Q1321,"""1"": ""Q2457804""",202-232,https://wikibase.inguma.eus/entity/Q40472,38,1958,Q130680160,Q130680955
https://wikibase.inguma.eus/entity/Q44146,Lengua común y dialectos vascos,es,Q1321,"""1"": ""Q2457804""",517-543,https://wikibase.inguma.eus/entity/Q45160,31,1981,Q130685592,Q130687259
https://wikibase.inguma.eus/entity/Q44401,Sobre el pasado de la lengua vasca,es,Q1321,"""1"": ""Q2457804""",1-115,https://wikibase.inguma.eus/entity/Q40481,22,1964,Q130680167,Q130680951
https://wikibase.inguma.eus/entity/Q44117,Aurkezpena (Hauta Lanerako Euskal Hiztegia),eu,Q8752,"""1"": ""Q2457804""",83-99,https://wikibase.inguma.eus/entity/Q40473,20,1984,Q130680159,Q130680987
https://wikibase.inguma.eus/entity/Q44081,La Doctrina cristiana de Betolaza (1596),es,Q1321,"""1"": ""Q2457804""",187-204,https://wikibase.inguma.eus/entity/Q40478,18,1955,Q130680155,Q130680984
https://wikibase.inguma.eus/entity/Q44523,Euskal iztegigileak XVII-XVIII. mendeetan,eu,Q8752,"""1"": ""Q2457804""",505-522,https://wikibase.inguma.eus/entity/Q40478,17,1961,Q130680155,Q130680956
https://wikibase.inguma.eus/entity/Q44188,Para la historia de la ortografía vasca,es,Q1321,"""1"": ""Q2457804""",403-409,https://wikibase.inguma.eus/entity/Q40478,16,1978,Q130680155,Q130680957
https://wikibase.inguma.eus/entity/Q44310,Nota sobre algunos pasajes de los Refranes y sentencias de 1596,es,Q1321,"""1"": ""Q2457804""",131-139,https://wikibase.inguma.eus/entity/Q40478,15,1954,Q130680155,Q130680958
https://wikibase.inguma.eus/entity/Q44183,Xokudi y otros en Barrutia,es,Q1321,"""1"": ""Q2457804""",411-422,https://wikibase.inguma.eus/entity/Q40478,15,1978,Q130680155,Q130680960
