mitx_item	oocc
Q40014	2
Q40015	3
Q40020	8
Q40021	9
Q40022	10
Q40024	12
Q40025	13
Q40026	14
Q40028	15
Q40029	17
Q40030	18
Q40027	19
Q40031	20
Q40032	21
Q40033	22
Q40037	24
Q40038	25
Q40040	26
Q40041	27
Q40042	28
Q40043	29
Q40044	30
Q44024	31
Q40045	41
Q40046	42
Q40047	44
Q40048	45
Q40049	46
Q40051	48
Q40052	49
Q40054	51
Q40486	56
Q40436	58
Q40446	59
Q40447	60
Q40441	62
Q40445	63
Q40058	66
Q40059	67
Q40055	68
Q40056	69
Q40060	70
Q44022	72
Q40062	72
Q40063	73
Q40057	74
Q40065	79
Q40487	81
Q40493	84
Q40488	87
Q40495	89
Q40513	90
Q40492	91
Q40489	93
Q40497	94
Q40491	95
Q40494	96
Q40490	97
Q40078	98
Q40071	99
Q40072	100
Q40073	101
Q40076	103
Q40077	104
Q40079	105
Q40068	106
Q40069	107
Q40080	108
Q40070	109
Q40081	110
Q40085	131
Q40082	132
Q40083	133
Q40086	134
Q40087	135
Q40088	136
Q40089	137
Q40084	138
Q40090	139
Q40092	141
Q40107	164
Q40093	165
Q40095	166
Q40096	167
Q40094	168
Q40101	175
Q40102	176
Q40103	177
Q40104	178
Q40106	181
Q40108	182
Q44030	198
Q40109	199
Q40110	200
Q40112	201
Q40111	202
Q40114	203
Q40115	204
Q40116	205
Q40117	206
Q40119	207
Q40118	209
Q40120	210
Q40113	211
Q40121	212
Q40122	213
Q40124	216
Q40125	217
Q40127	220
Q40129	227
Q40131	242
Q40133	243
Q40134	244
Q40135	245
Q40136	246
Q40137	247
Q40132	248
Q40138	249
Q40141	250
Q40139	252
Q40140	253
Q40531	279
Q40143	280
Q40146	281
Q40148	283
Q40144	284
Q40149	285
Q40150	286
Q40151	287
Q40145	289
Q40153	290
Q40154	291
Q40156	292
Q40157	293
Q40155	294
Q40160	322
Q40161	323
Q40162	325
Q40163	326
Q40164	327
Q40168	365
Q44025	366
Q40169	367
Q40170	368
Q40171	370
Q44036	376
Q40174	396
Q40175	397
Q40176	398
Q40177	399
Q40178	400
Q40185	401
Q40179	402
Q40180	403
Q40183	404
Q40504	405
Q40181	405
Q40182	406
Q44040	410
Q40190	420
Q40186	421
Q40197	422
Q40187	423
Q40188	425
Q40189	426
Q40191	427
Q40193	428
Q40442	429
Q40194	429
Q40195	430
Q40196	431
Q40198	446
Q40199	447
Q40201	449
Q40202	450
Q40204	456
Q40206	458
Q40207	459
Q40208	461
Q40205	462
Q40209	463
Q40213	464
Q40214	465
Q40211	467
Q40215	468
Q40216	472
Q40217	473
Q40218	474
Q40219	475
Q40220	476
Q40221	477
