entity	label	aipu	oocc_item	oocc_pages	ref_pages	pdf
https://wikibase.inguma.eus/entity/Q45165	Aarsleff H.	https://wikibase.inguma.eus/entity/statement/Q45165-BB6EE39B-22D6-4FE7-8BB3-42DF11AE147F	https://wikibase.inguma.eus/entity/Q44228	47-62	II: 56 n. 22	BLUPHMWI
https://wikibase.inguma.eus/entity/Q45166	Abadal R. d’	https://wikibase.inguma.eus/entity/statement/Q45166-B261729D-9A90-4208-8849-E8B3614C6FAB	https://wikibase.inguma.eus/entity/Q44090	177-195	V: 193	AZ9PLYC8
https://wikibase.inguma.eus/entity/Q45166	Abadal R. d’	https://wikibase.inguma.eus/entity/statement/Q45166-0EBA1A58-FE8C-4725-A0FD-A42851BB5E58	https://wikibase.inguma.eus/entity/Q44092	79-123	IV: 94	Q462GRD4
https://wikibase.inguma.eus/entity/Q45166	Abadal R. d’	https://wikibase.inguma.eus/entity/statement/Q45166-CAB5B0BE-B7BD-4196-803E-CF2BC5FFDF77	https://wikibase.inguma.eus/entity/Q44133	117-132	V: 127	R38HJCII
https://wikibase.inguma.eus/entity/Q45166	Abadal R. d’	https://wikibase.inguma.eus/entity/statement/Q45166-A0A7BE07-1825-42E7-872A-4ECA08869DF3	https://wikibase.inguma.eus/entity/Q44334	343-352	IX: 346	DA3L8RP2
https://wikibase.inguma.eus/entity/Q45167	Abaev V. I.	https://wikibase.inguma.eus/entity/statement/Q45167-57D731B5-E5B1-43C6-895E-AE5F882BB3E7	https://wikibase.inguma.eus/entity/Q44068	263-307	I: 287 n. 73	D7KVSR8U
https://wikibase.inguma.eus/entity/Q45167	Abaev V. I.	https://wikibase.inguma.eus/entity/statement/Q45167-6F5E07A4-985F-4371-AEAE-19A30EC3D6A9	https://wikibase.inguma.eus/entity/Q44401	1-115	V: 109	PBNV3TBD
https://wikibase.inguma.eus/entity/Q45168	Abarca de Bolea P. P. (Conde de Aranda)	https://wikibase.inguma.eus/entity/statement/Q45168-5A932DFC-5034-4383-B8DD-6B65E125EB7A	https://wikibase.inguma.eus/entity/Q44150	211-231	XIII: 228	PPNN6ZRR
https://wikibase.inguma.eus/entity/Q45169	Abásolo J. A.	https://wikibase.inguma.eus/entity/statement/Q45169-BEDDD2CF-65C8-4643-913B-42235952EC45	https://wikibase.inguma.eus/entity/Q44132	403-418	V: 416	6KUKGSGL
https://wikibase.inguma.eus/entity/Q45170	Aboitiz Azterrica J. D.	https://wikibase.inguma.eus/entity/statement/Q45170-1E052B7A-F9AF-4FE2-8C75-8467B6D0934A	https://wikibase.inguma.eus/entity/Q44566	81-205	XIII: 165	EBL26GYI
https://wikibase.inguma.eus/entity/Q45170	Aboitiz Azterrica J. D.	https://wikibase.inguma.eus/entity/statement/Q45170-789E2ED9-F0AE-4034-89C0-BB8EB6C5864E	https://wikibase.inguma.eus/entity/Q44639	3-76	XIII: 54	S2ZK5LCI
