claim_id	entity	context
Q47123-EEAE27BC-CE45-413A-BBCB-4DB3B21196ED	Munibe F. X. M.ª (Conde de Peñaflorida)	Egia da gailentzen ari zitzaizkidala urteen buruan Larramendi eta Institutuko patroi izan genuen Munibe, beste banaka batzuen artean, baina nekez irabaziak ez ziren galerak kitatzeko duin.
Q47181-A3C0AF1E-1314-4801-91A9-D78514941EF8	Oihenart A.	Oihenart, adibidez, eta Peñaflorida.
Q46600-720DD85F-296C-4A3A-86D5-0B934D974D9C	Iztueta J. I.	Gipuzkoar hitza, nolanahi ere, ez bide zen ohikoa beretzat, ezta Iztuetarentzat ere.
Q47814-4A202FCE-56DF-4E8A-BA7B-D8899D9E4A4C	Urbieta J.	Gipuzkoar sonatuen ospea ahultzen hasia zen sarritan: Urbieta, Joanes, «kale-jabearen» Paviakoa gero eta ilunago ageri zen: Gamon, Kristobal, «errenderiarra», errenderiarra ez ezik, ez zen gipuzkoarra ere;
Q47953-86577338-46AE-451D-8A76-E7EDF9CDBE84	Wittgenstein L.	Éste, para Bunge, es, yo diría que como Wittgenstein, un pensador retrógrado so capa de progresista.
Q45695-D46D1694-963D-42E0-81A0-D17194799847	Cantar de Perucho	15. Cantar de Perucho
Q45697-D13D70D1-D119-4B4C-B60B-43695DDBCF95	Cantar del conde de Salinas	11. Cantar del conde de Salinas
Q45698-12A2939D-F7E4-4602-9D0D-A09C81C15800	Cantar del Condestable de Navarra	13. Cantar del condestable de Navarra
Q45720-0AFB6B6F-43AD-4DCA-9C62-FD7B64063F16	Caro Baroja J.	6. Como señalan Menéndez Pidal y Tovar, BRAE 42 (1962), siguiendo a Caro Baroja, Aprez Lequentize (que está probablemente por Apre Laquentize), Veila Laquentice, Tellu Vinquentize «muestran una conservación de la velar de tipo vasco»: cf.
Q45835-2FAE8C63-1B72-461A-A0AC-F36607775DB5	Criado de Val M.	Publicado con facsímil según la edición de 1539, y comentado por J. de Urquijo, RIEV 4 (1910), 573-586. Véase también Guerra, pp. 121-127, y M. de Lecuona, RIEV 16 (1925), 470-476. Debemos otras precisiones a la amabilidad de don Manuel Criado de Val, que está preparando una edición de la obra.
Q45867-E1900A5C-E843-4378-8B50-8BE869D77714	Dave D.	Westernetan, Ameriketako herri-landarearen kimuetan, bi dira ikusgarri: Delmer Davesen 3:10 to Yuma («El tren de las 3:10») eta John Sturgesen Gun fight at the O.
Q45877-299B5D57-9372-41F6-8B35-5F17C05D7102	De Rijk R. P. G.	De acuerdo con las normas usuales en el vasco escrito, yo tenía derecho a pensar que elizkizuneeri no era más que una ditografía banal, de las que a todos se nos escapan al mecanografiar los artículos;
Q45880-B6287834-0943-4082-AB67-FF7622A644F7	Dechepare B.	Dechepare = B. Dechepare, Linguae Vasconum primitiae, Burdeos 1545. Díez Melcón = P. Gonzalo Díez Melcón, Apellidos castellano-leoneses (siglos IX-XIII, ambos inclusive), Granada 1957. Echave = B. de Echave, Discursos de la antiguedad de la lengua Cantabra Bascongada, México 1607. ed.
Q45965-4A1C3315-46DB-4D95-8C78-F941A16674D3	Echalar E. de (Fray)	No hemos podido consultar más que en parte el estudio del Padre E. de Echalar en Boletín de la Comisión de monumentos históricos y artísticos de Navarra, 2.
Q45967-4A976E08-653C-4B95-B562-120AC77379A1	Echave B. de	Dechepare = B. Dechepare, Linguae Vasconum primitiae, Burdeos 1545. Díez Melcón = P. Gonzalo Díez Melcón, Apellidos castellano-leoneses (siglos IX-XIII, ambos inclusive), Granada 1957. Echave = B. de Echave, Discursos de la antiguedad de la lengua Cantabra Bascongada, México 1607. ed.
Q45974-4ED1EDBA-1ECC-4B75-B3B3-ECE1E8DFD35C	Echegaray B.	que aún no se ha hecho desde nuestro punto de vista, a pesar de su recomendación, seguimos a la edición de P. Ilarregui y S. Lapuerta, Pamplona 1869, salvo en algunos detalles en que podemos apoyarnos en el trabajo de don Bonifacio de Echegaray, Euskera 8 (1927), 1.
Q45985-B17882B1-BB3C-4425-815C-A61D08FBAF18	Egan	Señalo, para terminar, que mis puntos de vista sobre este cantar los expuse en una reunión de la Academia de la Lengua Vasca (como ya recogió don Manuel Lecuona en Egan 1960, [107-110], p. 110)b en la creencia de que un trabajo mío, donde trataba de fundamentarlos, no tardaría en aparecer en un volumen colectivo.
Q45985-B17882B1-BB3C-4425-815C-A61D08FBAF18	Egan	Como su sentido no quedará sin más claro para el lector, me permitiré puntualizar que se refieren a la revista Egan y más precisamente a la sección «Naas-maas», comprendida en las pp. 220-226 del año pasado [1963].
Q45994-81DA88EA-3AC6-4483-98A7-CFFE4835A23C	Einstein A.	Gobernari ez diren bakezaleen bilerak ere ez dira, ausaz, aski: aise bihurtzen baitira gerrazale amorratu: Einstein lekuko, oraingo bonben aita delakoa.
Q45663-5F3DEE72-31A7-4AF1-AE7A-9CA2484FE3BC	Cagney J.	James Cagney ez da hemen betiko mutur-jokalari bizkorra eta ez dugu ezer galtzen aldaketa horrekin.
Q45665-1CBF036F-E54D-49FC-A0B8-694922BFD151	Calle Iturrino E.	Izen hori dela eta, Bilbon, aurtengo garagarrilaren 10eko El Correo Español-en artikulu jakitun bat idatzi du Calle Iturrino jaunak.
Q45665-1CBF036F-E54D-49FC-A0B8-694922BFD151	Calle Iturrino E.	Hori baino gehiago nahi du, ordea, Calle Iturrino jaunak.
Q45665-1CBF036F-E54D-49FC-A0B8-694922BFD151	Calle Iturrino E.	Huts hori honetan datza: Calle Iturrino jaunak, ohartzaka, gehientsuenetan gertatzen den bezala, oraingo ohiturak aldatu ditu XVI-XVII. mendeetara.
Q45668-96161A0A-B887-4466-9A58-ED18628E73F3	Camarón M,	Los seis últimos libros XX-XXV, de la extensa obra, según la copia de Cristóbal de Mieres que se conserva en la Real Academia de la Historia, fueron publicados en Madrid, en 1883, con facsímil debido a Maximiliano Camarón, y más recientemente en Bilbao, 1955, por Ángel Rodríguez Herrero, con reproducción fotográfica del códice.
Q45672-77E9DF2A-D326-44ED-9241-07F40ADDD7FA	Campión A.	» , RIEV 18 (1927), p. 231. 9 «A baskongados les he oído decir Etudela, Atarazona, en vez de Tudela, Tarazona» (A. Campión,  «Sobre los nombres de la antigua Baskonia» , RIEV 2, 1908, 749-756, p. 756).
