oocc_id	oocc_item
1	Q44720
2	Q44612
3	Q44505
4	Q44395
5	Q44290
6	Q44191
7	Q44097
8	Q44062
9	Q44051
10	Q44719
11	Q44708
12	Q44697
13	Q44686
14	Q44675
15	Q44664
16	Q44653
17	Q44642
18	Q44632
19	Q44622
20	Q44611
21	Q44600
22	Q44589
23	Q44578
25	Q44557
26	Q44548
27	Q44537
28	Q44527
29	Q44516
30	Q44504
31	Q44493
32	Q44482
33	Q44472
34	Q44461
35	Q44450
36	Q44439
37	Q44428
38	Q44417
39	Q44406
40	Q44394
41	Q44383
42	Q44372
43	Q44361
44	Q44350
45	Q44339
46	Q44329
47	Q44319
48	Q44310
49	Q44300
50	Q44289
51	Q44278
52	Q44268
53	Q44258
54	Q44248
55	Q44239
56	Q44229
57	Q44220
58	Q44211
59	Q44201
60	Q44190
61	Q44181
62	Q44171
63	Q44162
65	Q44144
66	Q44135
67	Q44125
68	Q44115
69	Q44106
70	Q44096
71	Q44088
72	Q44081
73	Q44075
74	Q44067
75	Q44066
76	Q44065
77	Q44064
78	Q44063
80	Q44061
81	Q44060
82	Q44059
83	Q44058
84	Q44057
85	Q44056
86	Q44055
87	Q44054
88	Q44053
89	Q44052
90	Q44050
91	Q44049
92	Q44048
93	Q44047
94	Q44046
95	Q44045
96	Q44044
97	Q44043
98	Q44042
99	Q44041
100	Q44718
101	Q44717
102	Q44716
103	Q44715
104	Q44714
105	Q44713
106	Q44712
107	Q44711
108	Q44710
109	Q44709
110	Q44707
111	Q44706
112	Q44705
113	Q44704
114	Q44703
115	Q44702
116	Q44701
117	Q44700
118	Q44699
119	Q44698
120	Q44696
121	Q44695
122	Q44694
123	Q44693
124	Q44692
125	Q44691
126	Q44690
127	Q44689
128	Q44688
129	Q44687
130	Q44685
131	Q44684
132	Q44683
133	Q44682
134	Q44681
135	Q44680
136	Q44679
137	Q44678
138	Q44677
139	Q44676
140	Q44674
141	Q44673
142	Q44672
143	Q44671
144	Q44670
145	Q44669
146	Q44668
147	Q44667
148	Q44666
149	Q44665
150	Q44663
151	Q44662
152	Q44661
153	Q44660
154	Q44659
155	Q44658
156	Q44657
157	Q44656
158	Q44655
159	Q44654
160	Q44652
161	Q44651
162	Q44650
163	Q44649
164	Q44648
165	Q44647
166	Q44646
167	Q44645
168	Q44644
169	Q44643
170	Q44641
171	Q44640
173	Q44639
174	Q44638
175	Q44637
176	Q44636
177	Q44635
178	Q44634
179	Q44633
180	Q44631
