oocc_item	oocc_st	jatorrizkoa
Q44708	Q44708-ADBFFE3B-1D17-445F-B0D2-CC1C144AA036	Q44027
Q44319	Q44319-2127F61C-1A38-4CBA-BAAE-9C2612C30B84	Q40050
Q44289	Q44289-F5142D47-25EA-42C3-8FFE-11B5DC321304	Q44721
Q44248	Q44248-5B8F6E80-D2FE-4C2B-8320-DFC215C65949	Q40505
Q44088	Q44088-25C62CF5-2EAB-4FE9-9841-7C6328D1C96B	Q40061
Q44063	Q44063-638EE78D-C86D-4391-AD1F-A99A7ED398C0	Q40064
Q44716	Q44716-29624DC9-649B-4607-9176-94527858A844	Q40075
Q44674	Q44674-9249CC94-4AD8-49F3-B50B-67FC8D50712A	Q44023
Q44643	Q44643-9FE320EC-08D1-4445-B619-AF104713C49F	Q40097
Q44641	Q44641-92A306F1-3F0C-48C3-B70D-C5633AD4B162	Q40099
Q44640	Q44640-1B0F4095-02C2-489E-BED2-ECD62BF9F9DC	Q44035
Q44639	Q44639-597725E9-AFFE-4CE4-BB68-C88941280E43	Q40100
Q44638	Q44638-60A8CD62-2952-4BA0-B606-6FBD82AB463D	Q40098
Q44594	Q44594-21962C7C-B34D-49D9-BF31-4747919080D1	Q40503
Q44591	Q44591-1943B965-4956-4DE9-89EF-1A6E055B6EB4	Q40126
Q44566	Q44566-02C238C1-53B2-489A-8DA6-B2556E7A1F81	Q40130
Q44565	Q44565-92FDAEB2-495C-40CF-A316-78F3FBD7741C	Q44722
Q44524	Q44524-43913D65-3C64-4265-ACC0-BF779FD2CA1F	Q40147
Q44518	Q44518-A56116F0-9B43-47FC-9C12-5F9011EE240C	Q40152
Q44434	Q44434-32EF5B74-83D8-46F7-9CEC-03816E896AEC	Q40166
Q44401	Q44401-BBEBEC41-C82E-4ADA-B1F1-665D315FF664	Q40172
Q44400	Q44400-5C1B9DF0-F1A2-422B-BDD4-3CEBBC613F75	Q40173
Q44341	Q44341-0DC6209D-AAE6-4C44-B9D9-DE4B195E7C56	Q40200
Q44341	Q44341-0DC6209D-AAE6-4C44-B9D9-DE4B195E7C56	Q44037
Q44336	Q44336-C748575C-FFE0-40C1-8401-A3CE934978C8	Q40203
Q44323	Q44323-207C6F59-4E60-48FB-8CD6-598D7FF7A784	Q40210
Q44298	Q44298-602E18C2-1C89-479E-B37B-F2428E16FB08	Q40507
