oocc_item,oocc_st,oocc_id,lehen_argi,oocc_text,jatorrizko_argitalpena,jat_date,jat_tit
https://wikibase.inguma.eus/entity/Q44720,https://wikibase.inguma.eus/entity/statement/Q44720-8F2AB7F2-318D-4855-8AFA-58D8C41ADB3D,1,1940,"«Bertso berriak, donostiarren garaipena dala-ta jarriak», Espetxean 1940-IX-18, i-ii [= MEIG I, 37-44]. → XIV 47-49",https://wikibase.inguma.eus/entity/Q44927,1988-01-01T00:00:00Z,"Bertso berriak, donostiarren garaipena dala,ta jarriak"
https://wikibase.inguma.eus/entity/Q44395,https://wikibase.inguma.eus/entity/statement/Q44395-437BA359-AE0E-4294-82D5-E234E413B064,4,1949,"G. Baehr, Baskisch und Iberisch, Emerita 17 (1949), 346-351 [= SHLV I, 91-94]. → IV 161-166",https://wikibase.inguma.eus/entity/Q44785,1988-01-01T00:00:00Z,"G. Baehr, Baskisch und Iberisch"
https://wikibase.inguma.eus/entity/Q44191,https://wikibase.inguma.eus/entity/statement/Q44191-72BDEB06-6927-4751-B3E5-0115513705D5,6,1949,"N. Lahovary, Les peuples européens, Emerita 17 (1949), 288-289 [= SHLV I, 97-98]. → I 243-244",https://wikibase.inguma.eus/entity/Q44784,1988-01-01T00:00:00Z,"N. Lahovary, Les peuples européens"
https://wikibase.inguma.eus/entity/Q44097,https://wikibase.inguma.eus/entity/statement/Q44097-21A95A8C-1C90-49F8-B9FA-50FD539B0567,7,1949,"W. Scott, Where East meets West, Emerita 17 (1949), 351-352 [= SHLV I, 95-96]. → IV 201-203",https://wikibase.inguma.eus/entity/Q44790,1988-01-01T00:00:00Z,"W. Scott, Where East meets West"
https://wikibase.inguma.eus/entity/Q44578,https://wikibase.inguma.eus/entity/statement/Q44578-78839C24-391B-4313-ACD1-9F05354130B5,23,1952,"A. Tovar, Estudios sobre las primitivas lenguas hispánicas, Emerita 20 (1952), 545-552 [= SHLV I, 85-90]. → III 37-45",https://wikibase.inguma.eus/entity/Q44779,1988-01-01T00:00:00Z,"A. Tovar, Estudios sobre las primitivas lenguas hispánicas"
https://wikibase.inguma.eus/entity/Q44439,https://wikibase.inguma.eus/entity/statement/Q44439-666119C8-2D8C-43C7-B7F8-5A2847A7C703,36,1953,"J. Gorostiaga, Vocabulario del refranero vizcaíno de 1596, BAP 9 (1953), 484-486 [= SHLV I, 409-410]. → XI 127-129",https://wikibase.inguma.eus/entity/Q44776,1988-01-01T00:00:00Z,"J. Gorostiaga, Vocabulario del refranero vizcaíno de 1596"
https://wikibase.inguma.eus/entity/Q44258,https://wikibase.inguma.eus/entity/statement/Q44258-C4155FA6-B623-4F79-A44B-5C0C7F36B1E1,53,1954,"[con A. Arrue y A. Irigaray], «Asmo berri», Egan 1954 [2-4], 1-2 [= MEIG VIII, 91-92]. → XIV 81-82",https://wikibase.inguma.eus/entity/Q44915,1988-01-01T00:00:00Z,Asmo berri
https://wikibase.inguma.eus/entity/Q44220,https://wikibase.inguma.eus/entity/statement/Q44220-5139B2E5-C2D7-4EC1-A801-63E8281A38ED,57,1954,"[B. Ametzaga] J. R. Jiménez, Platero ta biok, Egan 1954 [2-4], 41-42 [= MEIG II, 42]. → XIII 307",https://wikibase.inguma.eus/entity/Q44920,1988-01-01T00:00:00Z,"[B. Ametzaga] J. R. Jiménez, Platero ta biok"
https://wikibase.inguma.eus/entity/Q44255,https://wikibase.inguma.eus/entity/statement/Q44255-9493F87D-0B18-4F86-867E-2F9B40C5D9B5,64,1955,"""Apellidos vascos"", San Sebastián 1955, 2.ª ed. [v. 24, 724].",https://wikibase.inguma.eus/entity/Q40037,1953-01-01T00:00:00Z,Apellidos vascos
https://wikibase.inguma.eus/entity/Q44255,https://wikibase.inguma.eus/entity/statement/Q44255-9493F87D-0B18-4F86-867E-2F9B40C5D9B5,64,1955,"""Apellidos vascos"", San Sebastián 1955, 2.ª ed. [v. 24, 724].",https://wikibase.inguma.eus/entity/Q44723,1973-01-01T00:00:00Z,Apellidos vascos
https://wikibase.inguma.eus/entity/Q44144,https://wikibase.inguma.eus/entity/statement/Q44144-242E81EA-E3F3-441B-A072-1E33B440D773,65,1955,"«Algunos nombres vascos de animales», Homenaje a don Joaquín Mendizábal Gortázar, Conde de Peñaflorida, 1886-1954, San Sebastián 1955, 313-320 [= SHLV II, 509-515]. → VIII 381-390",https://wikibase.inguma.eus/entity/Q44820,1988-01-01T00:00:00Z,Algunos nombres vascos de animales
https://wikibase.inguma.eus/entity/Q44061,https://wikibase.inguma.eus/entity/statement/Q44061-B1341830-6AF0-49F2-841B-2F5D228C384E,80,1955,"J. Arteche, Vida de Jesús, Egan 1955 [5-6], 71-72 [= MEIG II, 58-59]. → XIII 337-338",https://wikibase.inguma.eus/entity/Q45004,1988-01-01T00:00:00Z,"J. Arteche, Vida de Jesús"
https://wikibase.inguma.eus/entity/Q44059,https://wikibase.inguma.eus/entity/statement/Q44059-7847C517-7DDA-4AA4-9034-F964793269DA,82,1955,"J. Baxurko, Jesus. Jesukristoren bizitza bersotan jarria; J. Zapirain, Nere bizitzako bertso batzuek, Egan 1955 [1-2], 56-57 [= MEIG II, 48]. → XIII 360",https://wikibase.inguma.eus/entity/Q45005,1988-01-01T00:00:00Z,"J. Baxurko, Jesus. Jesukristoren bizitza bersotan jarria; J. Zapirain"
https://wikibase.inguma.eus/entity/Q44058,https://wikibase.inguma.eus/entity/statement/Q44058-D4C9C456-30DB-46C5-88BA-205729E9A3EE,83,1955,"C. J. Cela, La Catira. Historias de Venezuela, Egan 1955 [3-4],64-66 [= MIH, 361-363; MEIG II, 51-53]. → XIII 367-369",https://wikibase.inguma.eus/entity/Q45008,1988-01-01T00:00:00Z,"C. J. Cela, La Catira. Historias de Venezuela"
https://wikibase.inguma.eus/entity/Q44056,https://wikibase.inguma.eus/entity/statement/Q44056-F7B51691-D999-42AA-95B0-FFD87521A4E4,85,1955,"A. Emiliano, Andre Mari gaztediaren eskuetan, Egan 1955 [1-2], 55-56 [= MEIG II, 47]. → XIII 375",https://wikibase.inguma.eus/entity/Q45014,1988-01-01T00:00:00Z,"A. Emiliano, Andre Mari gaztediaren eskuetan"
