artikulua	wd	wd_upload	statement	reference
https://wikibase.inguma.eus/entity/Q36679	Q125739618	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q125739618-0F2692CC-565D-43F4-BB38-BF10E27814E8	2c027f42aaf67adbac6183e6ae366913dd69fcb8
https://wikibase.inguma.eus/entity/Q34584	Q76507514	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507514-648EE26A-D817-48CC-B831-9BA471356CF2	08cf79a146e6d7da961c6750d28cd5c303bec6fd
https://wikibase.inguma.eus/entity/Q34588	Q76507636	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507636-4080472E-F0CA-412C-A28A-3D13818B494A	0a480c5cc800c01c5d42f20e114b8e1124e4125c
https://wikibase.inguma.eus/entity/Q34590	Q76507626	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507626-0E84B6B0-BCE5-406F-87A4-B52147093014	0d38335695895ed7dce687b434a0508285ff99d4
https://wikibase.inguma.eus/entity/Q36680	Q130761261	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761261-D61D14CD-6AF1-47D3-8BBC-011CDDACEF52	945186ee32e6bd5ee4757a806d86247a04a527a5
https://wikibase.inguma.eus/entity/Q34592	Q76507626	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507626-0E84B6B0-BCE5-406F-87A4-B52147093014	0d38335695895ed7dce687b434a0508285ff99d4
https://wikibase.inguma.eus/entity/Q27146	Q77312575	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312575-EEC57B28-696A-4CF1-9DEA-B420024A5216	1bff9b167b08fa9f2b4a8d172141c4fea19a6abf
https://wikibase.inguma.eus/entity/Q36466	Q130761248	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761248-BEADE5D1-0797-46AC-BBCF-3A5D37A51B97	8adc1499863b6b29f75af3e2a6d6b0ae1632441a
https://wikibase.inguma.eus/entity/Q14932	Q130761309	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q130761309-684BED6D-B818-4B9C-ACB9-19ECE4B0570B	55498eac7a6fb984a1af9baf2166d7d4b1cd65f1
https://wikibase.inguma.eus/entity/Q16434	Q77311852	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77311852-C611B37C-E6EF-4F28-8CCA-01C5DEAB7497	6f6905c27911c33a7cceffbe439f04705a777215
https://wikibase.inguma.eus/entity/Q26497	Q77312517	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312517-C3E945EB-1E0E-4245-A113-37FE2CF26A9F	21de6e1816f360acfcece842f5b8fd38ade2f280
https://wikibase.inguma.eus/entity/Q34614	Q76507695	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507695-ACDA72A0-9A62-4AE6-BE40-B517B2BEB5EF	8d62f40565b88c174439065593675669fe987130
https://wikibase.inguma.eus/entity/Q34619	Q76507684	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q76507684-099D67BB-9B38-4E29-9990-1826D6475E6F	cda68948b9f3b646cded31bba09e59537c467aaa
https://wikibase.inguma.eus/entity/Q27620	Q77312532	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312532-BCDDB0FC-A6C4-47AA-BF72-09EFD01C71FE	aa71837baf8bcab586cb2c18fb6cf3e28932a39e
https://wikibase.inguma.eus/entity/Q24046	Q77312248	2024-11-02T00:00:00Z	http://www.wikidata.org/entity/statement/Q77312248-4F741771-0C80-4EB1-997F-592B23118F3B	b6a3995ff2a7ee93d74a73c45c9566b29adc8d60
