destination	source
Q64007856	Q130763711
Q64007857	Q130762785
Q64007864	Q130763103
Q64007879	Q130763754
Q64007905	Q130763136
Q70572912	Q130763191
Q73618284	Q130762736
Q76506425	Q130763564
Q76506427	Q130762752
Q76506558	Q130763093
Q76506562	Q130763067
Q76506563	Q130762841
Q76506564	Q130763469
Q76506569	Q130763021
Q76506698	Q130762718
Q76506702	Q130763161
Q76506706	Q130762843
Q76506708	Q130763188
Q76506710	Q130763241
Q76506713	Q130762735
Q76506715	Q130763083
Q76506834	Q130763802
Q76506841	Q130762791
Q76506844	Q130763208
Q76506846	Q130763180
Q76506848	Q130762830
Q76506974	Q130763104
Q76506979	Q130763831
Q76506981	Q130763815
Q76506985	Q130763766
Q76507115	Q130762812
Q76507121	Q130762771
Q76507126	Q130763026
Q76507127	Q130762744
Q76507129	Q130763558
Q76507251	Q130763153
Q76507254	Q130763172
Q76507256	Q130763409
Q76507259	Q130763351
Q76507262	Q130762779
Q76507265	Q130762783
Q76507274	Q130763128
Q76507279	Q130762964
Q76507281	Q130762823
Q76507291	Q130763005
Q76507293	Q130762992
Q76507302	Q130763069
Q76507305	Q130763057
Q76507308	Q130763828
Q76507310	Q130762758
Q76507313	Q130763080
Q76507315	Q130762808
Q76507318	Q130763837
Q76507321	Q130762748
Q76507329	Q130763517
Q76507331	Q130763167
Q76507334	Q130762716
Q76507337	Q130763090
Q76507344	Q130763801
Q76507351	Q130762816
Q76507356	Q130762833
Q76507361	Q130763800
Q76507367	Q130762878
Q76507372	Q130763129
Q76507374	Q130763110
Q76507379	Q130763236
Q76507384	Q130763173
Q76507386	Q130763181
Q76507389	Q130762994
Q76507391	Q130762733
Q76507393	Q130763114
Q76507403	Q130763242
Q76507406	Q130763146
Q76507408	Q130763157
Q76507410	Q130763590
Q76507415	Q130763270
Q76507417	Q130763234
Q76507419	Q130763205
Q76507424	Q130762997
Q76507427	Q130762949
Q76507429	Q130762845
Q76507432	Q130762817
Q76507434	Q130763077
Q76507439	Q130763050
Q76507442	Q130763025
Q76507444	Q130762999
Q76507447	Q130762970
Q76507452	Q130763510
Q76507454	Q130763294
Q76507459	Q130762801
Q76507461	Q130763085
Q76507463	Q130762772
Q76507465	Q130763656
Q76507468	Q130763717
Q76507470	Q130762726
Q76507473	Q130763498
Q76507476	Q130762827
Q76507479	Q130762797
Q76507481	Q130763288
Q76507486	Q130763040
Q76507491	Q130762737
Q76507493	Q130762725
Q76507498	Q130762714
Q76507503	Q130762708
Q76507508	Q130763835
Q76507510	Q130763818
Q76507512	Q130763130
Q76507516	Q130763043
Q76507518	Q130763168
Q76507520	Q130763031
Q76507522	Q130762721
Q76507529	Q130763081
Q76507532	Q130763056
Q76507535	Q130763481
Q76507537	Q130763235
Q76507539	Q130763366
Q76507542	Q130763016
Q76507544	Q130763584
Q76507547	Q130763534
Q76507552	Q130763127
Q76507556	Q130762809
Q76507566	Q130763209
Q76507568	Q130763051
Q76507572	Q130763171
Q76507576	Q130763014
Q76507578	Q130763539
Q76507582	Q130762738
Q76507584	Q130762846
Q76507591	Q130762800
Q76507593	Q130762793
Q76507597	Q130762765
Q76507598	Q130763780
Q76507602	Q130762757
Q76507604	Q130763162
Q76507606	Q130763137
Q76507615	Q130763074
Q76507617	Q130763060
Q76507619	Q130763044
Q76507622	Q130763817
Q76507624	Q130762815
Q76507629	Q130763650
Q76507641	Q130763415
Q76507643	Q130762786
Q76507647	Q130763797
Q76507651	Q130763638
Q76507653	Q130763159
Q76507663	Q130763072
Q76507668	Q130762753
Q76507671	Q130762762
Q76507673	Q130762834
Q76507676	Q130762897
Q76507678	Q130762852
Q76507681	Q130762729
Q76507687	Q130762788
Q76507689	Q130762778
Q76507691	Q130762766
Q76507693	Q130762749
Q76507698	Q130763163
Q76507700	Q130763107
Q76507705	Q130763622
Q76507707	Q130763487
Q76507716	Q130763062
Q76507721	Q130763038
Q76507726	Q130763125
Q76507728	Q130763132
Q76507736	Q130763844
Q76507740	Q130763032
Q76507759	Q130762806
Q76507761	Q130763240
Q76507762	Q130762760
Q76507764	Q130763748
Q76507766	Q130762910
Q76507778	Q130763212
Q76507783	Q130763001
Q76507786	Q130763662
Q76507788	Q130763462
Q76507791	Q130762826
Q76507793	Q130762717
Q76507797	Q130763015
Q76507799	Q130763027
Q76507802	Q130762930
Q76507813	Q130763252
Q76507815	Q130763360
Q76507822	Q130763808
Q76507824	Q130763792
Q76507826	Q130763154
Q76507830	Q130763109
Q76507832	Q130763000
Q76507835	Q130762743
Q76507843	Q130762840
Q76507847	Q130762782
Q76507852	Q130763182
Q76507855	Q130762734
Q76507857	Q130763131
Q76507859	Q130763124
Q76507861	Q130762825
Q76507862	Q130763059
Q76507870	Q130762922
Q76507875	Q130763839
Q76507881	Q130762728
Q76507884	Q130763282
Q76507885	Q130763729
Q76507886	Q130763814
Q76507888	Q130762740
Q76507889	Q130762936
Q76507890	Q130762842
Q76507896	Q130763840
Q76507898	Q130762776
Q76507900	Q130763798
Q76507901	Q130762761
Q76507902	Q130763169
Q76507904	Q130763141
Q76507908	Q130762787
Q76507911	Q130763039
Q76507912	Q130762763
Q76507914	Q130763030
Q76507915	Q130763183
Q76507921	Q130763825
Q76507925	Q130763830
Q76507927	Q130763264
Q76507929	Q130763006
Q76507931	Q130763694
Q77311757	Q130762742
Q77311763	Q130762884
Q77311765	Q130763628
Q77311769	Q130762871
Q77311773	Q130763047
Q77311784	Q130763258
Q77311787	Q130763184
Q77311793	Q130761434
Q77311795	Q130763317
Q77311798	Q130763099
Q77311804	Q130763821
Q77311806	Q130762731
Q77311811	Q130762768
Q77311814	Q130762709
Q77311830	Q130763150
Q77311834	Q130762829
Q77311847	Q130763207
Q77311849	Q130763422
Q77311852	Q130761399
Q77311861	Q130761227
Q77311862	Q130763066
Q77311865	Q130763138
Q77311872	Q130762976
Q77311877	Q130763805
Q77311885	Q130763311
Q77311888	Q130763148
Q77311910	Q130762730
Q77311912	Q130763096
Q77311916	Q130763065
Q77311917	Q130763838
Q77311920	Q130762746
Q77311922	Q130763008
Q77311928	Q130762747
Q77311946	Q130762835
Q77311948	Q130763785
Q77311951	Q130762803
Q77311953	Q130763804
Q77311955	Q130762754
Q77311959	Q130763145
Q77311966	Q130762821
Q77311976	Q130762819
Q77311978	Q130763809
Q77311982	Q130762764
Q77311985	Q130763604
Q77311987	Q130763140
Q77311999	Q130762795
Q77312002	Q130763239
Q77312006	Q130762804
Q77312008	Q130763073
Q77312021	Q130762836
Q77312023	Q130763222
Q77312028	Q130762917
Q77312032	Q130763354
Q77312034	Q130762844
Q77312037	Q130763806
Q77312054	Q130763036
Q77312057	Q130763529
Q77312064	Q130763568
Q77312069	Q130763192
Q77312071	Q130763123
Q77312079	Q130763504
Q77312083	Q130762769
Q77312086	Q130763197
Q77312090	Q130763003
Q77312096	Q130763002
Q77312101	Q130762710
Q77312104	Q130763089
Q77312107	Q130762777
Q77312109	Q130763176
Q77312116	Q130762802
Q77312119	Q130763232
Q77312129	Q130763164
Q77312137	Q130763076
Q77312143	Q130763012
Q77312145	Q130763082
Q77312148	Q130763335
Q77312151	Q130763070
Q77312154	Q130763812
Q77312162	Q130763428
Q77312166	Q130762780
Q77312171	Q130763010
Q77312184	Q130763071
Q77312191	Q130763237
Q77312195	Q130762990
Q77312197	Q130763841
Q77312201	Q130762796
Q77312203	Q130763816
Q77312205	Q130762775
Q77312207	Q130763845
Q77312209	Q130762813
Q77312212	Q130763216
Q77312217	Q130763578
Q77312219	Q130763523
Q77312222	Q130763371
Q77312225	Q130762750
Q77312229	Q130762991
Q77312231	Q130762722
Q77312235	Q130763144
Q77312236	Q130762727
Q77312238	Q130763202
Q77312242	Q130763667
Q77312246	Q130763178
Q77312255	Q130763246
Q77312257	Q130763397
Q77312261	Q130762712
Q77312277	Q130763833
Q77312279	Q130763691
Q77312282	Q130763492
Q77312302	Q130763113
Q77312304	Q130763228
Q77312307	Q130762996
Q77312310	Q130763706
Q77312314	Q130762719
Q77312316	Q130762865
Q77312325	Q130762847
Q77312329	Q130763190
Q77312331	Q130763019
Q77312334	Q130762960
Q77312338	Q130763105
Q77312343	Q130763276
Q77312358	Q130762745
Q77312360	Q130763142
Q77312362	Q130763120
Q77312365	Q130763579
Q77312367	Q130762837
Q77312372	Q130763686
Q77312375	Q130762805
Q77312376	Q130763323
Q77312382	Q130763053
Q77312385	Q130762790
Q77312388	Q130763024
Q77312393	Q130763186
Q77312395	Q130762756
Q77312397	Q130763736
Q77312403	Q130762832
Q77312408	Q130762822
Q77312412	Q130762781
Q77312415	Q130762773
Q77312418	Q130763213
Q77312421	Q130763028
Q77312423	Q130763187
Q77312427	Q130762759
Q77312429	Q130763029
Q77312434	Q130763194
Q77312438	Q130762794
Q77312443	Q130763832
Q77312450	Q130763055
Q77312469	Q130762995
Q77312471	Q130762890
Q77312484	Q130763644
Q77312487	Q130763368
Q77312494	Q130762831
Q77312495	Q130763063
Q77312497	Q130763048
Q77312501	Q130763023
Q77312504	Q130762998
Q77312510	Q130762792
Q77312512	Q130763329
Q77312513	Q130763842
Q77312519	Q130763834
Q77312525	Q130763403
Q77312530	Q130762789
Q77312534	Q130763198
Q77312554	Q130762755
Q77312559	Q130763170
Q77312566	Q130763233
Q77312570	Q130763042
Q77312572	Q130763475
Q77312581	Q130763195
Q77312583	Q130763158
Q77312586	Q130763347
Q77312590	Q130763238
Q77312604	Q130762739
Q77312605	Q130763598
Q77312608	Q130763573
Q77313533	Q130762720
Q77313551	Q130762732
Q77313563	Q130763126
Q77313565	Q130763722
