artikulua,wd,inguma,title,data,wd_egileak,issue,sp,ep,doi,ojs_landing,wd_upload
https://wikibase.inguma.eus/entity/Q36468,Q130763615,hedabideek-oker-eman-dituzten-erreferentzia-feministak,Hedabideek oker eman dituzten erreferentzia feministak,2024-01-01T00:00:00Z,"""1"": ""Q81507972""",128,21,43,10.26876/uztaro.5062,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5062,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36679,Q125739618,bedigirada-proiektua-humanismo-digitalaren-lanketa-filosofikoa-hezkuntzan-sustatzeko-ikerketa,Be[di]girada proiektua: humanismo digitalaren lanketa filosofikoa hezkuntzan sustatzeko ikerketa,2023-01-01T00:00:00Z,"""1"": ""Q130759763"", ""3"": ""Q107851383"", ""4"": ""Q130759764"", ""2"": ""Q130759834""",127,59,79,10.26876/uztaro.127.2023.4,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5056,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q37317,Q130761232,gizarte-zerbitzuen-euskal-sistemaren-barne-koordinazioa-aztergai,Gizarte Zerbitzuen Euskal Sistemaren barne-koordinazioa aztergai,2023-01-01T00:00:00Z,"""1"": ""Q130759777""",124,103,123,10.26876/uztaro.124.2023.5,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5037,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q13238,Q130761022,hegoaldeko-haur-eta-lehen-hezkuntzako-irakasleen-usteak-eleaniztasunari-buruz,Hegoaldeko Haur eta Lehen Hezkuntzako irakasleen usteak eleaniztasunari buruz,2022-01-01T00:00:00Z,"""1"": ""Q6270286"", ""2"": ""Q130759851""",120,125,136,10.26876/uztaro.120.2022.7,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4982,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q13723,Q130763199,mondragon-unibertsitateko-huheziko-ikasle-hasiberrien-hizkuntza-hautuak-eta-arrazoiak,Mondragon Unibertsitateko HUHEZIko ikasle hasiberrien hizkuntza-hautuak eta arrazoiak,2021-01-01T00:00:00Z,"""1"": ""Q99446423"", ""3"": ""Q87760967"", ""2"": ""Q130759815""",119,143,165,10.26876/uztaro.119.2021.8,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4969,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36466,Q130761248,zaintza-lehenetsiko-bagenu-errenteriako-zaintza-sare-komunitarioaren-azterketa,Zaintza lehenetsiko bagenu: Errenteriako Zaintza Sare Komunitarioaren azterketa,2024-01-01T00:00:00Z,"""1"": ""Q130759759""",128,73,92,10.26876/uztaro.5064,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5064,2024-11-02T00:00:00Z
https://wikibase.inguma.eus/entity/Q37320,Q130763139,nor-da-nor-lur-hiztegi-entziklopedikoan-euskarazko-lehenengo-entziklopediaren-demografia-digital-alderatua,Nor da nor Lur Hiztegi Entziklopedikoan? Euskarazko lehenengo entziklopediaren demografia digital alderatua,2023-01-01T00:00:00Z,"""1"": ""Q63845182"", ""2"": ""Q93437466""",124,25,49,10.26876/uztaro.124.2023.2,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5032,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q36723,Q130762956,esperientzia-gogor-goiztiarrak-bizi-izan-dituzten-haurren-eskolaratze-prozesuak-ikastetxe-baten-kasu-azterketa,Esperientzia gogor goiztiarrak bizi izan dituzten haurren eskolaratze-prozesuak. Ikastetxe baten kasu-azterketa,2023-01-01T00:00:00Z,"""2"": ""Q64008037"", ""1"": ""Q104668614"", ""4"": ""Q130759770"", ""3"": ""Q12258341""",126,5,33,10.26876/uztaro.126.2023.1,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5050,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q35031,Q130762838,essexeko-eskolaren-diskurtsoaren-teoria-hegemoniaren-teoria-garaikidearen-oinarriak,Essexeko Eskolaren diskurtsoaren teoria: hegemoniaren teoria garaikidearen oinarriak,2022-01-01T00:00:00Z,"""1"": ""Q130759844""",122,149,181,10.26876/uztaro.122.2022.8,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/5011,2024-11-03T00:00:00Z
https://wikibase.inguma.eus/entity/Q13418,Q130763454,senekaren-izpiritua-euskaraz-larramendiren-eraginaren-eta-itzulpengintza-apologetikoaren-adibide-bat-xviii-mendeko-zuberoan,Senekaren izpiritua euskaraz: Larramendiren eraginaren eta itzulpengintza apologetikoaren adibide bat XVIII. mendeko Zuberoan,2022-01-01T00:00:00Z,"""1"": ""Q64008070""",120,95,122,10.26876/uztaro.120.2022.6,https://aldizkariak.ueu.eus/index.php/uztaro/article/view/4977,2024-11-03T00:00:00Z
