wikibase_item,pdf,zot_st,zot
Q35302,https://www.inguma.eus/fso/fitxategia/21-ikergazte.iv.04.185-192.proteinetan-oinarritutako.pdf,Q35302-9D99D9A6-BBE1-458A-9701-CDAD10028A97,YU6CXPZE
Q35303,https://www.inguma.eus/fso/fitxategia/20-ikergazte.iv.04.177-184.garun-traumatismoen.pdf,Q35303-182B84CA-9398-44A9-A79A-160513C90CB2,ZJ4EPZKD
Q35323,https://www.inguma.eus/fso/fitxategia/132-ikergazte.iv.04.21-27.heltze-egoeraren.pdf,Q35323-A46C2349-B859-40E2-9BE8-AFC234F14A28,L8HSBVAK
Q35326,https://www.inguma.eus/fso/fitxategia/128-ikergazte.iv.02.307-314.estatuaren-konstituzio.pdf,Q35326-49BC86A2-AFA5-43A3-BFE2-13C66C891D1E,A47UWIRY
Q35332,https://www.inguma.eus/fso/fitxategia/122-ikergazte.iv.02.255-267.presentismoaren-determinatzaileak.pdf,Q35332-BE995CD8-3F6D-43AD-81B3-FD6A2378BFD0,Q95DYFNT
Q35335,https://www.inguma.eus/fso/fitxategia/119-ikergazte.iv.02.231-237.euskal-kirol.pdf,Q35335-04C24E4E-6867-47CD-B5CC-86CBCCE9D3E9,QAQTZ827
Q35338,https://www.inguma.eus/fso/fitxategia/116-ikergazte.iv.02.209-216.kontabilitateak-behar.pdf,Q35338-DE42E91C-88DD-4D2C-8FC7-737F2D34DEAB,6HGA6XIV
Q35342,https://www.inguma.eus/fso/fitxategia/112-ikergazte.iv.02.177-184.bizitzaren-sostegarritasunerako.pdf,Q35342-5CECD0CC-D21F-46EE-8444-F7059CDE5F2E,RPB39VNS
Q35346,https://www.inguma.eus/fso/fitxategia/108-ikergazte.iv.02.145-152.ethazi-berrikuntza.pdf,Q35346-69774CEB-90F0-42E1-A830-47ED72A8BCF9,8UUVJCAR
Q35350,https://www.inguma.eus/fso/fitxategia/104-ikergazte.iv.02.111-119.zahartzaroko-mendekotasuna.pdf,Q35350-14A28E89-127C-4A8B-9F3B-E88C4F6DB3B6,4TRI37CV
